근로형태별,임금근로자,정규직,비정규직,한시적,시간제,비전형
2011.08_실적급제,5.6,1.9,12.9,3,11.1,28.3
2011.08_기타,0.1,0.1,0.1,0.1,0.4,0
2012.03_전체,100,100,100,100,100,100
2012.03_시급제,5.3,2.4,11.3,8.7,30.8,5.4
2012.03_일급제,10.5,4.4,22.8,13.5,23.3,35.1
2012.03_주급제,0.2,0.1,0.3,0.2,0.8,0.3
2012.03_월급제,60.9,70.2,42.2,57,34.2,27.9
2012.03_연봉제,17.4,20.8,10.6,17.4,0.5,2.2
2012.03_실적급제,5.5,2,12.7,3,10,29
2012.03_기타,0.1,0.1,0.1,0.1,0.4,0.1
2012.08_전체,100,100,100,100,100,100
2012.08_시급제,6,2.5,13.2,10.3,34.3,5.9
2012.08_일급제,10.3,4,23.2,13.9,23.2,34.8
2012.08_주급제,0.2,0.1,0.3,0.2,0.5,0.2
2012.08_월급제,61.2,70.9,41.6,57.2,31.1,29.5
2012.08_연봉제,16.8,20.4,9.5,15.6,0.6,2.7
2012.08_실적급제,5.4,2.1,12.1,2.8,9.9,26.8
2012.08_기타,0.1,0.1,0.1,0.1,0.3,0.1
2013.03_전체,100,100,100,100,100,100
2013.03_시급제,5.4,2.1,12.4,9.3,32.2,5
2013.03_일급제,9.8,3.6,23,14.5,23.2,34.8
2013.03_주급제,0.1,0,0.3,0.1,0.6,0.4
2013.03_월급제,63,72.4,43.1,58.8,33.1,30.1
2013.03_연봉제,16.4,19.9,9,14.7,0.7,2.2
2013.03_실적급제,5.2,1.9,12.1,2.6,9.9,27.5
2013.03_기타,0.1,0.1,0.1,0,0.2,0.1
2013.08_전체,100,100,100,100,100,100
2013.08_시급제,6,2.3,13.8,10.3,34.7,5.3
2013.08_일급제,9.7,3.6,22.3,13.6,21.4,35.8
2013.08_주급제,0.1,0,0.3,0.2,0.6,0.4
2013.08_월급제,62.3,71.7,42.6,58.9,32.8,28.5
2013.08_연봉제,16.6,20.2,9,14.5,0.9,2.5
2013.08_실적급제,5.2,2,11.9,2.4,9.4,27.5
2013.08_기타,0.1,0.1,0,0,0.1,0
2014.03_전체,100,100,100,100,100,100
2014.03_시급제,5.5,2.3,12.4,8.2,31.8,4.8
2014.03_일급제,9.2,3.4,21.3,12.5,20.9,34.9
2014.03_주급제,0.2,0.1,0.3,0.2,0.7,0.4
2014.03_월급제,63.3,72,44.9,61.6,36.5,29
2014.03_연봉제,16.6,20.1,9,14.9,0.8,2.3
2014.03_실적급제,5.1,1.9,12,2.6,9.1,28.5
2014.03_기타,0.1,0.1,0.1,0,0.2,0.1
2014.08_전체,100,100,100,100,100,100
2014.08_시급제,6.2,2.5,14.1,10.6,34.5,4.7
2014.08_일급제,9.4,3.6,21.4,12.7,18.5,36.5
2014.08_주급제,0.1,0,0.3,0.1,0.6,0.2
2014.08_월급제,63,71.8,44.5,60.3,37.5,29.5
2014.08_연봉제,16.2,19.8,8.5,13.7,0.9,2.5
2014.08_실적급제,5,2.1,11,2.4,7.8,26.5
2014.08_기타,0.1,0.1,0.1,0.1,0.2,0.1
2015.03_전체,100,100,100,100,100,100
2015.03_시급제,5.6,1.9,13.3,9.7,32.1,5.2
2015.03_일급제,9.5,3.4,22.3,13,20.3,37.3
2015.03_주급제,0.2,0.1,0.4,0.1,0.6,0.4
2015.03_월급제,63.8,72.7,44.7,61.3,37.3,28.9
2015.03_연봉제,16.1,19.9,8.1,13.2,1.1,2.5
2015.03_실적급제,4.8,1.9,11.1,2.6,8.4,25.7
2015.03_기타,0.1,0.1,0.1,0.1,0.2,0
2015.08_전체,100,100,100,100,100,100
2015.08_시급제,6.5,2.4,15,11.1,35,6.1
2015.08_일급제,9.8,3.7,22.6,13.3,20.5,38.3
2015.08_주급제,0.2,0.1,0.4,0.2,0.6,0.4
2015.08_월급제,62.5,71.5,43.6,60.6,34.7,27.9
2015.08_연봉제,16.5,20.7,7.7,12.3,1.1,2.2
2015.08_실적급제,4.5,1.5,10.6,2.4,8,25.1
2015.08_기타,0.1,0,0.1,0.1,0.2,0
2016.03_전체,100,100,100,100,100,100
2016.03_시급제,6.3,2.3,14.8,11.6,33.8,5.4
2016.03_일급제,8.9,3.4,20.7,12.8,17.1,35.1
2016.03_주급제,0.2,0.1,0.2,0.1,0.5,0.2
2016.03_월급제,62.8,70.6,46.1,60.8,39.6,31.2
2016.03_연봉제,17.4,22,7.5,12,1.1,2.4
2016.03_실적급제,4.5,1.6,10.6,2.6,7.8,25.7
2016.03_기타,0,0,0,0,0.1,0
2016.08_전체,100,100,100,100,100,100
2016.08_시급제,7,2.3,16.6,13.1,36.1,6
2016.08_일급제,9.5,3.7,21.4,12.4,17.4,37.7
2016.08_주급제,0.2,0.1,0.3,0.2,0.7,0.1
2016.08_월급제,62,70.6,44.5,60.2,37.6,29.7
2016.08_연봉제,16.9,21.6,7.2,11.6,0.7,2.1
2016.08_실적급제,4.4,1.7,10,2.5,7.4,24.4
2016.08_기타,0,0,0.1,0.1,0.2,0
2017.08_전체,100,100,100,100,100,100
