근로형태별,임금근로자,정규직,비정규직,한시적,기간제,비기간제,시간제,비전형
2004.08_상여금,51.7,65.8,27.6,35.3,35.2,35.6,1.8,17.8
2004.08_상여금증감(전년동월),0,0,0,0,0,0,0,0
2004.08_시간외수당,43.4,55.8,22.3,28.5,27.8,29.9,1.7,14.1
2004.08_시간외수당증감(전년동월),0,0,0,0,0,0,0,0
2004.08_유급휴가,45.7,58.2,24.6,31.8,31.4,32.7,1.6,14.3
2004.08_유급휴가증감(전년동월),0,0,0,0,0,0,0,0
2004.08_퇴직급여,0,0,0,0,0,0,0,0
2004.08_퇴직급여(전년동월),0,0,0,0,0,0,0,0
2005.08_상여금,52.1,67.3,25.7,34.3,39.1,19.7,1.8,13.5
2005.08_상여금증감(전년동월),0.4,1.5,-1.9,-1,3.9,-15.9,0,-4.3
2005.08_시간외수당,43.6,56.5,21.2,28,31.2,17.9,2.4,11.3
2005.08_시간외수당증감(전년동월),0.2,0.7,-1.1,-0.5,3.4,-12,0.7,-2.8
2005.08_유급휴가,45,57.9,22.8,30.8,34.7,18.7,1.4,11.1
2005.08_유급휴가증감(전년동월),-0.7,-0.3,-1.8,-1,3.3,-14,-0.2,-3.2
2005.08_퇴직급여,0,0,0,0,0,0,0,0
2005.08_퇴직급여(전년동월),0,0,0,0,0,0,0,0
2006.08_상여금,53.5,67.5,27.9,38.5,38.7,38.2,2,12.6
2006.08_상여금증감(전년동월),1.4,0.2,2.2,4.2,-0.4,18.5,0.2,-0.9
2006.08_시간외수당,42.5,53.9,21.7,29.7,29.6,30.2,2.3,9.6
2006.08_시간외수당증감(전년동월),-1.1,-2.6,0.5,1.7,-1.6,12.3,-0.1,-1.7
2006.08_유급휴가,43.8,55,23.3,32,33,29,2.1,10.8
2006.08_유급휴가증감(전년동월),-1.2,-2.9,0.5,1.2,-1.7,10.3,0.7,-0.3
2006.08_퇴직급여,0,0,0,0,0,0,0,0
2006.08_퇴직급여(전년동월),0,0,0,0,0,0,0,0
2007.03_상여금,55.7,69.5,31.7,45.1,46.6,41.4,3,15.4
2007.03_상여금증감(전년동월),0,0,0,0,0,0,0,0
2007.03_시간외수당,43.4,54.3,24.4,34.6,35.4,32.6,2.2,12.3
2007.03_시간외수당증감(전년동월),0,0,0,0,0,0,0,0
2007.03_유급휴가,48.1,59.9,27.6,39.7,42.3,33.1,2.2,12.9
2007.03_유급휴가증감(전년동월),0,0,0,0,0,0,0,0
2007.03_퇴직급여,0,0,0,0,0,0,0,0
2007.03_퇴직급여(전년동월),0,0,0,0,0,0,0,0
2007.08_상여금,56.1,69.9,31.4,45.1,46.3,42.1,3,15.6
