연령구분_성별,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2004.05_졸업ㆍ중퇴 청년층인구 전체,5656,2433,3223,0,0,0
2004.05_취업경험 있음,5200,2208,2991,0,0,0
2004.05_한번,2046,844,1202,0,0,0
2004.05_두번,1333,548,785,0,0,0
2004.05_세번,982,400,582,0,0,0
2004.05_네번 이상,838,416,422,0,0,0
2004.05_취업경험 없음,456,225,231,0,0,0
2005.05_졸업ㆍ중퇴 청년층인구 전체,5423,2317,3106,0,0,0
2005.05_취업경험 있음,4971,2093,2878,0,0,0
2005.05_한번,1926,823,1103,0,0,0
2005.05_두번,1245,507,738,0,0,0
2005.05_세번,932,361,571,0,0,0
2005.05_네번 이상,868,402,466,0,0,0
2005.05_취업경험 없음,452,224,228,0,0,0
2006.05_졸업ㆍ중퇴 청년층인구 전체,5236,2240,2996,0,0,0
2006.05_취업경험 있음,4761,2008,2753,0,0,0
2006.05_한번,2012,835,1177,0,0,0
2006.05_두번,1182,491,691,0,0,0
2006.05_세번,829,334,495,0,0,0
2006.05_네번 이상,738,347,391,0,0,0
2006.05_취업경험 없음,475,232,243,0,0,0
2007.05_졸업ㆍ중퇴 청년층인구 전체,5102,2247,2855,0,0,0
2007.05_취업경험 있음,4669,2016,2653,0,0,0
2007.05_한번,1866,827,1039,0,0,0
2007.05_두번,1185,465,721,0,0,0
2007.05_세번,896,378,517,0,0,0
2007.05_네번 이상,723,347,376,0,0,0
2007.05_취업경험 없음,433,230,202,0,0,0
2008.05_졸업ㆍ중퇴 청년층인구 전체,5059,2235,2823,0,0,0
2008.05_취업경험 있음,4590,1987,2603,0,0,0
2008.05_한번,1841,813,1028,0,0,0
2008.05_두번,1132,458,675,0,0,0
2008.05_세번,882,366,517,0,0,0
2008.05_네번 이상,735,351,384,0,0,0
2008.05_취업경험 없음,468,248,220,0,0,0
2009.05_졸업ㆍ중퇴 청년층인구 전체,4878,2150,2728,0,0,0
2009.05_취업경험 있음,4375,1892,2483,0,0,0
2009.05_한번,1703,771,931,0,0,0
2009.05_두번,1069,434,635,0,0,0
2009.05_세번,882,363,519,0,0,0
2009.05_네번 이상,722,323,398,0,0,0
2009.05_취업경험 없음,502,258,245,0,0,0
2010.05_졸업ㆍ중퇴 청년층인구 전체,4756,2082,2674,0,0,0
2010.05_취업경험 있음,4272,1826,2446,0,0,0
2010.05_한번,1598,698,900,0,0,0
2010.05_두번,1104,468,636,0,0,0
2010.05_세번,840,318,521,0,0,0
2010.05_네번 이상,730,342,388,0,0,0
2010.05_취업경험 없음,485,256,229,0,0,0
2011.05_졸업ㆍ중퇴 청년층인구 전체,4655,2065,2590,0,0,0
2011.05_취업경험 있음,4129,1798,2331,0,0,0
2011.05_한번,1681,790,891,0,0,0
2011.05_두번,1063,442,621,0,0,0
2011.05_세번,720,262,458,0,0,0
2011.05_네번 이상,664,304,361,0,0,0
2011.05_취업경험 없음,526,267,259,0,0,0
2012.05_졸업ㆍ중퇴 청년층인구 전체,4556,2024,2532,0,0,0
2012.05_취업경험 있음,4037,1753,2283,0,0,0
2012.05_한번,1643,723,920,0,0,0
2012.05_두번,1034,440,594,0,0,0
2012.05_세번,719,299,420,0,0,0
2012.05_네번 이상,641,291,350,0,0,0
2012.05_취업경험 없음,519,271,248,0,0,0
2013.05_졸업ㆍ중퇴 청년층인구 전체,4411,1953,2458,0,0,0
2013.05_취업경험 있음,3857,1680,2178,0,0,0
2013.05_한번,1681,739,943,0,0,0
2013.05_두번,1010,417,593,0,0,0
2013.05_세번,613,262,351,0,0,0
2013.05_네번 이상,553,262,292,0,0,0
2013.05_취업경험 없음,554,274,280,0,0,0
2014.05_졸업ㆍ중퇴 청년층인구 전체,4389,1958,2431,0,0,0
2014.05_취업경험 있음,3827,1661,2166,0,0,0
2014.05_한번,1767,822,944,0,0,0
2014.05_두번,1001,375,626,0,0,0
2014.05_세번,587,240,347,0,0,0
2014.05_네번 이상,472,223,249,0,0,0
2014.05_취업경험 없음,562,297,265,0,0,0
2015.05_졸업ㆍ중퇴 청년층인구 전체,4557,2039,2517,0,0,0
2015.05_취업경험 있음,3926,1719,2207,0,0,0
2015.05_한번,1785,793,992,0,0,0
2015.05_두번,1071,455,616,0,0,0
2015.05_세번,589,243,346,0,0,0
2015.05_네번 이상,481,229,253,0,0,0
2015.05_취업경험 없음,631,321,310,0,0,0
2016.05_졸업ㆍ중퇴 청년층인구 전체,4643,2117,2526,0,0,0
2016.05_취업경험 있음,4033,1800,2233,0,0,0
2016.05_한번,1913,856,1057,0,0,0
2016.05_두번,1050,451,599,0,0,0
2016.05_세번,589,255,334,0,0,0
2016.05_네번 이상,481,239,242,0,0,0
2016.05_취업경험 없음,611,317,294,0,0,0
2017.05_졸업ㆍ중퇴 청년층인구 전체,4730,2191,2540,7840,3784,4056
2017.05_취업경험 있음,4101,1849,2252,7243,3481,3762
2017.05_한번,1879,853,1026,2809,1342,1467
2017.05_두번,1029,453,577,1810,809,1001
2017.05_세번,642,282,360,1344,657,688
2017.05_네번 이상,550,261,289,1281,674,607
2017.05_취업경험 없음,630,342,288,597,303,294
2018.05_졸업ㆍ중퇴 청년층인구 전체,4788,2248,2540,7784,3806,3979
2018.05_취업경험 있음,4140,1912,2229,7173,3517,3656
2018.05_한번,1895,893,1002,2754,1377,1377
2018.05_두번,1037,439,598,1811,843,968
2018.05_세번,674,315,360,1325,638,687
2018.05_네번 이상,534,265,269,1284,659,624
2018.05_취업경험 없음,648,336,312,612,289,323
2019.05_졸업ㆍ중퇴 청년층인구 전체,4835,2344,2492,7775,3856,3919
2019.05_취업경험 있음,4168,1975,2193,7142,3525,3617
2019.05_한번,1728,843,885,2523,1291,1232
2019.05_두번,1142,499,643,1895,875,1020
2019.05_세번,672,305,367,1326,643,683
2019.05_네번 이상,626,328,299,1397,716,681
2019.05_취업경험 없음,667,369,298,634,331,302
2020.05_졸업ㆍ중퇴 청년층인구 전체,4787,2311,2476,7747,3862,3885
2020.05_취업경험 있음,4070,1928,2142,7068,3516,3552
2020.05_한번,1585,777,808,2366,1233,1133
2020.05_두번,1079,494,585,1849,903,947
2020.05_세번,754,335,419,1417,678,739
2020.05_네번 이상,653,322,331,1436,702,734
2020.05_취업경험 없음,717,383,333,679,347,333
2021.05_졸업ㆍ중퇴 청년층인구 전체,4706,2284,2422,7733,3877,3855
2021.05_취업경험 있음,4056,1926,2130,7084,3531,3553
2021.05_한번,1618,778,840,2417,1240,1176
2021.05_두번,1090,526,564,1878,953,924
2021.05_세번,694,308,386,1337,628,709
2021.05_네번 이상,655,314,341,1453,710,743
2021.05_취업경험 없음,650,358,292,649,346,303
2022.05_졸업ㆍ중퇴 청년층인구 전체,4691,2263,2428,7770,3893,3876
2022.05_취업경험 있음,4117,1940,2177,7216,3583,3633
2022.05_한번,1701,808,893,2481,1255,1226
2022.05_두번,1076,490,586,1875,916,960
2022.05_세번,666,311,355,1322,640,682
2022.05_네번 이상,674,332,342,1538,772,766
2022.05_취업경험 없음,574,323,251,554,311,243
2023.05_졸업ㆍ중퇴 청년층인구 전체,4521,2170,2351,7707,3856,3851
2023.05_취업경험 있음,3947,1840,2107,7132,3537,3595
2023.05_한번,1548,742,806,2320,1173,1147
2023.05_두번,1104,492,612,1928,938,990
2023.05_세번,694,324,370,1400,702,698
2023.05_네번 이상,602,282,320,1485,724,760
2023.05_취업경험 없음,574,330,244,575,319,256
2024.05_졸업ㆍ중퇴 청년층인구 전체,4367,2121,2246,7585,3832,3752
2024.05_취업경험 있음,3765,1794,1972,7030,3528,3502
2024.05_한번,1552,751,801,2415,1248,1167
2024.05_두번,1043,494,548,1898,954,943
2024.05_세번,579,243,336,1267,593,673
2024.05_네번 이상,592,305,287,1451,732,719
2024.05_취업경험 없음,601,327,274,555,305,250
2025.05_졸업ㆍ중퇴 청년층인구 전체,4175,2052,2122,7502,3807,3695
2025.05_취업경험 있음,3607,1743,1864,6961,3526,3435
2025.05_한번,1559,805,754,2449,1299,1150
2025.05_두번,980,456,523,1817,928,889
2025.05_세번,510,212,298,1242,566,676
2025.05_네번 이상,559,270,289,1453,734,719
2025.05_취업경험 없음,568,309,259,541,281,260
