연령별_성별,15~29세_계,15~29세_남자,15~29세_여자,20~34세_계,20~34세_남자,20~34세_여자
2022.05_진학준비(2024.5~),0,0,0,0,0,0
2022.05_기타(2024.5~),0,0,0,0,0,0
2022.05_기타(~2023.5),121,62,59,68,41,27
2023.05_계,1261,638,622,1793,776,1017
2023.05_직업교육훈련,59,32,27,78,41,37
2023.05_취업관련시험준비,456,246,210,555,305,250
2023.05_그냥시간보냄,320,188,133,428,240,188
2023.05_여가시간,65,24,40,94,40,55
2023.05_구직활동,135,69,66,182,92,90
2023.05_육아가사,85,3,82,374,9,365
2023.05_진학준비(2024.5~),0,0,0,0,0,0
2023.05_기타(2024.5~),0,0,0,0,0,0
2023.05_기타(~2023.5),140,76,64,81,49,32
2024.05_계,1290,644,646,1761,779,982
2024.05_직업교육훈련,57,40,17,59,36,23
2024.05_취업관련시험준비,430,235,196,534,295,239
2024.05_그냥시간보냄,318,174,144,439,234,205
2024.05_여가시간,91,43,48,116,53,62
2024.05_구직활동,118,54,65,175,89,87
2024.05_육아가사,81,1,80,322,9,313
2024.05_진학준비(2024.5~),140,58,83,59,25,34
2024.05_기타(2024.5~),54,40,14,59,39,20
2024.05_기타(~2023.5),0,0,0,0,0,0
2025.05_계,1212,604,608,1704,759,945
2025.05_직업교육훈련,60,32,28,74,40,35
2025.05_취업관련시험준비,431,210,221,549,272,278
2025.05_그냥시간보냄,304,183,121,431,259,172
2025.05_여가시간,71,26,45,98,38,60
2025.05_구직활동,107,52,54,162,83,79
2025.05_육아가사,69,1,69,283,4,279
2025.05_진학준비(2024.5~),129,76,54,44,20,24
2025.05_기타(2024.5~),41,25,16,63,44,19
2025.05_기타(~2023.5),0,0,0,0,0,0
