근로형태별,임금근로자,정규직,비정규직,한시적,기간제,비기간제,시간제,비전형
2004.08_계약서서면작성비율,37.2,35.8,39.6,49.3,53.5,39.9,14.2,31.4
2004.08_증감(전년동월),0,0,0,0,0,0,0,0
2005.08_계약서서면작성비율,38.5,38.2,39,49.5,57.3,25.3,14.6,28.2
2005.08_증감(전년동월),1.3,2.4,-0.6,0.2,3.8,-14.6,0.4,-3.2
2006.08_계약서서면작성비율,41.4,40.6,42.9,54.2,57.3,44.8,16.4,32.8
2006.08_증감(전년동월),2.9,2.4,3.9,4.7,0,19.5,1.8,4.6
2007.03_계약서서면작성비율,41.7,40.3,44,58.7,63.2,47.1,13.8,32.2
2007.03_증감(전년동월),0,0,0,0,0,0,0,0
2007.08_계약서서면작성비율,42.9,41.5,45.3,60.7,66.1,47.2,17.2,34.5
2007.08_증감(전년동월),1.5,0.9,2.4,6.5,8.8,2.4,0.8,1.7
2008.03_계약서서면작성비율,44.8,45.9,42.9,59,72.2,27.2,16,34.9
2008.03_증감(전년동월),3.1,5.6,-1.1,0.3,9,-19.9,2.2,2.7
2008.08_계약서서면작성비율,46.5,46.7,46.1,61.8,71.1,38,19.2,37.7
2008.08_증감(전년동월),3.6,5.2,0.8,1.1,5,-9.2,2,3.2
2009.03_계약서서면작성비율,48.1,48.9,46.4,63.9,74.7,19,20.2,37
2009.03_증감(전년동월),3.3,3,3.5,4.9,2.5,-8.2,4.2,2.1
2009.08_계약서서면작성비율,48.6,47.7,50.4,69.6,79.5,30,23.8,37.9
2009.08_증감(전년동월),2.1,1,4.3,7.8,8.4,-8,4.6,0.2
2010.03_계약서서면작성비율,48.1,46.8,50.7,73.7,84.7,41.3,25.7,37.9
2010.03_증감(전년동월),0,-2.1,4.3,9.8,10,22.3,5.5,0.9
2010.08_계약서서면작성비율,48.2,47.1,50.3,72.7,83.1,40,26.8,39.6
2010.08_증감(전년동월),-0.4,-0.6,-0.1,3.1,3.6,10,3,1.7
2011.03_계약서서면작성비율,49.6,48.3,52,74.2,83.3,49.6,28.4,39.1
2011.03_증감(전년동월),1.5,1.5,1.3,0.5,-1.4,8.3,2.7,1.2
2011.08_계약서서면작성비율,50.5,49.7,51.9,73.8,82.2,45.3,31.7,39.6
2011.08_증감(전년동월),2.3,2.6,1.6,1.1,-0.9,5.3,4.9,0
2012.03_계약서서면작성비율,52.4,51.6,54,75.7,84.2,50,32.6,41.4
2012.03_증감(전년동월),2.8,3.3,2,1.5,0.9,0.4,4.2,2.3
2012.08_계약서서면작성비율,53.6,53.5,53.7,75.9,83.2,47.3,33,42.9
2012.08_증감(전년동월),3.1,3.8,1.8,2.1,1,2,1.3,3.3
2013.03_계약서서면작성비율,54.2,53.6,55.3,75.5,85.2,41.5,37.3,44.8
2013.03_증감(전년동월),1.8,2,1.3,-0.2,1,-8.5,4.7,3.4
2013.08_계약서서면작성비율,55.4,55.2,55.9,76,83.6,44.7,38.5,44.7
2013.08_증감(전년동월),1.8,1.7,2.2,0.1,0.4,-2.6,5.5,1.8
2014.03_계약서서면작성비율,0,0,0,0,0,0,0,0
2014.03_증감(전년동월),0,0,0,0,0,0,0,0
2014.08_계약서서면작성비율,56.6,55.9,58,77,84.6,49.5,42.2,47.4
2014.08_증감(전년동월),1.2,0.7,2.1,1,1,4.8,3.7,2.7
2015.03_계약서서면작성비율,0,0,0,0,0,0,0,0
2015.03_증감(전년동월),0,0,0,0,0,0,0,0
2015.08_계약서서면작성비율,59.2,59.9,57.7,76.3,84,47.8,44.1,46.5
2015.08_증감(전년동월),2.6,4,-0.3,-0.7,-0.6,-1.7,1.9,-0.9
2016.03_계약서서면작성비율,0,0,0,0,0,0,0,0
2016.03_증감(전년동월),0,0,0,0,0,0,0,0
2016.08_계약서서면작성비율,61.3,62.1,59.6,79.1,85.3,54.3,46.2,50.3
2016.08_증감(전년동월),2.1,2.2,1.9,2.8,1.3,6.5,2.1,3.8
2018.08_계약서서면작성비율,68.5,70.8,63.7,79.6,84.6,61.4,57.1,49.8
2018.08_증감(전년동월),0,0,0,0,0,0,0,0
2019.08_계약서서면작성비율,71.4,74.3,66.3,79.9,83.6,65.6,58.5,52.2
2019.08_증감(전년동월),2.9,3.5,2.6,0.3,-1,4.2,1.4,2.4
2020.08_계약서서면작성비율,74,76.2,70.2,86.6,93.2,48.1,64,51.1
2020.08_증감(전년동월),2.6,1.9,3.9,6.7,9.6,-17.5,5.5,-1.1
2021.08_계약서서면작성비율,77.9,79.7,74.9,89.6,94.3,56.4,71.3,53.6
2021.08_증감(전년동월),3.9,3.5,4.7,3,1.1,8.3,7.3,2.5
2022.08_계약서서면작성비율,78.8,80.5,76.1,88.7,92.4,62.3,71.1,58.4
2022.08_증감(전년동월),0.9,0.8,1.2,-0.9,-1.9,5.9,-0.2,4.8
2023.08_계약서서면작성비율,79.9,81,78,89.2,91.9,59.7,73,62.3
2023.08_증감(전년동월),1.1,0.5,1.9,0.5,-0.5,-2.6,1.9,3.9
2024.08_계약서서면작성비율,80.8,82,78.8,88.2,91,66.4,74.5,65.4
2024.08_증감(전년동월),0.9,1,0.8,-1,-0.9,6.7,1.5,3.1
2025.08_계약서서면작성비율,81.9,82.7,80.5,88.5,90.6,67.1,76.1,68.6
2025.08_증감(전년동월),1.1,0.7,1.7,0.3,-0.4,0.7,1.6,3.2
