연령구분_성별,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2004.05_직업훈련 유경험자 전체,1997,764,1233,0,0,0
2004.05_공공단체운영 훈련기관,239,141,98,0,0,0
2004.05_직업능력개발 훈련법인,130,62,68,0,0,0
2004.05_비영리법인 대학 등,124,72,52,0,0,0
2004.05_사설학원,1310,431,879,0,0,0
2004.05_기타,194,57,137,0,0,0
2005.05_직업훈련 유경험자 전체,1720,654,1065,0,0,0
2005.05_공공단체운영 훈련기관,240,143,97,0,0,0
2005.05_직업능력개발 훈련법인,125,61,64,0,0,0
2005.05_비영리법인 대학 등,110,59,51,0,0,0
2005.05_사설학원,1137,371,766,0,0,0
2005.05_기타,107,21,87,0,0,0
2006.05_직업훈련 유경험자 전체,1608,625,983,0,0,0
2006.05_공공단체운영 훈련기관,218,133,85,0,0,0
2006.05_직업능력개발 훈련법인,102,49,53,0,0,0
2006.05_비영리법인 대학 등,103,49,54,0,0,0
2006.05_사설학원,1062,369,693,0,0,0
2006.05_기타,123,25,98,0,0,0
2007.05_직업훈련 유경험자 전체,1537,635,902,0,0,0
2007.05_공공단체운영 훈련기관,201,128,73,0,0,0
2007.05_직업능력개발 훈련법인,93,43,50,0,0,0
2007.05_비영리법인 대학 등,104,56,48,0,0,0
2007.05_사설학원,1029,380,649,0,0,0
2007.05_기타,109,27,83,0,0,0
2008.05_직업훈련 유경험자 전체,1518,606,913,0,0,0
2008.05_공공단체운영 훈련기관,132,75,57,0,0,0
2008.05_직업능력개발 훈련법인,149,78,71,0,0,0
2008.05_비영리법인 대학 등,89,21,68,0,0,0
2008.05_사설학원,1047,379,668,0,0,0
2008.05_기타,102,53,49,0,0,0
2009.05_직업훈련 유경험자 전체,1563,650,913,0,0,0
2009.05_공공단체운영 훈련기관,135,86,49,0,0,0
2009.05_직업능력개발 훈련법인,184,93,91,0,0,0
2009.05_비영리법인 대학 등,132,40,92,0,0,0
2009.05_사설학원,1024,385,640,0,0,0
2009.05_기타,88,47,41,0,0,0
2010.05_직업훈련 유경험자 전체,1538,631,907,0,0,0
2010.05_공공단체운영 훈련기관,127,82,45,0,0,0
2010.05_직업능력개발 훈련법인,192,100,93,0,0,0
2010.05_비영리법인 대학 등,143,40,104,0,0,0
2010.05_사설학원,999,372,628,0,0,0
2010.05_기타,76,39,37,0,0,0
2011.05_직업훈련 유경험자 전체,1475,615,860,0,0,0
2011.05_공공단체운영 훈련기관,107,61,46,0,0,0
2011.05_직업능력개발 훈련법인,192,90,102,0,0,0
2011.05_비영리법인 대학 등,142,45,97,0,0,0
2011.05_사설학원,954,378,576,0,0,0
2011.05_기타,80,41,39,0,0,0
2012.05_직업훈련 유경험자 전체,1438,574,865,0,0,0
2012.05_공공단체운영 훈련기관,103,66,38,0,0,0
2012.05_직업능력개발 훈련법인,186,78,109,0,0,0
2012.05_비영리법인 대학 등,166,49,116,0,0,0
2012.05_사설학원,899,346,553,0,0,0
2012.05_기타,84,35,49,0,0,0
2013.05_직업훈련 유경험자 전체,1378,584,794,0,0,0
2013.05_공공단체운영 훈련기관,115,78,37,0,0,0
2013.05_직업능력개발 훈련법인,165,70,95,0,0,0
2013.05_비영리법인 대학 등,153,45,108,0,0,0
2013.05_사설학원,859,354,504,0,0,0
2013.05_기타,86,37,50,0,0,0
2014.05_직업훈련 유경험자 전체,1501,636,865,0,0,0
2014.05_공공단체운영 훈련기관,123,70,53,0,0,0
2014.05_직업능력개발 훈련법인,175,84,91,0,0,0
2014.05_비영리법인 대학 등,173,51,123,0,0,0
2014.05_사설학원,931,377,555,0,0,0
2014.05_기타,99,55,44,0,0,0
2015.05_직업훈련 유경험자 전체,1529,639,890,0,0,0
2015.05_공공단체운영 훈련기관,159,87,72,0,0,0
2015.05_직업능력개발 훈련법인,181,81,100,0,0,0
2015.05_비영리법인 대학 등,207,60,147,0,0,0
2015.05_사설학원,880,353,527,0,0,0
2015.05_기타,102,58,44,0,0,0
2016.05_직업훈련 유경험자 전체,1500,637,862,0,0,0
2016.05_공공단체운영 훈련기관,162,94,68,0,0,0
2016.05_직업능력개발 훈련법인,170,74,96,0,0,0
2016.05_비영리법인 대학 등,187,78,109,0,0,0
2016.05_사설학원,876,342,534,0,0,0
2016.05_기타,103,48,55,0,0,0
2017.05_직업훈련 유경험자 전체,1705,740,964,2498,1145,1353
2017.05_공공단체운영 훈련기관,169,89,80,266,145,121
2017.05_직업능력개발 훈련법인,175,78,97,285,142,143
2017.05_비영리법인 대학 등,210,75,135,318,115,203
2017.05_사설학원,1024,438,586,1447,649,798
2017.05_기타,127,60,67,182,94,88
2018.05_직업훈련 유경험자 전체,1721,742,979,2559,1164,1395
2018.05_공공단체운영 훈련기관,178,110,68,278,174,103
2018.05_직업능력개발 훈련법인,218,101,117,345,167,178
2018.05_비영리법인 대학 등,210,83,127,319,129,190
2018.05_사설학원,986,381,606,1436,594,842
2018.05_기타,129,69,61,181,100,81
2019.05_직업훈련 유경험자 전체,1633,700,933,2453,1100,1353
2019.05_공공단체운영 훈련기관,186,108,78,301,182,119
2019.05_직업능력개발 훈련법인,222,117,105,346,188,158
2019.05_비영리법인 대학 등,322,126,195,454,177,277
2019.05_사설학원,732,269,462,1094,429,665
2019.05_기타,172,79,92,259,124,134
2020.05_직업훈련 유경험자 전체,1625,707,919,2435,1129,1307
2020.05_공공단체운영 훈련기관,217,134,83,343,220,123
2020.05_직업능력개발 훈련법인,228,123,106,338,189,149
2020.05_비영리법인 대학 등,376,139,237,557,205,352
2020.05_사설학원,580,200,380,867,350,516
2020.05_기타,224,111,113,332,165,167
2021.05_직업훈련 유경험자 전체,1576,677,900,2367,1089,1278
2021.05_공공단체운영 훈련기관,219,116,103,365,224,142
2021.05_직업능력개발 훈련법인,249,120,129,361,179,183
2021.05_비영리법인 대학 등,348,125,223,525,201,324
2021.05_사설학원,559,226,333,802,342,461
2021.05_기타,201,89,112,313,144,169
2022.05_직업훈련 유경험자 전체,1462,623,840,2289,1029,1260
2022.05_공공단체운영 훈련기관,193,98,94,332,196,136
2022.05_직업능력개발 훈련법인,220,109,111,310,155,155
2022.05_비영리법인 대학 등,263,97,165,472,181,291
2022.05_사설학원,641,261,380,926,386,540
2022.05_기타,146,57,89,250,111,139
2023.05_직업훈련 유경험자 전체,1351,572,779,2213,973,1240
2023.05_공공단체운영 훈련기관,164,97,66,270,152,118
2023.05_직업능력개발 훈련법인,181,95,85,301,159,142
2023.05_비영리법인 대학 등,268,109,159,466,190,277
2023.05_사설학원,586,214,372,923,360,563
2023.05_기타,154,57,97,253,112,141
2024.05_직업훈련 유경험자 전체,1368,612,756,2242,1039,1203
2024.05_공공단체운영 훈련기관,174,102,72,274,155,119
2024.05_직업능력개발 훈련법인,192,104,87,315,173,142
2024.05_비영리법인 대학 등,259,102,157,443,190,253
2024.05_사설학원,586,234,352,960,401,560
2024.05_기타,156,69,88,251,121,130
2025.05_직업훈련 유경험자 전체,1247,560,687,2221,1033,1188
2025.05_공공단체운영 훈련기관,164,105,59,311,183,127
2025.05_직업능력개발 훈련법인,151,74,77,302,171,131
2025.05_비영리법인 대학 등,218,98,119,422,177,245
2025.05_사설학원,570,218,352,941,382,559
2025.05_기타,145,65,80,245,119,126
