산업별,계,"A 농업, 임업 및 어업","광·제조업(B,C)",B 광업,C 제조업,사회간접자본 및 기타서비스업(D~U),"D 전기, 가스, 증기 및 공기조절 공급업","E 수도, 하수 및 폐기물 처리, 원료 재생업",F 건설업,"도소매·음식숙박업(G, I)","사업·개인·공공서비스 및 기타(E, L~U)","전기·운수·통신·금융(D, H, J, K)",G 도매 및 소매업,H 운수 및 창고업,I 숙박 및 음식점업,J 정보통신업,K 금융 및 보험업,L 부동산업,"M 전문, 과학 및 기술 서비스업","N 사업시설관리, 사업지원 및 임대 서비스업","O 공공행정, 국방 및 사회보장 행정",P 교육 서비스업,Q 보건업 및 사회복지 서비스업,"R 예술, 스포츠 및 여가관련 서비스업","S 협회 및 단체, 수리 및 기타 개인 서비스업",T 가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,U 국제 및 외국기관
2020.08_한시적,4608,33,455,3,452,4121,10,32,267,618,2916,319,333,156,285,99,54,134,142,574,405,408,953,107,126,30,5
2020.08_시간제,3252,16,145,0,144,3091,1,11,154,896,1927,115,373,56,523,29,28,48,47,160,304,352,716,102,127,59,2
2020.08_비전형,2073,36,65,1,64,1972,3,4,559,235,900,278,147,57,88,12,206,45,12,632,4,58,32,21,77,17,0
2021.08_임금근로자,20992,124,3877,12,3865,16991,70,156,1742,3354,9346,2550,2102,890,1252,859,731,401,1059,1311,1224,1553,2572,323,651,83,13
2021.08_정규직,12927,44,3242,8,3234,9640,63,117,852,1908,5085,1796,1349,626,559,676,431,192,853,422,829,880,1216,143,410,12,12
2021.08_비정규직,8066,80,635,5,631,7351,7,40,890,1447,4260,754,753,264,694,183,300,208,206,890,395,673,1356,180,241,71,1
2021.08_한시적,5171,26,497,4,493,4649,5,35,269,670,3316,393,379,155,291,151,83,159,164,629,380,486,1178,121,138,26,1
2021.08_시간제,3512,21,122,0,122,3369,3,8,138,934,2150,147,400,74,534,37,34,54,65,177,262,410,890,104,125,56,0
2021.08_비전형,2278,48,81,1,81,2148,3,3,596,219,979,354,152,93,67,25,233,57,13,664,1,69,57,20,75,21,0
2022.08_임금근로자,21724,115,4134,6,4128,17475,81,130,1740,3492,9616,2627,2151,914,1340,925,708,399,1119,1300,1295,1592,2694,320,670,79,18
2022.08_정규직,13568,53,3473,5,3468,10041,74,100,895,1973,5325,1849,1404,660,569,723,392,178,928,428,913,890,1307,130,422,11,17
2022.08_비정규직,8156,62,661,1,660,7433,7,30,845,1519,4291,779,748,253,771,202,316,220,191,871,382,702,1388,190,248,68,1
2022.08_한시적,5348,18,526,1,525,4804,6,25,295,718,3382,409,374,145,343,169,89,172,158,630,371,518,1220,123,142,22,1
2022.08_시간제,3687,26,142,0,142,3519,1,7,151,1013,2187,169,427,82,587,42,43,63,51,194,242,446,906,98,130,50,0
2022.08_비전형,2131,38,74,1,74,2018,1,4,531,207,921,359,149,94,58,23,241,48,11,626,4,54,56,26,70,24,0
2023.08_임금근로자,21954,104,4035,7,4028,17815,92,135,1703,3572,9878,2661,2133,899,1440,957,714,392,1167,1328,1297,1585,2841,347,704,65,17
2023.08_정규직,13832,43,3385,6,3379,10404,77,103,955,2077,5489,1883,1427,635,650,765,406,184,946,457,911,902,1349,140,469,16,12
2023.08_비정규직,8122,61,650,1,649,7411,15,32,748,1495,4390,778,706,264,790,192,308,208,221,871,386,684,1492,207,235,49,5
2023.08_한시적,5259,29,504,1,503,4726,13,27,305,645,3360,417,320,164,325,153,87,158,176,598,374,503,1249,123,130,20,3
2023.08_시간제,3873,23,173,0,173,3678,1,5,158,1041,2310,169,417,67,624,51,50,67,71,207,252,417,1021,112,117,39,2
2023.08_비전형,1957,27,54,0,54,1876,1,3,436,199,893,349,151,87,48,27,234,39,17,625,4,49,53,33,62,9,0
2024.08_임금근로자,22143,107,3987,6,3981,18049,86,127,1637,3600,9973,2840,2131,988,1468,1025,741,352,1247,1308,1327,1587,2899,355,683,74,14
2024.08_정규직,13685,44,3298,5,3293,10343,79,100,901,1984,5445,2013,1387,686,597,819,430,165,986,444,914,887,1353,155,413,19,10
2024.08_비정규직,8459,63,689,1,689,7706,7,28,736,1616,4528,827,745,303,871,206,311,188,261,864,413,700,1546,200,270,55,4
2024.08_한시적,5628,35,536,1,535,5057,7,24,366,785,3474,432,371,173,414,162,89,132,200,620,394,501,1299,134,148,19,4
2024.08_시간제,4256,21,172,0,172,4063,1,10,139,1150,2541,233,439,101,710,63,69,68,91,218,299,437,1093,113,163,51,0
2024.08_비전형,1903,24,56,0,56,1823,0,3,375,178,900,371,134,103,44,26,243,42,18,635,4,46,47,35,57,13,0
2025.08_임금근로자,22413,100,3925,8,3917,18388,94,132,1514,3548,10395,2931,2112,1034,1436,1024,779,387,1277,1313,1329,1603,3211,373,684,75,12
2025.08_정규직,13845,39,3267,6,3261,10540,84,109,829,2032,5648,2031,1409,692,623,805,451,181,1027,450,931,890,1455,167,415,15,8
2025.08_비정규직,8568,61,659,3,656,7848,11,23,685,1517,4748,900,703,342,813,219,328,205,250,863,398,713,1756,207,269,59,5
2025.08_한시적,5848,36,543,3,540,5269,7,21,383,746,3671,469,364,206,382,166,89,153,190,606,387,535,1459,134,165,18,3
2025.08_시간제,4229,17,131,0,131,4082,4,4,142,1072,2646,223,415,114,657,53,51,64,81,233,267,426,1264,116,142,46,2
2025.08_비전형,1834,22,44,0,44,1767,2,2,298,146,935,388,103,102,43,42,243,48,15,643,4,54,58,26,71,15,0
