성별_연령구분,전체_15~29세,전체_20~34세,남자_15~29세,남자_20~34세,여자_15~29세,여자_20~34세
2007.05_청년층대졸자,2930,0,1146,0,1784,0
2007.05_휴학경험있음,1066,0,830,0,235,0
2007.05_병역의무이행,795,0,795,0,0,0
2007.05_취업및자격시험준비,156,0,76,0,81,0
2007.05_어학연수및인턴등현장경험,107,0,55,0,52,0
2007.05_학비(생활비)마련,135,0,70,0,65,0
2007.05_기타,118,0,50,0,68,0
2007.05_휴학경험없음,1864,0,316,0,1549,0
2007.05_평균휴학기간 (개월),29,0,33,0,15,0
2008.05_청년층대졸자,3015,0,1194,0,1821,0
2008.05_휴학경험있음,1163,0,876,0,287,0
2008.05_병역의무이행,827,0,827,0,0,0
2008.05_취업및자격시험준비,195,0,93,0,102,0
2008.05_어학연수및인턴등현장경험,131,0,47,0,84,0
2008.05_학비(생활비)마련,146,0,68,0,79,0
2008.05_기타,111,0,53,0,58,0
2008.05_휴학경험없음,1852,0,318,0,1534,0
2008.05_평균휴학기간 (개월),28,0,33,0,14,0
2009.05_청년층대졸자,2966,0,1194,0,1771,0
2009.05_휴학경험있음,1175,0,872,0,302,0
2009.05_병역의무이행,828,0,828,0,0,0
2009.05_취업및자격시험준비,203,0,92,0,111,0
2009.05_어학연수및인턴등현장경험,153,0,64,0,89,0
2009.05_학비(생활비)마련,147,0,63,0,83,0
2009.05_기타,96,0,41,0,55,0
2009.05_휴학경험없음,1791,0,322,0,1469,0
2009.05_평균휴학기간 (개월),28,0,33,0,14,0
2010.05_청년층대졸자,2900,0,1112,0,1787,0
2010.05_휴학경험있음,1155,0,826,0,329,0
2010.05_병역의무이행,786,0,786,0,0,0
2010.05_취업및자격시험준비,222,0,99,0,123,0
2010.05_어학연수및인턴등현장경험,169,0,78,0,91,0
2010.05_학비(생활비)마련,148,0,59,0,89,0
2010.05_기타,104,0,46,0,58,0
2010.05_휴학경험없음,1745,0,286,0,1458,0
2010.05_평균휴학기간 (개월),28,0,34,0,15,0
2011.05_청년층대졸자,2880,0,1162,0,1718,0
2011.05_휴학경험있음,1240,0,890,0,350,0
2011.05_병역의무이행,853,0,853,0,0,0
2011.05_취업및자격시험준비,218,0,95,0,123,0
2011.05_어학연수및인턴등현장경험,187,0,77,0,111,0
2011.05_학비(생활비)마련,151,0,69,0,82,0
2011.05_기타,130,0,53,0,77,0
2011.05_휴학경험없음,1640,0,272,0,1368,0
2011.05_평균휴학기간 (개월),28,0,33,0,15,0
2012.05_청년층대졸자,2881,0,1129,0,1753,0
2012.05_휴학경험있음,1233,0,889,0,344,0
2012.05_병역의무이행,851,0,851,0,0,0
2012.05_취업및자격시험준비,268,0,105,0,164,0
2012.05_어학연수및인턴등현장경험,189,0,78,0,111,0
2012.05_학비(생활비)마련,135,0,71,0,65,0
2012.05_기타,128,0,58,0,70,0
2012.05_휴학경험없음,1648,0,240,0,1409,0
2012.05_평균휴학기간 (개월),28,0,32,0,15,0
2013.05_청년층대졸자,2830,0,1098,0,1732,0
2013.05_휴학경험있음,1211,0,875,0,336,0
2013.05_병역의무이행,834,0,834,0,0,0
2013.05_취업및자격시험준비,282,0,113,0,169,0
2013.05_어학연수및인턴등현장경험,153,0,46,0,107,0
2013.05_학비(생활비)마련,150,0,86,0,64,0
2013.05_기타,107,0,45,0,61,0
2013.05_휴학경험없음,1619,0,223,0,1396,0
2013.05_평균휴학기간 (개월),27,0,31,0,15,0
2014.05_청년층대졸자,2811,0,1106,0,1705,0
2014.05_휴학경험있음,1198,0,873,0,325,0
2014.05_병역의무이행,831,0,831,0,0,0
2014.05_취업및자격시험준비,268,0,99,0,169,0
2014.05_어학연수및인턴등현장경험,168,0,65,0,103,0
2014.05_학비(생활비)마련,169,0,99,0,70,0
2014.05_기타,96,0,50,0,47,0
2014.05_휴학경험없음,1614,0,234,0,1380,0
2014.05_평균휴학기간 (개월),27,0,31,0,15,0
2015.05_청년층대졸자,2865,0,1120,0,1745,0
2015.05_휴학경험있음,1154,0,855,0,299,0
2015.05_병역의무이행,836,0,836,0,0,0
2015.05_취업및자격시험준비,231,0,79,0,152,0
2015.05_어학연수및인턴등현장경험,163,0,59,0,104,0
2015.05_학비(생활비)마련,152,0,82,0,70,0
2015.05_기타,58,0,18,0,40,0
2015.05_휴학경험없음,1711,0,264,0,1447,0
2015.05_평균휴학기간 (개월),27,0,30,0,15,0
2016.05_청년층대졸자,2865,0,1131,0,1734,0
2016.05_휴학경험있음,1272,0,897,0,375,0
2016.05_병역의무이행,869,0,869,0,0,0
2016.05_취업및자격시험준비,343,0,113,0,230,0
2016.05_어학연수및인턴등현장경험,194,0,75,0,119,0
2016.05_학비(생활비)마련,145,0,82,0,63,0
2016.05_기타,68,0,28,0,41,0
2016.05_휴학경험없음,1593,0,234,0,1359,0
2016.05_평균휴학기간 (개월),26,0,31,0,15,0
2017.05_청년층대졸자,2930,5224,1178,2345,1753,2880
2017.05_휴학경험있음,1262,2384,917,1808,345,576
2017.05_병역의무이행,880,1729,880,1729,0,0
2017.05_취업및자격시험준비,382,639,159,297,223,342
2017.05_어학연수및인턴등현장경험,175,305,66,121,109,185
2017.05_학비(생활비)마련,138,294,79,184,59,110
2017.05_기타,56,109,15,36,41,73
2017.05_휴학경험없음,1668,2840,261,537,1408,2304
2017.05_평균휴학기간 (개월),26,27,30,31,15,17
2018.05_청년층대졸자,2926,5128,1175,2308,1751,2819
2018.05_휴학경험있음,1298,2402,913,1770,385,633
2018.05_병역의무이행,869,1645,869,1645,0,0
2018.05_취업및자격시험준비,384,614,141,257,242,357
2018.05_어학연수및인턴등현장경험,167,307,53,106,114,201
2018.05_학비(생활비)마련,125,323,71,218,54,105
2018.05_기타,86,149,25,56,61,94
2018.05_휴학경험없음,1628,2725,262,539,1366,2187
2018.05_평균휴학기간 (개월),25,26,29,30,15,16
2019.05_청년층대졸자,2967,5098,1228,2303,1740,2795
2019.05_휴학경험있음,1360,2480,957,1795,403,685
2019.05_병역의무이행,912,1697,912,1697,0,0
2019.05_취업및자격시험준비,348,584,110,211,238,374
2019.05_어학연수및인턴등현장경험,187,386,52,133,135,254
2019.05_학비(생활비)마련,144,310,96,208,48,103
2019.05_기타,120,189,35,62,85,127
2019.05_휴학경험없음,1608,2617,271,508,1337,2110
2019.05_평균휴학기간 (개월),24,26,28,29,15,16
2020.05_청년층대졸자,2920,5104,1205,2330,1715,2774
2020.05_휴학경험있음,1373,2558,922,1808,451,750
2020.05_병역의무이행,886,1727,886,1727,0,0
2020.05_취업및자격시험준비,361,631,127,263,234,368
2020.05_어학연수및인턴등현장경험,188,400,49,134,139,266
2020.05_학비(생활비)마련,152,322,73,173,79,149
2020.05_기타,135,212,35,67,99,146
2020.05_휴학경험없음,1547,2546,283,522,1264,2024
2020.05_평균휴학기간 (개월),24,26,28,30,15,16
2021.05_청년층대졸자,2852,5094,1216,2345,1636,2748
2021.05_휴학경험있음,1371,2537,917,1779,454,758
2021.05_병역의무이행,879,1699,879,1699,0,0
2021.05_취업및자격시험준비,354,633,115,263,239,370
2021.05_어학연수및인턴등현장경험,147,364,44,130,104,234
2021.05_학비(생활비)마련,158,315,74,161,83,154
2021.05_기타,141,213,28,61,114,152
2021.05_휴학경험없음,1481,2557,299,567,1182,1990
2021.05_평균휴학기간 (개월),24,25,28,30,14,16
2022.05_청년층대졸자,2860,5162,1201,2365,1659,2797
2022.05_휴학경험있음,1332,2517,912,1811,420,706
2022.05_병역의무이행,875,1726,875,1726,0,0
2022.05_취업및자격시험준비,341,627,126,288,215,339
2022.05_어학연수및인턴등현장경험,154,350,44,124,111,227
2022.05_학비(생활비)마련,116,284,53,150,63,134
2022.05_기타,154,223,35,66,119,157
2022.05_휴학경험없음,1528,2645,289,554,1239,2091
2022.05_평균휴학기간 (개월),24,26,28,29,15,16
2023.05_청년층대졸자,2825,5128,1173,2336,1652,2792
2023.05_휴학경험있음,1293,2473,886,1765,407,708
2023.05_병역의무이행,844,1650,844,1650,0,0
2023.05_취업및자격시험준비,319,601,127,282,192,320
2023.05_어학연수및인턴등현장경험,165,366,44,132,121,233
2023.05_학비(생활비)마련,121,288,64,150,58,137
2023.05_기타,138,203,39,64,99,139
2023.05_휴학경험없음,1532,2655,287,571,1245,2084
2023.05_평균휴학기간 (개월),23,25,27,29,14,15
2024.05_청년층대졸자,2752,5161,1135,2364,1617,2796
2024.05_휴학경험있음,1287,2527,846,1748,441,779
2024.05_병역의무이행,792,1611,792,1611,0,0
2024.05_취업및자격시험준비,347,658,122,275,225,383
2024.05_어학연수및인턴등현장경험,153,336,39,102,115,234
2024.05_학비(생활비)마련,141,306,61,159,79,147
2024.05_기타,133,247,41,87,92,160
2024.05_휴학경험없음,1465,2633,289,616,1176,2017
2024.05_평균휴학기간 (개월),23,24,27,28,14,14
2025.05_청년층대졸자,2681,5180,1101,2323,1580,2857
2025.05_휴학경험있음,1243,2521,816,1737,427,785
2025.05_병역의무이행,750,1590,750,1590,0,0
2025.05_취업및자격시험준비,344,681,101,258,243,423
2025.05_어학연수및인턴등현장경험,120,316,30,112,90,204
2025.05_학비(생활비)마련,147,270,71,138,77,132
2025.05_기타,137,257,44,78,92,179
2025.05_휴학경험없음,1438,2659,284,587,1154,2072
2025.05_평균휴학기간 (개월),22,24,27,28,14,15
