연령구분_성별,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2006.05_청년층 비경제활동인구 전체,5196,2539,2657,0,0,0
2006.05_취업시험 준비하였음,542,282,261,0,0,0
2006.05_일반기업체,87,59,28,0,0,0
2006.05_언론사/공영기업체,49,23,26,0,0,0
2006.05_교원임용,42,11,31,0,0,0
2006.05_일반직공무원,221,118,102,0,0,0
2006.05_고시 및 전문직,63,40,24,0,0,0
2006.05_기능분야 및 기타,80,31,50,0,0,0
2006.05_취업시험 준비하지 않았음,4652,2257,2395,0,0,0
2006.05_미상,2,0,2,0,0,0
2007.05_청년층 비경제활동인구 전체,5267,2582,2684,0,0,0
2007.05_취업시험 준비하였음,540,300,240,0,0,0
2007.05_일반기업체,88,54,35,0,0,0
2007.05_언론사/공영기업체,38,30,8,0,0,0
2007.05_교원임용,48,9,39,0,0,0
2007.05_일반직공무원,202,116,86,0,0,0
2007.05_고시 및 전문직,65,37,29,0,0,0
2007.05_기능분야 및 기타,99,55,43,0,0,0
2007.05_취업시험 준비하지 않았음,4721,2280,2441,0,0,0
2007.05_미상,6,3,3,0,0,0
2008.05_청년층 비경제활동인구 전체,5338,2669,2668,0,0,0
2008.05_취업시험 준비하였음,561,317,244,0,0,0
2008.05_일반기업체,92,62,30,0,0,0
2008.05_언론사/공영기업체,41,26,15,0,0,0
2008.05_교원임용,41,5,36,0,0,0
2008.05_일반직공무원,207,125,81,0,0,0
2008.05_고시 및 전문직,76,56,20,0,0,0
2008.05_기능분야 및 기타,105,43,62,0,0,0
2008.05_취업시험 준비하지 않았음,4769,2350,2419,0,0,0
2008.05_미상,8,3,5,0,0,0
2009.05_청년층 비경제활동인구 전체,5427,2684,2743,0,0,0
2009.05_취업시험 준비하였음,546,283,264,0,0,0
2009.05_일반기업체,103,65,38,0,0,0
2009.05_언론사/공영기업체,38,23,16,0,0,0
2009.05_교원임용,52,8,43,0,0,0
2009.05_일반직공무원,178,108,71,0,0,0
2009.05_고시 및 전문직,74,38,37,0,0,0
2009.05_기능분야 및 기타,101,41,60,0,0,0
2009.05_취업시험 준비하지 않았음,4874,2398,2476,0,0,0
2009.05_미상,7,3,4,0,0,0
2010.05_청년층 비경제활동인구 전체,5427,2732,2695,0,0,0
2010.05_취업시험 준비하였음,543,292,251,0,0,0
2010.05_일반기업체,91,61,30,0,0,0
2010.05_언론사/공영기업체,24,13,11,0,0,0
2010.05_교원임용,28,7,21,0,0,0
2010.05_일반직공무원,177,94,83,0,0,0
2010.05_고시 및 전문직,86,47,39,0,0,0
2010.05_기능분야 및 기타,138,70,68,0,0,0
2010.05_취업시험 준비하지 않았음,4881,2439,2442,0,0,0
2010.05_미상,3,1,2,0,0,0
2011.05_청년층 비경제활동인구 전체,5413,2731,2682,0,0,0
2011.05_취업시험 준비하였음,599,321,278,0,0,0
2011.05_일반기업체,122,79,44,0,0,0
2011.05_언론사/공영기업체,30,16,14,0,0,0
2011.05_교원임용,33,10,23,0,0,0
2011.05_일반직공무원,181,102,78,0,0,0
2011.05_고시 및 전문직,66,31,35,0,0,0
2011.05_기능분야 및 기타,167,84,84,0,0,0
2011.05_취업시험 준비하지 않았음,4811,2408,2404,0,0,0
2011.05_미상,3,3,0,0,0,0
2012.05_청년층 비경제활동인구 전체,5293,2708,2585,0,0,0
2012.05_취업시험 준비하였음,572,318,254,0,0,0
2012.05_일반기업체,128,87,41,0,0,0
2012.05_언론사/공영기업체,36,23,13,0,0,0
2012.05_교원임용,36,9,28,0,0,0
2012.05_일반직공무원,164,101,64,0,0,0
2012.05_고시 및 전문직,67,39,28,0,0,0
2012.05_기능분야 및 기타,140,60,80,0,0,0
2012.05_취업시험 준비하지 않았음,4719,2387,2332,0,0,0
2012.05_미상,2,2,0,0,0,0
2013.05_청년층 비경제활동인구 전체,5379,2739,2640,0,0,0
2013.05_취업시험 준비하였음,603,324,278,0,0,0
2013.05_일반기업체,131,81,50,0,0,0
2013.05_언론사/공영기업체,53,29,24,0,0,0
2013.05_교원임용,28,11,17,0,0,0
2013.05_일반직공무원,192,106,86,0,0,0
2013.05_고시 및 전문직,60,34,26,0,0,0
2013.05_기능분야 및 기타,139,64,75,0,0,0
2013.05_취업시험 준비하지 않았음,4775,2414,2361,0,0,0
2013.05_미상,1,1,1,0,0,0
2014.05_청년층 비경제활동인구 전체,5258,2701,2557,0,0,0
2014.05_취업시험 준비하였음,650,362,288,0,0,0
2014.05_일반기업체,166,103,63,0,0,0
2014.05_언론사/공영기업체,52,24,28,0,0,0
2014.05_교원임용,35,21,14,0,0,0
2014.05_일반직공무원,182,118,64,0,0,0
2014.05_고시 및 전문직,75,39,35,0,0,0
2014.05_기능분야 및 기타,139,56,83,0,0,0
2014.05_취업시험 준비하지 않았음,4606,2338,2268,0,0,0
2014.05_미상,3,1,2,0,0,0
2015.05_청년층 비경제활동인구 전체,5099,2596,2503,0,0,0
2015.05_취업시험 준비하였음,622,311,311,0,0,0
2015.05_일반기업체,118,61,57,0,0,0
2015.05_언론사/공영기업체,52,29,23,0,0,0
2015.05_교원임용,32,10,22,0,0,0
2015.05_일반직공무원,218,123,95,0,0,0
2015.05_고시 및 전문직,60,29,31,0,0,0
2015.05_기능분야 및 기타,142,59,83,0,0,0
2015.05_취업시험 준비하지 않았음,4475,2284,2191,0,0,0
2015.05_미상,1,1,0,0,0,0
2016.05_청년층 비경제활동인구 전체,5004,2548,2455,0,0,0
2016.05_취업시험 준비하였음,644,343,301,0,0,0
2016.05_일반기업체,138,80,58,0,0,0
2016.05_언론사/공영기업체,58,30,28,0,0,0
2016.05_교원임용,33,10,23,0,0,0
2016.05_일반직공무원,253,144,108,0,0,0
2016.05_고시 및 전문직,55,32,24,0,0,0
2016.05_기능분야 및 기타,108,46,61,0,0,0
2016.05_취업시험 준비하지 않았음,4356,2203,2153,0,0,0
2016.05_미상,3,2,1,0,0,0
2017.05_청년층 비경제활동인구 전체,4892,2501,2390,3025,1311,1713
2017.05_취업시험 준비하였음,699,380,318,796,447,349
2017.05_일반기업체,144,80,64,161,92,69
2017.05_언론사/공영기업체,56,31,25,62,35,28
2017.05_교원임용,43,14,28,52,18,34
2017.05_일반직공무원,256,146,110,306,180,126
2017.05_고시 및 전문직,58,30,28,74,37,37
2017.05_기능분야 및 기타,142,80,62,142,85,57
2017.05_취업시험 준비하지 않았음,4191,2119,2071,2224,861,1364
2017.05_미상,3,2,1,4,3,1
2018.05_청년층 비경제활동인구 전체,4789,2458,2332,2925,1280,1645
2018.05_취업시험 준비하였음,626,338,289,705,383,322
2018.05_일반기업체,154,101,53,167,109,59
2018.05_언론사/공영기업체,50,26,24,61,33,28
2018.05_교원임용,37,17,20,43,20,23
2018.05_일반직공무원,208,109,99,242,134,108
2018.05_고시 및 전문직,49,18,31,63,23,40
2018.05_기능분야 및 기타,129,68,61,130,65,65
2018.05_취업시험 준비하지 않았음,4162,2119,2043,2219,895,1324
2018.05_미상,1,1,0,1,1,0
2019.05_청년층 비경제활동인구 전체,4683,2367,2316,2930,1295,1635
2019.05_취업시험 준비하였음,714,383,331,786,430,356
2019.05_일반기업체,169,111,58,199,127,72
2019.05_언론사/공영기업체,71,44,27,74,48,26
2019.05_교원임용,30,6,25,35,7,27
2019.05_일반직공무원,219,106,113,248,127,121
2019.05_고시 및 전문직,48,22,27,58,28,30
2019.05_기능분야 및 기타,177,95,83,173,92,80
2019.05_취업시험 준비하지 않았음,3968,1984,1985,2143,866,1277
2019.05_미상,0,0,0,1,0,1
2020.05_청년층 비경제활동인구 전체,4738,2408,2330,3115,1402,1713
2020.05_취업시험 준비하였음,804,430,374,887,492,396
2020.05_일반기업체,199,127,72,220,146,74
2020.05_언론사/공영기업체,112,74,38,117,75,43
2020.05_교원임용,35,7,28,40,10,30
2020.05_일반직공무원,227,113,114,268,137,131
2020.05_고시 및 전문직,65,37,28,74,45,30
2020.05_기능분야 및 기타,166,73,93,167,79,89
2020.05_취업시험 준비하지 않았음,3934,1978,1956,2226,910,1316
2020.05_미상,1,1,0,2,1,1
2021.05_청년층 비경제활동인구 전체,4488,2295,2193,3042,1408,1634
2021.05_취업시험 준비하였음,859,439,420,972,513,459
2021.05_일반기업체,191,119,71,226,142,84
2021.05_언론사/공영기업체,103,58,44,116,69,46
2021.05_교원임용,34,9,25,38,12,26
2021.05_일반직공무원,279,133,145,313,154,158
2021.05_고시 및 전문직,90,40,50,105,47,57
2021.05_기능분야 및 기타,162,79,84,176,89,87
2021.05_취업시험 준비하지 않았음,3630,1857,1773,2068,895,1173
2021.05_미상,0,0,0,2,0,2
2022.05_청년층 비경제활동인구 전체,4170,2193,1978,2801,1332,1469
2022.05_취업시험 준비하였음,704,378,326,794,425,368
2022.05_일반기업체,168,106,61,187,116,71
2022.05_언론사/공영기업체,86,52,34,98,65,33
2022.05_교원임용,27,8,20,30,9,21
2022.05_일반직공무원,210,109,101,239,121,118
2022.05_고시 및 전문직,82,40,41,97,46,51
2022.05_기능분야 및 기타,132,63,69,143,68,74
2022.05_취업시험 준비하지 않았음,3466,1814,1651,2008,907,1101
2022.05_미상,0,0,0,0,0,0
2023.05_청년층 비경제활동인구 전체,4164,2194,1970,2703,1303,1400
2023.05_취업시험 준비하였음,634,340,294,730,402,328
2023.05_일반기업체,173,109,64,204,130,74
2023.05_언론사/공영기업체,76,34,42,90,47,43
2023.05_교원임용,25,4,22,29,4,25
2023.05_일반직공무원,186,105,81,214,122,92
2023.05_고시 및 전문직,71,35,36,87,47,40
2023.05_기능분야 및 기타,103,53,50,107,53,54
2023.05_취업시험 준비하지 않았음,3530,1854,1676,1973,901,1072
2023.05_미상,0,0,0,0,0,0
2024.05_청년층 비경제활동인구 전체,4066,2114,1952,2597,1252,1345
2024.05_취업시험 준비하였음,565,321,244,655,381,274
2024.05_일반기업체,168,105,62,189,124,65
2024.05_언론사/공영기업체,66,42,25,83,54,29
2024.05_교원임용,21,8,14,23,9,15
2024.05_일반직공무원,131,72,59,159,88,70
2024.05_고시 및 전문직,72,37,35,85,47,38
2024.05_기능분야 및 기타,107,57,50,116,58,58
2024.05_취업시험 준비하지 않았음,3501,1793,1708,1943,872,1071
2024.05_미상,0,0,0,0,0,0
2025.05_청년층 비경제활동인구 전체,4030,2088,1943,2521,1221,1300
2025.05_취업시험 준비하였음,585,288,298,674,339,335
2025.05_일반기업체,211,101,110,230,117,113
2025.05_언론사/공영기업체,78,43,35,92,53,39
2025.05_교원임용,19,5,14,24,8,16
