근로형태별,임금근로자,정규직,비정규직,한시적,기간제,비기간제,시간제,비전형
2011.03_가입대상아님,7.2,5.5,10.4,15.4,18.3,7.5,10.6,4
2011.03_가입하지않음,5.4,7.1,2,3.1,3.1,3.1,0.5,1
2011.03_노동조합가입가능자,16.7,22.7,4.9,7.4,6.9,8.8,0.8,2.4
2011.03_가입가능자 중 가입자,67.7,68.6,59.3,58.1,54.9,65,36.4,59.7
2011.08_가입하였음,10.9,15.3,2.6,3.9,3.5,5.5,0.2,1.4
2011.08_노동조합없음,76,71.3,84.9,77.5,75.2,85.2,88.9,93.6
2011.08_가입대상아님,7.3,5.7,10.3,15.2,18,5.6,10.5,4.3
2011.08_가입하지않음,5.8,7.7,2.2,3.4,3.3,3.7,0.4,0.7
2011.08_노동조합가입가능자,16.7,22.9,4.8,7.3,6.8,9.2,0.7,2.1
2011.08_가입가능자 중 가입자,65.5,66.6,54.9,53.6,51,60.2,36.7,66.8
2012.03_가입하였음,11.3,15.4,3,4.6,4.1,6.1,0.1,1.6
2012.03_노동조합없음,75.5,71.3,83.9,76.4,73.9,84,87.8,93
2012.03_가입대상아님,7.1,5.5,10.4,15,18.2,5.5,11.6,4.5
2012.03_가입하지않음,6.1,7.8,2.6,4,3.9,4.4,0.5,0.9
2012.03_노동조합가입가능자,17.4,23.2,5.7,8.6,8,10.5,0.6,2.4
2012.03_가입가능자 중 가입자,64.9,66.2,53.5,53.6,51.7,57.8,14.2,64.7
2012.08_가입하였음,11.6,15.8,3,4.6,4.3,5.6,0.3,1.6
2012.08_노동조합없음,74.8,70.4,83.7,75.3,72.8,85.1,87.9,93
2012.08_가입대상아님,7.8,6.1,11.2,16.7,19.1,7,11.5,4.7
2012.08_가입하지않음,5.8,7.7,2.1,3.5,3.8,2.3,0.3,0.7
2012.08_노동조합가입가능자,17.4,23.5,5.1,8,8.1,7.9,0.6,2.3
2012.08_가입가능자 중 가입자,66.5,67.4,58,56.7,53.2,71,43.4,68.9
2013.03_가입하였음,12.1,16.5,2.8,4.2,4.1,4.3,0.4,1.4
2013.03_노동조합없음,74.4,70.2,83.2,75,71.2,88.6,86,92.6
2013.03_가입대상아님,7.5,5.5,11.7,17.2,20.7,5,13,5.3
2013.03_가입하지않음,6,7.8,2.3,3.6,4,2.1,0.6,0.7
2013.03_노동조합가입가능자,18.1,24.3,5.1,7.8,8.1,6.5,1,2.1
2013.03_가입가능자 중 가입자,66.8,68,54.9,53.8,50.7,67.3,40.8,65.2
2013.08_가입하였음,12.5,17,3,4.4,4.1,5.6,0.7,1.5
2013.08_노동조합없음,73.8,69.8,82.3,74.1,71.3,85.5,86,91.6
2013.08_가입대상아님,7.6,5.5,12.1,17.5,20.4,5.7,12.7,5.8
2013.08_가입하지않음,6.1,7.7,2.6,4,4.2,3.2,0.6,1.1
2013.08_노동조합가입가능자,18.6,24.8,5.6,8.4,8.3,8.8,1.2,2.6
2013.08_가입가능자 중 가입자,67.2,68.8,52.9,52.5,49.5,64.1,52.6,56.2
2014.03_가입하였음,12.4,16.9,2.7,4.2,3.8,5.6,0.7,1.3
2014.03_노동조합없음,74.6,70.1,84,76.7,74.6,83.5,88,92.1
2014.03_가입대상아님,7.4,5.6,11.1,15.9,18.6,7.5,10.4,5.9
2014.03_가입하지않음,5.7,7.4,2.1,3.2,3.1,3.4,0.9,0.7
2014.03_노동조합가입가능자,18.1,24.3,4.8,7.3,6.8,9,1.6,2
2014.03_가입가능자 중 가입자,68.6,69.7,56.9,57,54.9,62,42.4,63.7
2014.08_가입하였음,12.5,17,3.1,4.7,4.2,6.2,0.9,1.4
2014.08_노동조합없음,73.5,69.3,82.5,74.7,72.2,83.6,84.9,91.1
2014.08_가입대상아님,7.9,5.8,12.4,17.6,20.4,7.4,13.3,6.7
2014.08_가입하지않음,6,7.9,2,3.1,3.2,2.7,0.9,0.7
2014.08_노동조합가입가능자,18.5,24.9,5.1,7.8,7.4,9,1.8,2.1
2014.08_가입가능자 중 가입자,67.6,68.2,61.5,60.2,57,69.4,52,67.6
2015.03_가입하였음,12.6,17.1,3,4.7,4.9,4,0.8,1.2
2015.03_노동조합없음,73.5,69.1,82.9,75.6,71.9,87.9,84,91.3
2015.03_가입대상아님,7.7,5.6,12.1,16.8,20.3,5.3,14.2,6.7
2015.03_가입하지않음,6.2,8.2,2,2.9,2.9,2.8,0.9,0.8
2015.03_노동조합가입가능자,18.8,25.3,5,7.6,7.8,6.8,1.7,2
2015.03_가입가능자 중 가입자,67.1,67.8,59.5,61.5,62.2,58.8,46.2,62
2015.08_가입하였음,12.4,16.9,2.9,4.4,4.6,3.6,0.5,1.4
2015.08_노동조합없음,73.9,69.4,83.3,76.3,72.9,88.9,85.3,91.7
2015.08_가입대상아님,7.8,5.7,12.1,16.7,19.7,5.6,13.4,6.4
2015.08_가입하지않음,5.9,7.9,1.7,2.6,2.8,1.9,0.8,0.6
2015.08_노동조합가입가능자,18.3,24.9,4.6,7,7.4,5.5,1.3,2
2015.08_가입가능자 중 가입자,67.7,68.1,62.6,62.6,62.1,64.9,40.7,71.7
2016.03_가입하였음,12.3,16.8,2.8,4.2,4.3,3.9,0.7,1.6
2016.03_노동조합없음,74.1,69.5,83.8,76.8,73.8,87.4,86.7,93.1
2016.03_가입대상아님,7.4,5.6,11.3,16.1,18.7,6.5,11.5,5
2016.03_가입하지않음,6.2,8.1,2,2.9,3.1,2.2,1.1,0.3
2016.03_노동조합가입가능자,18.5,24.9,4.9,7.2,7.5,6.1,1.8,1.9
2016.03_가입가능자 중 가입자,66.7,67.4,58.5,59.2,58.2,63.7,40.2,84.2
2016.08_가입하였음,12,16.6,2.6,4.1,4,4.4,0.6,1.1
2016.08_노동조합없음,74.3,69.6,83.9,76.2,73.6,86.9,87.1,93.1
2016.08_가입대상아님,7.6,5.7,11.4,16.8,19.5,5.8,11.3,5.1
2016.08_가입하지않음,6.1,8.1,2,2.9,2.9,2.9,1,0.6
2016.08_노동조합가입가능자,18.1,24.7,4.6,7,6.9,7.3,1.5,1.7
2016.08_가입가능자 중 가입자,66.2,67.1,56.1,58.4,58,59.8,37.1,65.3
2017.08_가입하였음,12.4,17.1,2.9,4.3,4.2,4.5,0.9,1.5
2017.08_노동조합없음,74.8,69.8,85.1,77.8,75.2,87.3,89.8,92.6
2017.08_가입대상아님,6.9,5.3,10.3,15.1,17.5,6.5,8.6,5.3
2017.08_가입하지않음,5.9,7.9,1.8,2.8,3.1,1.7,0.6,0.6
2017.08_노동조합가입가능자,18.3,25,4.7,7.1,7.3,6.2,1.5,2.1
2017.08_가입가능자 중 가입자,67.8,68.4,61.2,60.8,58,73.1,58.3,72.3
2018.08_가입하였음,12.5,17.1,3.1,4.6,4.3,5.8,0.9,1.6
2018.08_노동조합없음,74.8,69.5,85.5,78.4,76.3,85.9,89.3,94.5
2018.08_가입대상아님,6.8,5.5,9.4,13.9,16,6.3,8.9,3.5
2018.08_가입하지않음,6,7.9,2,3.1,3.4,2.1,0.8,0.5
2018.08_노동조합가입가능자,18.4,25,5.1,7.7,7.7,7.9,1.7,2.1
2018.08_가입가능자 중 가입자,67.6,68.3,60.4,59.3,55.5,73.2,52.3,76.7
2019.08_가입하였음,12.3,17.6,3,3.9,3.9,3.8,1.1,2
2019.08_노동조합없음,74.5,68.2,85.5,80.2,77.6,90.1,89.4,93.8
2019.08_가입대상아님,7.2,6,9.3,13,15.4,3.6,8.4,3.4
2019.08_가입하지않음,6,8.2,2.2,3,3.1,2.4,1,0.9
2019.08_노동조합가입가능자,18.3,25.8,5.2,6.8,7,6.2,2.1,2.8
2019.08_가입가능자 중 가입자,67.2,68.2,57.9,56.3,55.2,61.2,53.7,69.3
2020.08_가입하였음,12.3,17.6,3,3.8,3.9,3.1,1.4,1.6
2020.08_노동조합없음,73.9,67.2,85.6,80.6,78.8,91,88.7,93.6
2020.08_가입대상아님,7.1,6,9,12.6,14,4.3,8.5,3.9
2020.08_가입하지않음,6.7,9.2,2.3,3.1,3.3,1.6,1.4,0.9
2020.08_노동조합가입가능자,19,26.8,5.3,6.8,7.2,4.7,2.9,2.5
2020.08_가입가능자 중 가입자,64.8,65.7,56.1,55.3,53.9,66.9,50.1,65.9
2021.08_가입하였음,12.6,18.4,3.3,4.2,4.4,3,1.3,2.1
2021.08_노동조합없음,72.5,64.9,84.6,79.9,78.7,88.7,89.3,91.7
2021.08_가입대상아님,7.3,6.2,9.2,12.3,13.2,5.8,7.9,5
2021.08_가입하지않음,7.6,10.5,2.9,3.6,3.8,2.5,1.5,1.2
2021.08_노동조합가입가능자,20.2,28.9,6.2,7.8,8.1,5.5,2.8,3.3
2021.08_가입가능자 중 가입자,62.4,63.6,53.5,53.8,53.6,55.2,45.5,64.5
2022.08_가입하였음,12.4,17.8,3.3,4,4.1,3.8,1.2,2.5
2022.08_노동조합없음,72.5,65.1,84.8,80.6,79.3,89.7,90.3,90.8
2022.08_가입대상아님,6.8,5.6,8.8,11.7,12.8,4,7.2,4.3
2022.08_가입하지않음,8.3,11.5,3.1,3.7,3.9,2.5,1.3,2.5
2022.08_노동조합가입가능자,20.7,29.3,6.4,7.7,7.9,6.3,2.5,5
2022.08_가입가능자 중 가입자,59.8,60.9,51.9,52.3,51.4,60.6,49.3,49.5
2023.08_가입하였음,12.2,17.7,3,3.5,3.6,2.7,1.2,2.8
2023.08_노동조합없음,73.2,66.5,84.5,80.5,79.4,91.7,89.8,90.1
2023.08_가입대상아님,7.1,5.7,9.5,12.6,13.4,3.7,7.3,4.9
2023.08_가입하지않음,7.5,10.2,3,3.4,3.6,2,1.6,2.2
2023.08_노동조합가입가능자,19.8,27.8,6,7,7.2,4.6,2.9,5
2023.08_가입가능자 중 가입자,62,63.5,50.2,50.5,50.1,57.9,43.1,56.8
2024.08_가입하였음,12.5,18.4,3,3.5,3.5,3.4,1.3,2.6
2024.08_노동조합없음,72.1,64.5,84.3,80.9,79.7,90.9,89.2,90.2
2024.08_가입대상아님,7.4,6.1,9.6,12.4,13.4,4.5,7.6,5.2
2024.08_가입하지않음,8,11,3.1,3.3,3.5,1.3,1.9,2
2024.08_노동조합가입가능자,20.5,29.4,6,6.7,7,4.6,3.2,4.6
2024.08_가입가능자 중 가입자,61,62.5,49.3,51.4,49.6,72.8,41.2,55.7
2025.08_가입하였음,12.8,18.7,3.2,3.6,3.6,3.1,1.3,2.6
2025.08_노동조합없음,71.4,63.8,83.6,80.3,79.4,89.3,89.7,88.9
2025.08_가입대상아님,7.6,6.3,9.8,12.2,12.9,5,7.4,5.8
2025.08_가입하지않음,8.2,11.1,3.4,3.9,4.1,2.6,1.6,2.7
2025.08_노동조합가입가능자,21,29.8,6.6,7.5,7.7,5.7,2.9,5.3
2025.08_가입가능자 중 가입자,61.1,62.8,48.5,47.6,47.2,53.7,43.9,49.3
