근로형태별,임금근로자,정규직,비정규직,한시적,기간제,비기간제,시간제,비전형
2004.08_가입하였음,12.4,16.6,5.2,5.9,4.9,8.2,0.5,4.2
2004.08_노동조합없음,76.5,71.7,84.6,81.7,81.4,82.3,93.5,88.7
2004.08_가입대상아님,6.3,5.5,7.6,9.2,10.7,5.8,5.6,5.1
2004.08_가입하지않음,4.8,6.1,2.6,3.2,3,3.6,0.3,2
2004.08_노동조합가입가능자,17.2,22.8,7.8,9.1,7.9,11.9,0.9,6.2
2004.08_가입가능자 중 가입자,72,73.1,66.6,65.1,62.3,69.3,61.1,67.9
2005.08_가입하였음,11.7,15.9,4.6,5.8,6.1,5,0.2,2.8
2005.08_노동조합없음,76.8,71.9,85.3,82.1,80.3,87.5,93.7,89.8
2005.08_가입대상아님,6.5,5.8,7.8,9.1,10.4,5.2,5.8,6.3
2005.08_가입하지않음,4.9,6.5,2.3,3,3.2,2.3,0.3,1.1
2005.08_노동조합가입가능자,16.7,22.3,6.9,8.8,9.3,7.4,0.5,3.9
2005.08_가입가능자 중 가입자,70.5,71.1,67.2,65.9,65.3,68.6,38.4,72.5
2006.08_가입하였음,11.3,15.1,4.3,5.9,4.9,8.6,0.4,1.9
2006.08_노동조합없음,77,72.3,85.7,81.7,81.8,81.3,93.9,92.7
2006.08_가입대상아님,6.6,6,7.6,9,9.7,7,5.5,4.6
2006.08_가입하지않음,5.1,6.5,2.5,3.5,3.6,3.1,0.3,0.8
2006.08_노동조합가입가능자,16.4,21.7,6.8,9.3,8.5,11.7,0.6,2.7
2006.08_가입가능자 중 가입자,68.9,69.8,63.4,62.9,58.1,73.3,58.1,69.4
2007.03_가입하였음,11.3,15.2,4.7,6.8,6.2,8.6,0.2,2.1
2007.03_노동조합없음,76.6,72.1,84.4,79.1,77.9,82.4,93.5,91.4
2007.03_가입대상아님,6.5,5.7,7.9,9.7,11.3,5.9,6,5.2
2007.03_가입하지않음,5.5,7,3,4.3,4.7,3.1,0.3,1.3
2007.03_노동조합가입가능자,16.9,22.2,7.7,11.1,10.9,11.7,0.5,3.3
2007.03_가입가능자 중 가입자,67.2,68.4,61.3,61.6,56.7,73.1,36.9,62.4
2007.08_가입하였음,12.1,16,5.1,7.3,6.8,8.5,0.3,2.3
2007.08_노동조합없음,75.2,70.7,83.3,77.2,75.8,80.8,91.9,91.2
2007.08_가입대상아님,7,6.1,8.7,11.1,12.9,6.6,7.4,5.3
2007.08_가입하지않음,5.7,7.2,2.9,4.3,4.4,4.1,0.5,1.2
2007.08_노동조합가입가능자,17.7,23.2,8,11.6,11.2,12.6,0.7,3.4
2007.08_가입가능자 중 가입자,68.1,69,63.4,63,60.9,67.5,34.9,65.9
2008.03_가입하였음,12.1,16.4,4.2,6.3,6.8,5,0.3,2.5
2008.03_노동조합없음,75.2,70.1,84.7,78,74.5,86.5,90.7,91.6
2008.03_가입대상아님,7.2,6.4,8.8,12.2,14.7,6,8.4,4.7
2008.03_가입하지않음,5.4,7.1,2.4,3.5,4,2.5,0.5,1.2
2008.03_노동조합가입가능자,17.6,23.5,6.6,9.8,10.8,7.5,0.9,3.7
2008.03_가입가능자 중 가입자,69,69.8,63.6,63.9,63,66.9,38.8,68.2
2008.08_가입하였음,12.8,17,4.4,6.4,6.9,5.3,0.3,2.4
2008.08_노동조합없음,74.2,69.3,83.6,77,73.8,85.3,88.5,91.9
2008.08_가입대상아님,7.6,6.5,9.7,13,15.4,7,10.5,4.8
2008.08_가입하지않음,5.5,7.1,2.3,3.5,3.9,2.4,0.6,0.9
2008.08_노동조합가입가능자,18.2,24.1,6.7,9.9,10.8,7.7,1,3.3
2008.08_가입가능자 중 가입자,69.9,70.5,65.8,64.7,63.6,68.7,33.8,72.7
2009.03_가입하였음,12.8,17.4,3.4,5.2,6.1,1.6,0.2,1.6
2009.03_노동조합없음,74.1,69.3,83.6,75.9,72.3,90.8,89.9,92.8
2009.03_가입대상아님,7.9,6.4,11.1,15.9,18,7.2,9.5,4.8
2009.03_가입하지않음,5.2,6.9,2,3,3.6,0.4,0.3,0.8
2009.03_노동조합가입가능자,18,24.3,5.4,8.2,9.7,2,0.6,2.4
2009.03_가입가능자 중 가입자,70.9,71.7,63.7,63.6,62.9,78.1,40.8,65.4
2009.08_가입하였음,12.2,17.3,2.5,3.6,4,1.9,0.4,1.5
2009.08_노동조합없음,73.6,69.3,81.7,73.9,69.9,90.1,87.3,92.4
2009.08_가입대상아님,8.8,6.2,13.8,19.8,23,6.6,11.4,5
2009.08_가입하지않음,5.3,7.1,2,2.8,3.1,1.4,0.9,1.1
2009.08_노동조합가입가능자,17.5,24.5,4.5,6.3,7.1,3.3,1.3,2.5
2009.08_가입가능자 중 가입자,69.5,70.8,56.2,56.3,56.1,58.4,32.4,57.8
2010.03_가입하였음,12,16.4,3.1,4.6,4.3,5.3,0.4,1.8
2010.03_노동조합없음,75.2,70.9,84,76.5,73.1,86.2,87.7,93
2010.03_가입대상아님,7.5,5.9,10.9,16.1,19.5,6.3,11.3,4.1
2010.03_가입하지않음,5.3,6.9,1.9,2.8,3,2.2,0.5,1.1
2010.03_노동조합가입가능자,17.3,23.3,5,7.4,7.4,7.5,0.9,2.9
2010.03_가입가능자 중 가입자,69.5,70.3,62,61.9,58.9,70.6,45.3,61.7
2010.08_가입하였음,11.4,15.7,2.9,4.2,3.9,5.1,0.3,1.8
2010.08_노동조합없음,75.3,71.1,83.8,75.8,72.7,85.6,87.4,92.5
2010.08_가입대상아님,7.9,6.2,11.2,16.8,20.1,6.7,11.7,4.4
2010.08_가입하지않음,5.4,7,2.2,3.2,3.4,2.7,0.7,1.2
2010.08_노동조합가입가능자,16.8,22.7,5,7.4,7.2,7.8,0.9,3
2010.08_가입가능자 중 가입자,68,69.2,56.7,56.5,53.4,65.5,26.9,60.3
2011.03_가입하였음,11.3,15.6,2.9,4.3,3.8,5.7,0.3,1.4
2011.03_노동조합없음,76.1,71.7,84.8,77.2,74.8,83.7,88.6,93.6
