근로형태별,임금근로자,정규직,비정규직,한시적,기간제,비기간제,시간제,비전형
2004.08_평균취업시간,46.8,49,43.1,44.9,43.1,48.8,23.3,43.7
2004.08_증감(전년동월),0,0,0,0,0,0,0,0
2005.08_평균취업시간,44.3,45.9,41.5,43.3,42,47.5,22.1,42.7
2005.08_증감(전년동월),-2.5,-3.1,-1.6,-1.6,-1.1,-1.3,-1.2,-1
2006.08_평균취업시간,43.7,45.4,40.5,42.5,41.3,45.9,21.1,42.1
2006.08_증감(전년동월),-0.6,-0.5,-1,-0.8,-0.7,-1.6,-1,-0.6
2007.03_평균취업시간,46.7,49.2,42.4,45.6,44.8,47.7,22.1,42.2
2007.03_증감(전년동월),0,0,0,0,0,0,0,0
2007.08_평균취업시간,42.2,44,39,40.9,39.8,43.6,21.8,40.9
2007.08_증감(전년동월),-1.5,-1.4,-1.5,-1.6,-1.5,-2.3,0.7,-1.2
2008.03_평균취업시간,47,49.2,42.9,45.9,45.4,47.1,23.9,44.4
2008.03_증감(전년동월),0.3,0,0.5,0.3,0.6,-0.6,1.8,2.2
2008.08_평균취업시간,41.8,43.3,38.8,41.1,40.3,43.3,21.5,41.3
2008.08_증감(전년동월),-0.4,-0.7,-0.2,0.2,0.5,-0.3,-0.3,0.4
2009.03_평균취업시간,45.6,48.1,40.8,44.1,44.1,44.2,22,42
2009.03_증감(전년동월),-1.4,-1.1,-2.1,-1.8,-1.3,-2.9,-1.9,-2.4
2009.08_평균취업시간,43.1,45.4,38.8,41.3,40.6,44.1,21.2,40.9
2009.08_증감(전년동월),1.3,2.1,0,0.2,0.3,0.8,-0.3,-0.4
2010.03_평균취업시간,45,47.9,39.1,42.7,41.9,45,21,41.4
2010.03_증감(전년동월),-0.6,-0.2,-1.7,-1.4,-2.2,0.8,-1,-0.6
2010.08_평균취업시간,43.8,46.5,38.3,41,40.1,43.9,20.8,41.5
2010.08_증감(전년동월),0.7,1.1,-0.5,-0.3,-0.5,-0.2,-0.4,0.6
2011.03_평균취업시간,45.2,48,39.6,43.4,42.5,45.9,20,41.6
2011.03_증감(전년동월),0.2,0.1,0.5,0.7,0.6,0.9,-1,0.2
2011.08_평균취업시간,40.5,42.9,36,38.1,36.9,42.3,20,39.4
2011.08_증감(전년동월),-3.3,-3.6,-2.3,-2.9,-3.2,-1.6,-0.8,-2.1
2012.03_평균취업시간,44.6,47.4,39.1,42.5,41.7,44.9,21.4,41.6
2012.03_증감(전년동월),-0.6,-0.6,-0.5,-0.9,-0.8,-1,1.4,0
2012.08_평균취업시간,39.2,41.4,34.9,37,36,40.8,20.2,38.8
2012.08_증감(전년동월),-1.3,-1.5,-1.1,-1.1,-0.9,-1.5,0.2,-0.6
2013.03_평균취업시간,43.5,46,38.2,41.2,40.7,43.1,21.5,41.2
2013.03_증감(전년동월),-1.1,-1.4,-0.9,-1.3,-1,-1.8,0.1,-0.4
2013.08_평균취업시간,38.3,40.2,34.2,36.1,35.1,40.1,20.1,38.2
2013.08_증감(전년동월),-0.9,-1.2,-0.7,-0.9,-0.9,-0.7,-0.1,-0.6
2014.03_평균취업시간,43.6,46.4,37.7,40.9,39.9,44,20.9,41.1
2014.03_증감(전년동월),0.1,0.4,-0.5,-0.3,-0.8,0.9,-0.6,-0.1
2014.08_평균취업시간,38.1,40.1,33.9,35.6,34.6,39.3,19.7,38.5
2014.08_증감(전년동월),-0.2,-0.1,-0.3,-0.5,-0.5,-0.8,-0.4,0.3
2015.03_평균취업시간,43.6,46.5,37.5,40.7,39.9,43.3,22.1,40.8
2015.03_증감(전년동월),0,0.1,-0.2,-0.2,0,-0.7,1.2,-0.3
2015.08_평균취업시간,39.1,41.3,34.3,36.7,35.7,40.2,20.2,38
2015.08_증감(전년동월),1,1.2,0.4,1.1,1.1,0.9,0.5,-0.5
2016.03_평균취업시간,43,46,36.8,39.8,39.4,41.3,21.9,40.5
2016.03_증감(전년동월),-0.6,-0.5,-0.7,-0.9,-0.5,-2,-0.2,-0.3
2016.08_평균취업시간,38.1,40.5,33.2,35.3,34.7,37.8,20.5,37.7
2016.08_증감(전년동월),-1,-0.8,-1.1,-1.4,-1,-2.4,0.3,-0.3
2017.08_평균취업시간,38.1,40.7,32.7,35,34.2,38,20.5,37.2
2017.08_증감(전년동월),0,0.2,-0.5,-0.3,-0.5,0.2,0,-0.5
2018.08_평균취업시간,36.6,39.3,31.2,32.7,32,35.4,19.1,36.4
2018.08_증감(전년동월),-1.5,-1.4,-1.5,-2.3,-2.2,-2.6,-1.4,-0.8
2019.08_평균취업시간,35.9,38.8,30.8,32.3,31.4,35.9,18.9,35.5
2019.08_증감(전년동월),-0.7,-0.5,-0.4,-0.4,-0.6,0.5,-0.2,-0.9
2020.08_평균취업시간,37.1,40.7,30.7,32.9,32.7,34.1,18.8,34.3
2020.08_증감(전년동월),1.2,1.9,-0.1,0.6,1.3,-1.8,-0.1,-1.2
2021.08_평균취업시간,35.4,38.7,30.2,31.4,31,33.8,18.4,34.6
2021.08_증감(전년동월),-1.7,-2,-0.5,-1.5,-1.7,-0.3,-0.4,0.3
2022.08_평균취업시간,34.7,37.8,29.6,30.8,30.5,32.4,18.7,33.6
2022.08_증감(전년동월),-0.7,-0.9,-0.6,-0.6,-0.5,-1.4,0.3,-1
2023.08_평균취업시간,33.9,36.9,28.7,29.9,29.8,30.8,18.6,33.9
2023.08_증감(전년동월),-0.8,-0.9,-0.9,-0.9,-0.7,-1.6,-0.1,0.3
2024.08_평균취업시간,32.4,35.4,27.6,28.4,28.3,30,18.3,33.1
2024.08_증감(전년동월),-1.5,-1.5,-1.1,-1.5,-1.5,-0.8,-0.3,-0.8
2025.08_평균취업시간,33.4,36.5,28.2,29.2,28.9,31.8,18.1,33.7
2025.08_증감(전년동월),1,1.1,0.6,0.8,0.6,1.8,-0.2,0.6
