연령구분_성별,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2004.05_직장체험 경험자 전체,4275,2060,2215,0,0,0
2004.05_전일제,1382,660,721,0,0,0
2004.05_시간제,2235,1091,1144,0,0,0
2004.05_기업인턴,54,34,21,0,0,0
2004.05_학교의 현장실습 참여,563,257,306,0,0,0
2004.05_정부지원 직장체험프로그램 참여,41,18,23,0,0,0
2004.05_기타,0,0,0,0,0,0
2005.05_직장체험 경험자 전체,4406,2116,2290,0,0,0
2005.05_전일제,1335,654,681,0,0,0
2005.05_시간제,2523,1232,1290,0,0,0
2005.05_기업인턴,59,26,34,0,0,0
2005.05_학교의 현장실습 참여,446,191,256,0,0,0
2005.05_정부지원 직장체험프로그램 참여,43,13,30,0,0,0
2005.05_기타,0,0,0,0,0,0
2006.05_직장체험 경험자 전체,4102,1944,2159,0,0,0
2006.05_전일제,1245,668,577,0,0,0
2006.05_시간제,2085,952,1133,0,0,0
2006.05_기업인턴,118,58,61,0,0,0
2006.05_학교의 현장실습 참여,609,253,356,0,0,0
2006.05_정부지원 직장체험프로그램 참여,46,14,32,0,0,0
2006.05_기타,0,0,0,0,0,0
2007.05_직장체험 경험자 전체,3832,1803,2029,0,0,0
2007.05_전일제,1016,557,459,0,0,0
2007.05_시간제,2039,953,1087,0,0,0
2007.05_기업인턴,110,55,55,0,0,0
2007.05_학교의 현장실습 참여,626,225,401,0,0,0
2007.05_정부지원 직장체험프로그램 참여,42,14,28,0,0,0
2007.05_기타,0,0,0,0,0,0
2008.05_직장체험 경험자 전체,3662,1691,1971,0,0,0
2008.05_전일제,905,493,413,0,0,0
2008.05_시간제,2014,942,1073,0,0,0
2008.05_기업인턴,102,46,57,0,0,0
2008.05_학교의 현장실습 참여,585,195,390,0,0,0
2008.05_정부지원 직장체험프로그램 참여,55,16,39,0,0,0
2008.05_기타,0,0,0,0,0,0
2009.05_직장체험 경험자 전체,3800,1745,2056,0,0,0
2009.05_전일제,786,410,376,0,0,0
2009.05_시간제,2246,1053,1193,0,0,0
2009.05_기업인턴,133,70,63,0,0,0
2009.05_학교의 현장실습 참여,570,189,381,0,0,0
2009.05_정부지원 직장체험프로그램 참여,65,21,44,0,0,0
2009.05_기타,0,0,0,0,0,0
2010.05_직장체험 경험자 전체,4236,1973,2263,0,0,0
2010.05_전일제,894,493,401,0,0,0
2010.05_시간제,2622,1197,1425,0,0,0
2010.05_기업인턴,227,96,131,0,0,0
2010.05_학교의 현장실습 참여,340,129,211,0,0,0
2010.05_정부지원 직장체험프로그램 참여,61,11,49,0,0,0
2010.05_기타,92,47,45,0,0,0
2011.05_직장체험 경험자 전체,4166,1955,2212,0,0,0
2011.05_전일제,922,539,384,0,0,0
2011.05_시간제,2641,1182,1459,0,0,0
2011.05_기업인턴,163,78,85,0,0,0
2011.05_학교의 현장실습 참여,325,112,213,0,0,0
2011.05_정부지원 직장체험프로그램 참여,57,14,43,0,0,0
2011.05_기타,58,30,29,0,0,0
2012.05_직장체험 경험자 전체,3922,1857,2065,0,0,0
2012.05_전일제,844,499,345,0,0,0
2012.05_시간제,2572,1171,1401,0,0,0
2012.05_기업인턴,129,67,62,0,0,0
2012.05_학교의 현장실습 참여,300,94,206,0,0,0
2012.05_정부지원 직장체험프로그램 참여,46,8,38,0,0,0
2012.05_기타,31,19,12,0,0,0
2013.05_직장체험 경험자 전체,3767,1833,1934,0,0,0
2013.05_전일제,774,476,298,0,0,0
2013.05_시간제,2483,1165,1318,0,0,0
2013.05_기업인턴,165,78,87,0,0,0
2013.05_학교의 현장실습 참여,267,86,182,0,0,0
2013.05_정부지원 직장체험프로그램 참여,40,10,30,0,0,0
2013.05_기타,38,19,19,0,0,0
2014.05_직장체험 경험자 전체,3852,1888,1963,0,0,0
2014.05_전일제,777,485,292,0,0,0
2014.05_시간제,2651,1266,1385,0,0,0
2014.05_기업인턴,145,54,91,0,0,0
2014.05_학교의 현장실습 참여,224,65,159,0,0,0
2014.05_정부지원 직장체험프로그램 참여,31,9,22,0,0,0
2014.05_기타,25,10,15,0,0,0
2015.05_직장체험 경험자 전체,3879,1923,1957,0,0,0
2015.05_전일제,807,518,289,0,0,0
2015.05_시간제,2651,1270,1380,0,0,0
2015.05_기업인턴,140,44,96,0,0,0
2015.05_학교의 현장실습 참여,232,65,167,0,0,0
