연령구분_성별,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2015.05_정부지원 직장체험프로그램 참여,32,14,18,0,0,0
2015.05_기타,18,11,7,0,0,0
2016.05_직장체험 경험자 전체,3693,1824,1870,0,0,0
2016.05_전일제,738,451,287,0,0,0
2016.05_시간제,2556,1231,1326,0,0,0
2016.05_기업인턴,148,59,89,0,0,0
2016.05_학교의 현장실습 참여,231,73,157,0,0,0
2016.05_정부지원 직장체험프로그램 참여,16,9,7,0,0,0
2016.05_기타,5,1,4,0,0,0
2017.05_직장체험 경험자 전체,3875,1849,2027,5221,2574,2647
2017.05_전일제,603,343,261,863,496,367
2017.05_시간제,2734,1322,1412,3590,1804,1786
2017.05_기업인턴,197,73,124,286,117,168
2017.05_학교의 현장실습 참여,299,93,206,410,125,284
2017.05_정부지원 직장체험프로그램 참여,30,10,20,49,16,33
2017.05_기타,12,8,4,25,15,9
2018.05_직장체험 경험자 전체,3885,1850,2035,5242,2585,2657
2018.05_전일제,555,335,220,837,498,339
2018.05_시간제,2809,1312,1497,3651,1785,1867
2018.05_기업인턴,180,81,99,278,123,155
2018.05_학교의 현장실습 참여,303,112,191,415,156,259
2018.05_정부지원 직장체험프로그램 참여,23,5,18,37,11,26
2018.05_기타,15,6,10,24,13,12
2019.05_직장체험 경험자 전체,3951,1866,2086,5308,2569,2739
2019.05_전일제,521,316,206,773,473,299
2019.05_시간제,2889,1331,1558,3702,1756,1947
2019.05_기업인턴,170,67,103,300,129,171
2019.05_학교의 현장실습 참여,333,138,194,476,191,285
2019.05_정부지원 직장체험프로그램 참여,25,9,16,40,10,30
2019.05_기타,14,6,8,17,10,7
2020.05_직장체험 경험자 전체,3958,1846,2112,5458,2656,2801
2020.05_전일제,541,321,219,843,511,332
2020.05_시간제,2877,1301,1576,3752,1779,1974
2020.05_기업인턴,173,73,100,300,131,169
2020.05_학교의 현장실습 참여,326,133,193,496,207,288
2020.05_정부지원 직장체험프로그램 참여,30,12,18,50,21,28
2020.05_기타,12,6,6,17,7,10
2021.05_직장체험 경험자 전체,3928,1825,2103,5473,2642,2831
2021.05_전일제,494,313,181,765,491,273
2021.05_시간제,2845,1284,1560,3749,1754,1995
2021.05_기업인턴,175,73,102,344,151,193
2021.05_학교의 현장실습 참여,371,138,233,548,215,332
2021.05_정부지원 직장체험프로그램 참여,33,13,21,48,21,28
2021.05_기타,10,4,7,20,10,10
2022.05_직장체험 경험자 전체,3808,1777,2032,5319,2595,2724
2022.05_전일제,436,258,178,652,401,251
2022.05_시간제,2781,1274,1508,3718,1792,1927
2022.05_기업인턴,197,85,111,341,156,184
2022.05_학교의 현장실습 참여,343,133,210,532,208,324
2022.05_정부지원 직장체험프로그램 참여,33,16,18,54,25,28
2022.05_기타,18,11,7,22,13,9
2023.05_직장체험 경험자 전체,3627,1717,1910,5262,2588,2674
2023.05_전일제,387,229,158,639,375,264
2023.05_시간제,2699,1251,1448,3726,1821,1905
2023.05_기업인턴,168,72,96,314,148,166
2023.05_학교의 현장실습 참여,331,138,193,513,209,304
2023.05_정부지원 직장체험프로그램 참여,32,22,10,61,30,31
2023.05_기타,10,6,4,10,5,5
2024.05_직장체험 경험자 전체,3564,1687,1877,5229,2564,2665
2024.05_전일제,343,185,158,600,335,265
2024.05_시간제,2674,1275,1400,3754,1870,1884
2024.05_기업인턴,196,84,112,354,146,208
2024.05_학교의 현장실습 참여,312,123,189,456,175,280
2024.05_정부지원 직장체험프로그램 참여,34,17,17,59,33,26
2024.05_기타,5,5,1,6,5,2
2025.05_직장체험 경험자 전체,3448,1575,1873,5156,2493,2663
2025.05_전일제,336,196,140,570,321,249
2025.05_시간제,2586,1175,1411,3674,1787,1887
2025.05_기업인턴,210,80,130,379,165,214
2025.05_학교의 현장실습 참여,274,102,172,460,182,279
2025.05_정부지원 직장체험프로그램 참여,29,12,17,53,27,26
2025.05_기타,12,9,3,20,11,9
