근로형태별,임금근로자,정규직,비정규직,한시적,기간제,비기간제,시간제,비전형
2008.03_1~3년 미만,23.3,23.7,22.7,27.1,27.1,27,17.5,18.6
2008.03_3년 이상,40.5,50.8,21.6,25.6,27.4,21.3,9.8,20
2008.08_평균근속기간,57,74,24,29,28,31,12,21
2008.08_평균근속기간 증감(전년동월),2,3,-2,-3,-1,-7,0,0
2008.08_1년미만,37.3,26.8,57.9,50.4,49.8,51.8,75.3,62.6
2008.08_1~3년 미만,22.4,22.8,21.4,24.9,24.9,24.8,16.3,18.8
2008.08_3년 이상,40.4,50.4,20.6,24.7,25.3,23.4,8.4,18.6
2009.03_평균근속기간,59,77,23,26,29,17,11,22
2009.03_평균근속기간 증감(전년동월),3,5,-3,-4,-2,-13,-2,-1
2009.03_1년미만,35.5,24,58.5,51,48,63.2,74.6,63.5
2009.03_1~3년 미만,22.1,22.5,21.4,25.4,25.6,24.5,17.1,17.3
2009.03_3년 이상,42.4,53.6,20.1,23.7,26.5,12.3,8.3,19.2
2009.08_평균근속기간,59,79,21,23,23,23,12,21
2009.08_평균근속기간 증감(전년동월),2,5,-3,-6,-5,-8,0,0
2009.08_1년미만,37.7,24.4,62.5,58,57.4,60.3,76.1,63.6
2009.08_1~3년 미만,20.9,21.4,19.8,22.3,22.5,21.7,15.2,18.6
2009.08_3년 이상,41.5,54.1,17.7,19.7,20.1,18,8.7,17.8
2010.03_평균근속기간,59,77,23,27,25,33,12,23
2010.03_평균근속기간 증감(전년동월),0,0,0,0,-4,16,1,1
2010.03_1년미만,36.3,25.3,58.4,50.5,50.8,49.5,74.8,61.5
2010.03_1~3년 미만,21.6,21.5,21.9,26.2,26.6,25,16.6,19.1
2010.03_3년 이상,42.1,53.2,19.7,23.3,22.6,25.5,8.6,19.3
2010.08_평균근속기간,60,77,24,27,26,31,13,23
2010.08_평균근속기간 증감(전년동월),1,-1,2,4,2,8,1,3
2010.08_1년미만,37.3,26.2,59.6,52.9,53.7,50.4,73.6,61.7
2010.08_1~3년 미만,21.3,21.4,21.1,24.7,24.3,26.2,17,18.1
2010.08_3년 이상,41.4,52.4,19.4,22.4,22.1,23.4,9.4,20.2
2011.03_평균근속기간,62,79,26,31,29,38,14,23
2011.03_평균근속기간 증감(전년동월),2,3,3,5,4,5,2,0
2011.03_1년미만,35,24.5,55.7,47.1,47.4,46.4,70.9,61.4
2011.03_1~3년 미만,21.8,21.7,22.1,26.1,26.5,25.2,18.5,17.8
2011.03_3년 이상,43.1,53.8,22.2,26.8,26.2,28.4,10.6,20.7
2011.08_평균근속기간,61,79,27,31,29,37,16,24
2011.08_평균근속기간 증감(전년동월),2,2,3,4,3,6,2,1
2011.08_1년미만,35.9,24.9,57,49.2,50.1,46.1,70.6,61.7
2011.08_1~3년 미만,21.2,21.3,21.2,25.2,25.1,25.6,17.5,17.2
2011.08_3년 이상,42.9,53.8,21.8,25.6,24.8,28.3,11.9,21.1
2012.03_평균근속기간,63,81,29,33,31,41,16,25
2012.03_평균근속기간 증감(전년동월),2,1,2,2,1,3,2,2
2012.03_1년미만,33.6,23.8,53.3,45.5,46.4,42.7,67.4,59
2012.03_1~3년 미만,22.4,22.1,22.8,26.5,26.7,25.7,19.5,18.6
2012.03_3년 이상,44,54.1,23.9,28,26.8,31.6,13.1,22.4
2012.08_평균근속기간,64,82,28,31,30,37,17,26
2012.08_평균근속기간 증감(전년동월),3,3,1,1,1,0,2,2
2012.08_1년미만,34.4,23.8,55.7,48.9,50,44.8,68.8,59.5
2012.08_1~3년 미만,21.9,22,21.7,24.9,24.5,26.6,18.1,18.6
2012.08_3년 이상,43.7,54.2,22.6,26.2,25.6,28.6,13.1,21.9
2013.03_평균근속기간,66,84,29,32,31,34,18,28
2013.03_평균근속기간 증감(전년동월),3,4,0,-2,0,-6,1,3
2013.03_1년미만,31.6,21.2,53.4,46.9,46.8,47.5,66.1,56.8
2013.03_1~3년 미만,22.2,22.3,22.1,25.9,26.6,23.5,18.7,18.4
2013.03_3년 이상,46.2,56.5,24.4,27.1,26.6,29,15.2,24.8
2013.08_평균근속기간,67,85,30,33,31,40,19,29
2013.08_평균근속기간 증감(전년동월),3,3,2,2,1,3,2,3
2013.08_1년미만,32.5,21.8,54.9,48.8,49.5,46,68.2,57.4
2013.08_1~3년 미만,21.4,21.6,21.1,24.2,24.5,23,17.4,18.3
2013.08_3년 이상,46,56.6,24,27,26,31,14.4,24.3
2014.03_평균근속기간,68,85,31,34,31,43,19,31
2014.03_평균근속기간 증감(전년동월),2,1,3,2,0,9,2,3
2014.03_1년미만,31.1,21.2,52.1,45.8,47.3,40.8,65.4,56
2014.03_1~3년 미만,21.8,21.7,22.3,25.7,25.9,25.1,19.3,18.9
2014.03_3년 이상,47.1,57.2,25.6,28.5,26.7,34.1,15.3,25
2014.08_평균근속기간,68,86,30,32,29,40,18,31
2014.08_평균근속기간 증감(전년동월),1,1,0,-1,-2,0,-1,2
2014.08_1년미만,32.1,21.4,54.7,49.4,51.1,43.4,68,57.9
2014.08_1~3년 미만,21.5,21.6,21.1,24,23.7,25,18,16.8
2014.08_3년 이상,46.4,57,24.2,26.6,25.3,31.6,14,25.3
2015.03_평균근속기간,69,87,29,31,30,36,20,30
2015.03_평균근속기간 증감(전년동월),1,2,-2,-3,-2,-7,1,-2
2015.03_1년미만,30.6,20.6,52.1,45.3,45.7,44,63,58.2
2015.03_1~3년 미만,22,21.5,23.2,27.6,27.5,28.2,21,17.3
2015.03_3년 이상,47.3,57.9,24.7,27.1,26.8,27.8,15.9,24.5
2015.08_평균근속기간,68,88,28,29,29,31,19,29
2015.08_평균근속기간 증감(전년동월),1,2,-2,-2,-1,-8,1,-2
2015.08_1년미만,32.4,20.7,56.8,51.5,51.6,51.2,68.9,59.9
2015.08_1~3년 미만,20.9,21.1,20.5,24.1,24.2,23.6,17.3,16.3
2015.08_3년 이상,46.7,58.2,22.6,24.4,24.2,25.2,13.8,23.8
2016.03_평균근속기간,70,89,29,30,28,38,20,30
2016.03_평균근속기간 증감(전년동월),1,2,0,-1,-1,2,0,1
2016.03_1년미만,30.4,20,52.7,47.6,48.4,44.7,62.6,56.3
2016.03_1~3년 미만,22.2,21.3,24,27.1,27.5,25.7,23,18.8
2016.03_3년 이상,47.4,58.8,23.2,25.2,24.1,29.5,14.4,24.8
2016.08_평균근속기간,70,89,29,31,29,37,20,30
2016.08_평균근속기간 증감(전년동월),1,1,1,1,0,5,1,1
2016.08_1년미만,32.4,21.2,55.4,50.1,50.8,47.4,65.8,59.5
2016.08_1~3년 미만,21.4,21.2,21.9,24.9,25.2,23.7,20,17.4
2016.08_3년 이상,46.2,57.6,22.7,25,24,28.9,14.2,23.2
2017.08_평균근속기간,71,91,30,32,29,42,21,33
2017.08_평균근속기간 증감(전년동월),1,2,1,1,0,5,1,3
2017.08_1년미만,31.1,19.9,54.1,49.5,51.5,42.3,63.8,57.8
2017.08_1~3년 미만,21.7,21.4,22.4,25.2,24.6,27.4,20.7,17.3
2017.08_3년 이상,47.1,58.7,23.5,25.3,23.9,30.4,15.5,24.8
2018.08_평균근속기간,73,93,31,32,29,44,21,32
2018.08_평균근속기간 증감(전년동월),2,2,1,1,0,2,0,0
2018.08_1년미만,30.9,19,54.9,50.9,53.2,42.1,64.6,59.4
2018.08_1~3년 미만,21.3,21.4,21.2,23.6,22.9,26.3,18.8,16.8
2018.08_3년 이상,47.8,59.6,23.9,25.5,23.8,31.7,16.7,23.8
2019.08_평균근속기간,71,94,29,29,26,43,21,30
2019.08_평균근속기간 증감(전년동월),-2,1,-2,-3,-3,-1,0,-2
2019.08_1년미만,32.2,18.5,56.3,55.4,58.9,41.9,63.5,58.5
2019.08_1~3년 미만,21.1,21.3,20.8,21.2,20.5,23.7,20.9,17.9
2019.08_3년 이상,46.6,60.2,22.9,23.4,20.6,34.4,15.5,23.6
2020.08_평균근속기간,72,97,29,29,29,30,21,29
2020.08_평균근속기간 증감(전년동월),1,2,0,0,3,-13,0,-1
2020.08_1년미만,31.2,16.9,56.1,53.5,53.5,53.2,65.3,61.1
2020.08_1~3년 미만,21.5,21.7,21.3,23.5,23.3,24.9,19,15.2
2020.08_3년 이상,47.3,61.4,22.6,23,23.2,21.9,15.7,23.7
2021.08_평균근속기간,70,96,29,29,29,27,21,30
2021.08_평균근속기간 증감(전년동월),-2,-1,0,0,0,-3,1,1
2021.08_1년미만,32.2,17.7,55.5,52.9,53,52.5,64.9,60.7
2021.08_1~3년 미만,20.7,20.2,21.6,24.1,24,24.8,19,15.4
2021.08_3년 이상,47.1,62.2,22.8,23,23,22.7,16.1,24
2022.08_평균근속기간,72,97,30,30,30,26,23,33
2022.08_평균근속기간 증감(전년동월),2,1,1,1,1,-1,1,4
2022.08_1년미만,31.6,17.7,54.8,53.3,53.4,53.2,64.2,57.2
2022.08_1~3년 미만,20.5,19.9,21.4,23.4,22.9,27.3,18.4,17.5
2022.08_3년 이상,47.9,62.4,23.7,23.2,23.7,19.5,17.4,25.3
2023.08_평균근속기간,74,98,32,30,30,26,26,37
2023.08_평균근속기간 증감(전년동월),1,1,2,0,0,0,3,3
2023.08_1년미만,30.3,16.7,53.3,53.2,53,55.7,61,54.6
2023.08_1~3년 미만,21.2,20.9,21.8,23,23.1,22,19.5,16.9
2023.08_3년 이상,48.5,62.4,25,23.8,23.9,22.2,19.5,28.5
2024.08_평균근속기간,76,103,34,30,31,21,28,41
2024.08_평균근속기간 증감(전년동월),3,5,2,0,1,-5,2,5
2024.08_1년미만,29.1,15.1,51.6,53,52.8,54.8,58.9,51.9
2024.08_1~3년 미만,21.4,20.5,22.7,24.6,24,29.2,20.2,17
2024.08_3년 이상,49.6,64.4,25.7,22.4,23.2,15.9,20.9,31.1
2025.08_평균근속기간,78,105,35,31,31,31,28,41
2025.08_평균근속기간 증감(전년동월),2,3,1,1,0,10,0,0
2025.08_1년미만,28,13.9,50.7,53.6,53.8,50.9,57.7,49.5
2025.08_1~3년 미만,21.3,20.2,23.1,23.3,23.1,26.2,21.7,18.8
2025.08_3년 이상,50.7,65.9,26.2,23.1,23.1,22.9,20.6,31.7
