근로형태별,임금근로자,정규직,비정규직,한시적,기간제,비기간제,시간제,비전형
2004.08_평균근속기간,53,69,24,26,23,33,12,22
2004.08_평균근속기간 증감(전년동월),0,0,0,0,0,0,0,0
2004.08_1년미만,39.4,28.5,58.1,54.6,58.3,46.3,74.7,62.3
2004.08_1~3년 미만,23.5,23.9,22.8,24.9,23.4,28.1,17.5,20
2004.08_3년 이상,37,47.6,19.1,20.6,18.3,25.7,7.7,17.7
2005.08_평균근속기간,54,71,24,26,25,28,11,22
2005.08_평균근속기간 증감(전년동월),1,2,0,0,2,-5,-1,0
2005.08_1년미만,39.4,27.9,59.3,55.7,56.3,53.7,77.8,63
2005.08_1~3년 미만,22.7,23.6,21.3,23.4,22.9,25,14.7,18.9
2005.08_3년 이상,37.9,48.6,19.5,21,20.9,21.3,7.5,18.2
2006.08_평균근속기간,54,70,25,28,25,38,12,20
2006.08_평균근속기간 증감(전년동월),0,-2,1,3,0,10,2,-2
2006.08_1년미만,39.9,29.7,58.3,53.8,56.6,45.4,74.4,64.2
2006.08_1~3년 미만,21.8,22.4,20.7,22.4,21.9,24,16.6,18.2
2006.08_3년 이상,38.3,47.8,21,23.7,21.5,30.5,9,17.6
2007.03_평균근속기간,54,70,26,31,28,37,11,19
2007.03_평균근속기간 증감(전년동월),0,0,0,0,0,0,0,0
2007.03_1년미만,38.5,27.9,56.9,49.6,51.8,43.8,75.3,66
2007.03_1~3년 미만,22.7,23.3,21.7,24.9,23.2,29.1,16.5,17.2
2007.03_3년 이상,38.8,48.8,21.4,25.6,25,27.2,8.2,16.8
2007.08_평균근속기간,55,71,26,31,29,37,11,20
2007.08_평균근속기간 증감(전년동월),1,1,1,3,4,-1,-1,0
2007.08_1년미만,38.3,28.3,56.3,48.4,50.9,42.5,75.9,64.2
2007.08_1~3년 미만,23,23.6,22.1,25.5,24.2,28.8,16.5,18.2
2007.08_3년 이상,38.6,48.1,21.6,26.1,25,28.8,7.6,17.6
2008.03_평균근속기간,56,72,26,30,31,30,14,23
2008.03_평균근속기간 증감(전년동월),2,2,0,0,2,-7,3,4
2008.03_1년미만,36.2,25.6,55.8,47.3,45.5,51.7,72.8,61.5
