연령구분_성별,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2004.05_이직 경험자 전체,3572,1484,2088,0,0,0
2004.05_근로여건 불만족(보수 근로시간 등),1405,590,815,0,0,0
2004.05_개인/가족적이유(건강육아결혼등),795,265,530,0,0,0
2004.05_전망이 없어서,309,150,159,0,0,0
2004.05_전공 지식 기술 적성등이 맞지않아서,261,111,150,0,0,0
2004.05_임시적 계절적인 일의 완료 계약기간 끝남,191,86,105,0,0,0
2004.05_직장휴업 폐업 파산 등,138,58,80,0,0,0
2004.05_그 외,473,225,249,0,0,0
2005.05_이직 경험자 전체,3434,1389,2045,0,0,0
2005.05_근로여건 불만족(보수 근로시간 등),1428,596,832,0,0,0
2005.05_개인/가족적이유(건강육아결혼등),726,239,487,0,0,0
2005.05_전망이 없어서,301,143,158,0,0,0
2005.05_전공 지식 기술 적성등이 맞지않아서,255,90,165,0,0,0
2005.05_임시적 계절적인 일의 완료 계약기간 끝남,186,84,102,0,0,0
2005.05_직장휴업 폐업 파산 등,126,49,78,0,0,0
2005.05_그 외,412,188,224,0,0,0
2006.05_이직 경험자 전체,3120,1287,1834,0,0,0
2006.05_근로여건 불만족(보수 근로시간 등),1288,543,746,0,0,0
2006.05_개인/가족적이유(건강육아결혼등),662,250,413,0,0,0
2006.05_전망이 없어서,317,151,166,0,0,0
2006.05_전공 지식 기술 적성등이 맞지않아서,227,86,141,0,0,0
2006.05_임시적 계절적인 일의 완료 계약기간 끝남,160,74,86,0,0,0
2006.05_직장휴업 폐업 파산 등,104,38,67,0,0,0
2006.05_그 외,361,145,216,0,0,0
2007.05_이직 경험자 전체,3175,1314,1862,0,0,0
2007.05_근로여건 불만족(보수 근로시간 등),1346,557,789,0,0,0
2007.05_개인/가족적이유(건강육아결혼등),652,246,406,0,0,0
2007.05_전망이 없어서,299,145,154,0,0,0
2007.05_전공 지식 기술 적성등이 맞지않아서,246,100,147,0,0,0
2007.05_임시적 계절적인 일의 완료 계약기간 끝남,188,81,107,0,0,0
2007.05_직장휴업 폐업 파산 등,118,43,75,0,0,0
2007.05_그 외,326,142,184,0,0,0
2008.05_이직 경험자 전체,3103,1306,1797,0,0,0
2008.05_근로여건 불만족(보수 근로시간 등),1345,577,768,0,0,0
2008.05_개인/가족적이유(건강육아결혼등),596,224,372,0,0,0
2008.05_전망이 없어서,294,141,153,0,0,0
2008.05_전공 지식 기술 적성등이 맞지않아서,211,89,122,0,0,0
2008.05_임시적 계절적인 일의 완료 계약기간 끝남,206,79,126,0,0,0
2008.05_직장휴업 폐업 파산 등,94,37,57,0,0,0
2008.05_그 외,358,159,199,0,0,0
2009.05_이직 경험자 전체,2960,1208,1752,0,0,0
2009.05_근로여건 불만족(보수 근로시간 등),1274,521,753,0,0,0
2009.05_개인/가족적이유(건강육아결혼등),522,182,340,0,0,0
2009.05_전망이 없어서,288,135,154,0,0,0
2009.05_전공 지식 기술 적성등이 맞지않아서,194,69,125,0,0,0
2009.05_임시적 계절적인 일의 완료 계약기간 끝남,214,86,129,0,0,0
