연령구분_성별,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2009.05_직장휴업 폐업 파산 등,108,47,61,0,0,0
2009.05_그 외,361,170,191,0,0,0
2010.05_이직 경험자 전체,2945,1212,1733,0,0,0
2010.05_근로여건 불만족(보수 근로시간 등),1256,522,734,0,0,0
2010.05_개인/가족적이유(건강육아결혼등),499,165,334,0,0,0
2010.05_전망이 없어서,300,145,155,0,0,0
2010.05_전공 지식 기술 적성등이 맞지않아서,221,88,133,0,0,0
2010.05_임시적 계절적인 일의 완료 계약기간 끝남,248,115,133,0,0,0
2010.05_직장휴업 폐업 파산 등,83,26,57,0,0,0
2010.05_그 외,337,150,187,0,0,0
2011.05_이직 경험자 전체,2747,1130,1617,0,0,0
2011.05_근로여건 불만족(보수 근로시간 등),1160,470,690,0,0,0
2011.05_개인/가족적이유(건강육아결혼등),507,186,321,0,0,0
2011.05_전망이 없어서,270,117,154,0,0,0
2011.05_전공 지식 기술 적성등이 맞지않아서,198,80,119,0,0,0
2011.05_임시적 계절적인 일의 완료 계약기간 끝남,244,109,135,0,0,0
2011.05_직장휴업 폐업 파산 등,69,21,48,0,0,0
2011.05_그 외,298,148,150,0,0,0
2012.05_이직 경험자 전체,2687,1127,1560,0,0,0
2012.05_근로여건 불만족(보수 근로시간 등),1182,490,692,0,0,0
2012.05_개인/가족적이유(건강육아결혼등),485,162,323,0,0,0
2012.05_전망이 없어서,232,117,115,0,0,0
2012.05_전공 지식 기술 적성등이 맞지않아서,237,110,126,0,0,0
2012.05_임시적 계절적인 일의 완료 계약기간 끝남,231,109,122,0,0,0
2012.05_직장휴업 폐업 파산 등,48,15,33,0,0,0
2012.05_그 외,273,124,149,0,0,0
2013.05_이직 경험자 전체,2423,1042,1381,0,0,0
2013.05_근로여건 불만족(보수 근로시간 등),1092,458,633,0,0,0
2013.05_개인/가족적이유(건강육아결혼등),455,166,290,0,0,0
2013.05_전망이 없어서,198,104,94,0,0,0
2013.05_전공 지식 기술 적성등이 맞지않아서,183,87,96,0,0,0
2013.05_임시적 계절적인 일의 완료 계약기간 끝남,223,98,125,0,0,0
2013.05_직장휴업 폐업 파산 등,54,27,27,0,0,0
2013.05_그 외,219,102,117,0,0,0
2014.05_이직 경험자 전체,2355,962,1393,0,0,0
2014.05_근로여건 불만족(보수 근로시간 등),1103,477,626,0,0,0
2014.05_개인/가족적이유(건강육아결혼등),416,135,281,0,0,0
2014.05_전망이 없어서,183,86,97,0,0,0
2014.05_전공 지식 기술 적성등이 맞지않아서,166,70,96,0,0,0
2014.05_임시적 계절적인 일의 완료 계약기간 끝남,238,88,150,0,0,0
2014.05_직장휴업 폐업 파산 등,44,17,26,0,0,0
2014.05_그 외,205,88,117,0,0,0
2015.05_이직 경험자 전체,2445,1037,1408,0,0,0
2015.05_근로여건 불만족(보수 근로시간 등),1158,517,641,0,0,0
2015.05_개인/가족적이유(건강육아결혼등),411,125,286,0,0,0
2015.05_전망이 없어서,186,87,99,0,0,0
2015.05_전공 지식 기술 적성등이 맞지않아서,157,69,88,0,0,0
2015.05_임시적 계절적인 일의 완료 계약기간 끝남,274,114,160,0,0,0
2015.05_직장휴업 폐업 파산 등,46,20,27,0,0,0
2015.05_그 외,214,105,108,0,0,0
2016.05_이직 경험자 전체,2411,1051,1361,0,0,0
2016.05_근로여건 불만족(보수 근로시간 등),1172,530,641,0,0,0
2016.05_개인/가족적이유(건강육아결혼등),326,106,220,0,0,0
2016.05_전망이 없어서,191,103,87,0,0,0
2016.05_전공 지식 기술 적성등이 맞지않아서,152,65,87,0,0,0
2016.05_임시적 계절적인 일의 완료 계약기간 끝남,259,115,144,0,0,0
2016.05_직장휴업 폐업 파산 등,68,27,41,0,0,0
2016.05_그 외,245,104,141,0,0,0
2017.05_이직 경험자 전체,2516,1113,1403,4938,2294,2644
2017.05_근로여건 불만족(보수 근로시간 등),1284,546,738,2454,1185,1268
2017.05_개인/가족적이유(건강육아결혼등),348,120,227,781,227,555
2017.05_전망이 없어서,180,97,83,358,211,147
2017.05_전공 지식 기술 적성등이 맞지않아서,167,78,89,338,171,168
2017.05_임시적 계절적인 일의 완료 계약기간 끝남,303,150,153,503,229,275
2017.05_직장휴업 폐업 파산 등,60,28,31,140,67,74
2017.05_그 외,175,94,82,364,206,158
2018.05_이직 경험자 전체,2574,1171,1404,4894,2329,2565
2018.05_근로여건 불만족(보수 근로시간 등),1313,571,742,2399,1147,1252
2018.05_개인/가족적이유(건강육아결혼등),365,142,223,786,283,504
2018.05_전망이 없어서,224,120,105,439,252,188
2018.05_전공 지식 기술 적성등이 맞지않아서,154,79,76,311,157,154
2018.05_임시적 계절적인 일의 완료 계약기간 끝남,320,152,169,522,242,280
2018.05_직장휴업 폐업 파산 등,44,22,22,120,69,51
2018.05_그 외,154,86,68,316,179,137
2019.05_이직 경험자 전체,2771,1270,1501,5088,2405,2684
2019.05_근로여건 불만족(보수 근로시간 등),1377,612,765,2490,1163,1327
2019.05_개인/가족적이유(건강육아결혼등),403,155,248,828,299,529
2019.05_전망이 없어서,238,133,105,424,251,173
2019.05_전공 지식 기술 적성등이 맞지않아서,192,105,86,349,185,165
2019.05_임시적 계절적인 일의 완료 계약기간 끝남,340,150,190,540,245,295
2019.05_직장휴업 폐업 파산 등,61,25,37,135,65,70
2019.05_그 외,161,90,71,323,197,126
2020.05_이직 경험자 전체,2805,1297,1508,5136,2453,2683
2020.05_근로여건 불만족(보수 근로시간 등),1338,614,724,2427,1177,1250
2020.05_개인/가족적이유(건강육아결혼등),400,160,240,849,297,552
2020.05_전망이 없어서,246,124,122,439,255,183
2020.05_전공 지식 기술 적성등이 맞지않아서,197,92,105,359,182,177
2020.05_임시적 계절적인 일의 완료 계약기간 끝남,349,153,196,538,233,305
2020.05_직장휴업 폐업 파산 등,82,40,42,158,85,73
2020.05_그 외,193,113,80,367,223,143
2021.05_이직 경험자 전체,2731,1292,1439,5085,2471,2615
2021.05_근로여건 불만족(보수 근로시간 등),1263,583,680,2334,1144,1190
2021.05_개인/가족적이유(건강육아결혼등),397,180,218,834,321,513
2021.05_전망이 없어서,240,116,125,453,241,213
2021.05_전공 지식 기술 적성등이 맞지않아서,191,94,97,325,176,149
2021.05_임시적 계절적인 일의 완료 계약기간 끝남,360,166,194,606,286,320
2021.05_직장휴업 폐업 파산 등,61,33,28,134,74,60
2021.05_그 외,219,121,98,399,229,170
2022.05_이직 경험자 전체,2668,1245,1424,5092,2464,2628
2022.05_근로여건 불만족(보수 근로시간 등),1203,565,638,2378,1178,1200
2022.05_개인/가족적이유(건강육아결혼등),407,195,213,812,324,488
2022.05_전망이 없어서,254,121,133,457,249,208
2022.05_전공 지식 기술 적성등이 맞지않아서,175,82,93,325,177,148
2022.05_임시적 계절적인 일의 완료 계약기간 끝남,373,174,200,629,295,334
2022.05_직장휴업 폐업 파산 등,52,24,28,109,51,57
2022.05_그 외,204,84,120,382,189,192
2023.05_이직 경험자 전체,2601,1196,1405,5085,2478,2607
2023.05_근로여건 불만족(보수 근로시간 등),1194,558,636,2394,1223,1171
2023.05_개인/가족적이유(건강육아결혼등),380,178,202,795,345,450
2023.05_전망이 없어서,236,108,127,481,260,221
2023.05_전공 지식 기술 적성등이 맞지않아서,164,76,88,316,153,163
2023.05_임시적 계절적인 일의 완료 계약기간 끝남,383,178,205,652,299,353
2023.05_직장휴업 폐업 파산 등,55,16,38,109,38,71
2023.05_그 외,189,81,107,339,160,179
2024.05_이직 경험자 전체,2472,1159,1313,4955,2416,2539
2024.05_근로여건 불만족(보수 근로시간 등),1125,515,610,2323,1143,1180
2024.05_개인/가족적이유(건강육아결혼등),379,179,200,781,337,444
2024.05_전망이 없어서,190,97,93,378,208,170
2024.05_전공 지식 기술 적성등이 맞지않아서,155,77,78,350,177,173
2024.05_임시적 계절적인 일의 완료 계약기간 끝남,385,170,215,672,317,354
2024.05_직장휴업 폐업 파산 등,59,21,38,119,50,70
2024.05_그 외,179,100,80,333,185,148
2025.05_이직 경험자 전체,2312,1061,1251,4861,2368,2493
2025.05_근로여건 불만족(보수 근로시간 등),1073,471,602,2313,1106,1207
2025.05_개인/가족적이유(건강육아결혼등),318,160,158,673,301,372
2025.05_전망이 없어서,181,92,89,408,223,185
2025.05_전공 지식 기술 적성등이 맞지않아서,163,78,85,340,186,155
2025.05_임시적 계절적인 일의 완료 계약기간 끝남,359,152,208,673,303,370
2025.05_직장휴업 폐업 파산 등,60,23,37,121,56,66
2025.05_그 외,159,86,73,333,194,139
