교육정도별,계_계,계_초졸이하,계_중졸,계_고졸,계_대졸이상,남자_계,남자_초졸이하,남자_중졸,남자_고졸,남자_대졸이상,여자_계,여자_초졸이하,여자_중졸,여자_고졸,여자_대졸이상
2019.08_임금근로자,20559,1082,1325,7548,10604,11396,334,654,4233,6174,9163,748,671,3315,4429
2019.08_정규직,13078,243,498,4278,8059,8040,95,251,2645,5049,5038,148,247,1633,3010
2019.08_비정규직,7481,839,828,3270,2545,3356,239,404,1588,1125,4125,600,424,1682,1419
2019.08_한시적,4785,594,512,1886,1793,2238,152,252,984,849,2547,442,259,902,943
2019.08_시간제,3156,536,356,1392,872,846,98,106,428,214,2310,439,250,964,657
2019.08_비전형,2045,242,331,991,481,1125,92,189,579,265,920,151,141,412,216
2020.08_임금근로자,20446,1092,1246,7426,10682,11361,339,603,4150,6271,9085,753,644,3276,4412
2020.08_정규직,13020,230,445,4185,8161,8027,93,230,2558,5146,4994,136,215,1627,3015
2020.08_비정규직,7426,862,802,3241,2521,3335,245,373,1592,1125,4091,617,429,1649,1396
2020.08_한시적,4608,621,451,1798,1739,2079,153,194,903,830,2529,468,257,895,909
2020.08_시간제,3252,576,370,1422,884,915,102,116,463,234,2337,474,254,959,650
2020.08_비전형,2073,240,333,1019,482,1212,104,191,630,286,861,135,142,389,196
2021.08_임금근로자,20992,1073,1295,7566,11059,11517,342,635,4180,6360,9476,731,660,3386,4699
2021.08_정규직,12927,193,433,4083,8218,7941,78,220,2513,5131,4985,115,213,1570,3087
2021.08_비정규직,8066,880,862,3483,2841,3575,265,415,1667,1229,4491,616,447,1816,1612
2021.08_한시적,5171,657,498,1994,2022,2234,165,216,942,911,2938,492,282,1053,1111
2021.08_시간제,3512,599,404,1505,1005,1011,122,139,485,265,2502,477,265,1020,740
2021.08_비전형,2278,237,361,1123,557,1342,114,223,679,325,936,123,138,444,231
2022.08_임금근로자,21724,1036,1258,7795,11635,11936,329,598,4312,6697,9788,708,660,3483,4938
2022.08_정규직,13568,192,410,4313,8653,8283,83,215,2635,5350,5285,108,195,1678,3304
2022.08_비정규직,8156,845,848,3482,2982,3653,245,383,1677,1348,4503,599,465,1805,1634
2022.08_한시적,5348,629,525,2059,2135,2368,148,206,1004,1010,2980,481,319,1055,1125
2022.08_시간제,3687,607,439,1564,1077,1125,122,150,536,316,2562,485,289,1028,761
2022.08_비전형,2131,217,317,1044,552,1209,104,187,620,298,922,113,130,424,255
2023.08_임금근로자,21954,968,1184,7814,11988,11927,284,547,4278,6819,10027,685,637,3536,5169
2023.08_정규직,13832,160,397,4323,8953,8370,66,201,2614,5489,5462,93,196,1709,3464
2023.08_비정규직,8122,809,787,3491,3035,3557,217,346,1664,1330,4565,592,441,1827,1705
2023.08_한시적,5259,617,499,2008,2135,2349,137,209,1000,1003,2910,480,290,1008,1132
2023.08_시간제,3873,624,435,1659,1156,1143,122,136,561,324,2731,502,298,1098,832
2023.08_비전형,1957,173,262,969,553,1090,76,152,576,286,866,96,109,393,268
2024.08_임금근로자,22143,936,1134,7688,12386,11908,263,500,4163,6982,10235,674,633,3525,5404
2024.08_정규직,13685,133,331,4052,9169,8293,47,156,2482,5608,5392,86,175,1570,3560
