연령별_성별,15~29세_계,15~29세_남자,15~29세_여자,20~34세_계,20~34세_남자,20~34세_여자
2004.05_계,5200,2208,2991,0,0,0
2004.05_매우 불일치,2082,982,1100,0,0,0
2004.05_약간 불일치,884,382,502,0,0,0
2004.05_그런대로 일치,1331,527,804,0,0,0
2004.05_매우 일치,903,318,585,0,0,0
2005.05_계,4971,2093,2878,0,0,0
2005.05_매우 불일치,1941,901,1040,0,0,0
2005.05_약간 불일치,876,378,498,0,0,0
2005.05_그런대로 일치,1247,511,736,0,0,0
2005.05_매우 일치,907,303,604,0,0,0
2006.05_계,4761,2008,2753,0,0,0
2006.05_매우 불일치,1792,851,940,0,0,0
2006.05_약간 불일치,769,321,448,0,0,0
2006.05_그런대로 일치,1288,544,743,0,0,0
2006.05_매우 일치,913,292,621,0,0,0
2007.05_계,4669,2016,2653,0,0,0
2007.05_매우 불일치,1665,803,862,0,0,0
2007.05_약간 불일치,781,341,440,0,0,0
2007.05_그런대로 일치,1286,538,748,0,0,0
2007.05_매우 일치,937,335,602,0,0,0
2008.05_계,4590,1987,2603,0,0,0
2008.05_매우 불일치,1662,854,808,0,0,0
2008.05_약간 불일치,771,323,448,0,0,0
2008.05_그런대로 일치,1176,465,710,0,0,0
2008.05_매우 일치,982,345,637,0,0,0
2009.05_계,4375,1892,2483,0,0,0
2009.05_매우 불일치,1635,798,837,0,0,0
2009.05_약간 불일치,677,297,380,0,0,0
2009.05_그런대로 일치,1200,489,711,0,0,0
2009.05_매우 일치,863,308,555,0,0,0
2010.05_계,4272,1826,2446,0,0,0
2010.05_매우 불일치,1656,789,867,0,0,0
2010.05_약간 불일치,609,255,355,0,0,0
2010.05_그런대로 일치,1061,459,602,0,0,0
2010.05_매우 일치,946,324,622,0,0,0
2011.05_계,4129,1798,2331,0,0,0
2011.05_매우 불일치,1562,752,810,0,0,0
2011.05_약간 불일치,624,285,340,0,0,0
2011.05_그런대로 일치,1012,443,569,0,0,0
2011.05_매우 일치,930,318,612,0,0,0
2012.05_계,4037,1753,2283,0,0,0
2012.05_매우 불일치,1522,733,789,0,0,0
2012.05_약간 불일치,612,288,324,0,0,0
2012.05_그런대로 일치,944,413,531,0,0,0
2012.05_매우 일치,959,320,639,0,0,0
2013.05_계,3857,1680,2178,0,0,0
2013.05_매우 불일치,1435,731,704,0,0,0
2013.05_약간 불일치,574,254,320,0,0,0
2013.05_그런대로 일치,828,356,472,0,0,0
2013.05_매우 일치,1021,339,682,0,0,0
2014.05_계,3827,1661,2166,0,0,0
2014.05_매우 불일치,1426,702,724,0,0,0
2014.05_약간 불일치,579,257,322,0,0,0
2014.05_그런대로 일치,814,367,448,0,0,0
2014.05_매우 일치,1007,335,672,0,0,0
2015.05_계,3926,1719,2207,0,0,0
2015.05_매우 불일치,1469,717,753,0,0,0
2015.05_약간 불일치,581,304,277,0,0,0
2015.05_그런대로 일치,822,366,456,0,0,0
2015.05_매우 일치,1053,332,721,0,0,0
2016.05_계,4033,1800,2233,0,0,0
2016.05_매우 불일치,1490,743,747,0,0,0
2016.05_약간 불일치,602,301,300,0,0,0
2016.05_그런대로 일치,846,387,459,0,0,0
2016.05_매우 일치,1095,369,726,0,0,0
2017.05_계,4101,1849,2252,7243,3481,3762
2017.05_매우 불일치,1549,810,739,2645,1407,1238
2017.05_약간 불일치,535,261,274,1035,520,515
2017.05_그런대로 일치,861,362,500,1601,766,835
2017.05_매우 일치,1156,417,739,1963,788,1175
2018.05_계,4140,1912,2229,7173,3517,3656
2018.05_매우 불일치,1558,785,773,2637,1379,1258
2018.05_약간 불일치,550,288,262,970,514,456
2018.05_그런대로 일치,878,407,471,1567,785,782
2018.05_매우 일치,1155,432,723,2000,839,1161
2019.05_계,4168,1975,2193,7142,3525,3617
2019.05_매우 불일치,1592,859,733,2689,1465,1224
2019.05_약간 불일치,573,289,284,959,492,467
2019.05_그런대로 일치,894,406,488,1597,766,831
2019.05_매우 일치,1110,421,688,1898,803,1095
2020.05_계,4070,1928,2142,7068,3516,3552
2020.05_매우 불일치,1637,868,769,2705,1467,1238
2020.05_약간 불일치,470,242,228,860,454,406
2020.05_그런대로 일치,934,437,497,1706,854,852
2020.05_매우 일치,1029,381,648,1797,740,1057
2021.05_계,4056,1926,2130,7084,3531,3553
2021.05_매우 불일치,1622,852,769,2743,1500,1243
2021.05_약간 불일치,499,260,239,866,451,414
2021.05_그런대로 일치,911,445,467,1645,832,813
2021.05_매우 일치,1024,369,655,1831,749,1082
2022.05_계,4117,1940,2177,7216,3583,3633
2022.05_매우 불일치,1636,863,772,2759,1494,1264
2022.05_약간 불일치,524,267,257,897,498,400
2022.05_그런대로 일치,932,429,504,1675,849,826
2022.05_매우 일치,1025,382,644,1885,742,1143
2023.05_계,3947,1840,2107,7132,3537,3595
2023.05_매우 불일치,1525,823,702,2715,1486,1229
2023.05_약간 불일치,427,211,216,817,439,378
2023.05_그런대로 일치,974,449,525,1739,861,878
2023.05_매우 일치,1022,357,665,1862,752,1110
2024.05_계,3765,1794,1972,7030,3528,3502
2024.05_매우 불일치,1457,807,650,2639,1453,1186
2024.05_약간 불일치,435,217,217,842,451,391
2024.05_그런대로 일치,864,422,442,1715,924,791
2024.05_매우 일치,1010,347,663,1834,700,1134
2025.05_계,3607,1743,1864,6961,3526,3435
2025.05_매우 불일치,1336,744,591,2556,1429,1127
2025.05_약간 불일치,435,222,213,820,447,372
2025.05_그런대로 일치,853,417,435,1751,932,819
2025.05_매우 일치,984,360,624,1835,718,1117
