연령구분_성별,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2019.05_직장체험경험있음,3951,1866,2086,5308,2569,2739
2019.05_-1개월미만,374,185,190,361,168,193
2019.05_-1~3개월미만,797,395,402,937,464,473
2019.05_-3~6개월미만,886,423,463,1202,601,601
2019.05_-6개월이상,1894,863,1031,2808,1336,1472
2019.05_직장체험경험없음,5121,2670,2451,4395,2333,2062
2019.05_무학,0,0,0,1,0,1
2020.05_청년층인구,8934,4467,4467,9741,4934,4807
2020.05_직장체험경험있음,3958,1846,2112,5458,2656,2801
2020.05_-1개월미만,330,155,175,346,167,179
2020.05_-1~3개월미만,796,398,398,997,516,481
2020.05_-3~6개월미만,892,459,432,1216,661,555
2020.05_-6개월이상,1940,834,1107,2899,1313,1586
2020.05_직장체험경험없음,4975,2620,2355,4279,2277,2002
2020.05_무학,2,1,1,4,1,3
2021.05_청년층인구,8799,4405,4393,9778,4967,4811
2021.05_직장체험경험있음,3928,1825,2103,5473,2642,2831
2021.05_-1개월미만,353,172,181,395,183,211
2021.05_-1~3개월미만,745,387,358,975,506,469
2021.05_-3~6개월미만,857,414,443,1158,597,561
2021.05_-6개월이상,1973,852,1122,2945,1355,1590
2021.05_직장체험경험없음,4868,2579,2289,4300,2324,1976
2021.05_무학,3,2,1,5,2,4
2022.05_청년층인구,8595,4299,4296,9717,4941,4776
2022.05_직장체험경험있음,3808,1777,2032,5319,2595,2724
2022.05_-1개월미만,340,167,174,391,186,205
2022.05_-1~3개월미만,719,384,335,923,490,433
2022.05_-3~6개월미만,863,411,452,1215,641,574
2022.05_-6개월이상,1886,815,1071,2791,1279,1512
2022.05_직장체험경험없음,4783,2519,2264,4392,2342,2051
2022.05_무학,4,4,0,6,4,1
2023.05_청년층인구,8416,4220,4196,9603,4890,4713
2023.05_직장체험경험있음,3627,1717,1910,5262,2588,2674
2023.05_-1개월미만,285,156,129,372,199,173
2023.05_-1~3개월미만,676,362,314,894,482,412
2023.05_-3~6개월미만,789,382,407,1143,585,559
2023.05_-6개월이상,1876,817,1059,2852,1322,1530
2023.05_직장체험경험없음,4785,2500,2285,4335,2297,2037
2023.05_무학,4,3,1,6,5,2
2024.05_청년층인구,8173,4088,4085,9473,4831,4643
2024.05_직장체험경험있음,3564,1687,1877,5229,2564,2665
