근로형태별,임금근로자,정규직,비정규직,한시적,기간제,비기간제,시간제,비전형
2014.03_건강보험(직장가입자),71.9,84,46.3,67.8,71.9,55,18.1,32
2014.03_건강보험증감(전년동월),0.3,0.7,-0.6,-0.3,-3,10.6,0.8,-1.6
2014.03_고용보험,68.7,81.6,44.1,63.7,67.2,52.8,17.8,29.3
2014.03_고용보험증감(전년동월),0.7,1,0.1,0.1,-2.6,10.6,1.3,-1
2014.08_국민연금(직장가입자),68.1,82.2,38.5,56.3,58.8,47.2,14.8,21.8
2014.08_국민연금증감(전년동월),0.4,0.9,-0.9,-1.7,-2.6,3,1.2,-1.7
2014.08_건강보험(직장가입자),71.5,84.2,44.8,65.5,69.4,51.2,17.9,31.1
2014.08_건강보험증감(전년동월),0.1,0.6,-1.5,-2,-2.9,3,-0.2,-1.6
2014.08_고용보험,68.9,82,43.9,63,66.3,51.4,19.8,29.2
2014.08_고용보험증감(전년동월),1.1,1.3,0.2,-0.3,-0.8,3.5,2.4,-0.5
2015.03_국민연금(직장가입자),68,82.1,38.1,55.9,60.1,42.2,16.4,21.3
2015.03_국민연금증감(전년동월),-0.5,0.1,-1.8,-2.9,-1,-9.2,1.8,-1.7
2015.03_건강보험(직장가입자),72.1,84.7,45.2,66.2,72.2,46.6,19.6,31.6
2015.03_건강보험증감(전년동월),0.2,0.7,-1.1,-1.6,0.3,-8.4,1.5,-0.4
2015.03_고용보험,69.4,82.5,44.1,62.9,68.1,46,21.9,29.2
2015.03_고용보험증감(전년동월),0.7,0.9,0,-0.8,0.9,-6.8,4.1,-0.1
2015.08_국민연금(직장가입자),67.5,82.1,37,54.6,58.5,40.4,13.4,21
2015.08_국민연금증감(전년동월),-0.6,-0.1,-1.5,-1.7,-0.3,-6.8,-1.4,-0.8
2015.08_건강보험(직장가입자),71.6,84.8,43.9,64.2,69.6,44.6,17.6,30.9
2015.08_건강보험증감(전년동월),0.1,0.6,-0.9,-1.3,0.2,-6.6,-0.3,-0.2
2015.08_고용보험,68.7,82.4,42.6,60.6,64.8,45.4,19,29
2015.08_고용보험증감(전년동월),-0.2,0.4,-1.3,-2.4,-1.5,-6,-0.8,-0.2
2016.03_국민연금(직장가입자),68.6,83.3,37.6,53.8,56,45.7,16.7,21.8
2016.03_국민연금증감(전년동월),0.6,1.2,-0.5,-2.1,-4.1,3.5,0.3,0.5
2016.03_건강보험(직장가입자),73.5,86.3,46.3,66.1,70.2,51.3,20.4,34.4
2016.03_건강보험증감(전년동월),1.4,1.6,1.1,-0.1,-2,4.7,0.8,2.8
2016.03_고용보험,70.6,84.2,44.6,62.2,65.3,51.3,21.7,31.8
2016.03_고용보험증감(전년동월),1.2,1.7,0.5,-0.7,-2.8,5.3,-0.2,2.6
2016.08_국민연금(직장가입자),67.7,83,36.4,53.3,55.6,44.4,15.4,19.9
2016.08_국민연금증감(전년동월),0.2,0.9,-0.6,-1.3,-2.9,4,2,-1.1
2016.08_건강보험(직장가입자),72.6,86.2,44.9,65.2,69.2,49.3,19.4,32.4
2016.08_건강보험증감(전년동월),1,1.4,1,1,-0.4,4.7,1.8,1.5
2016.08_고용보험,69.7,84.2,42.9,61.1,64,49.6,21.1,29.2
2016.08_고용보험증감(전년동월),1,1.8,0.3,0.5,-0.8,4.2,2.1,0.2
2017.08_국민연금(직장가입자),69.1,85,36.6,52.4,53.2,49.7,17.3,20.4
2017.08_국민연금증감(전년동월),1.4,2,0.2,-0.9,-2.4,5.3,1.9,0.5
2017.08_건강보험(직장가입자),74.2,88.4,45.3,64.8,67.3,55.3,21.8,33.3
2017.08_건강보험증감(전년동월),1.6,2.2,0.4,-0.4,-1.9,6,2.4,0.9
2017.08_고용보험,71.2,85.9,44.1,61.5,62.5,57.9,23.1,30.1
2017.08_고용보험증감(전년동월),1.5,1.7,1.2,0.4,-1.5,8.3,2,0.9
2018.08_국민연금(직장가입자),69.8,86.2,36.6,50.6,51.3,48,18.6,19.8
2018.08_국민연금증감(전년동월),0.7,1.2,0,-1.8,-1.9,-1.7,1.3,-0.6
2018.08_건강보험(직장가입자),75.5,90.1,45.9,62.9,65.3,54.2,25,32.1
2018.08_건강보험증감(전년동월),1.3,1.7,0.6,-1.9,-2,-1.1,3.2,-1.2
2018.08_고용보험,71.6,87,43.6,57.9,58.8,54.6,24.8,29.9
2018.08_고용보험증감(전년동월),0.4,1.1,-0.5,-3.6,-3.7,-3.3,1.7,-0.2
2019.08_국민연금(직장가입자),69.5,87.5,37.9,49,49,49.1,19.8,19.1
2019.08_국민연금증감(전년동월),-0.3,1.3,1.3,-1.6,-2.3,1.1,1.2,-0.7
2019.08_건강보험(직장가입자),75.7,91.5,48,61.7,63.1,56.3,26.7,32.3
2019.08_건강보험증감(전년동월),0.2,1.4,2.1,-1.2,-2.2,2.1,1.7,0.2
2019.08_고용보험,70.9,87.2,44.9,57.1,57.6,55,26.1,29
2019.08_고용보험증감(전년동월),-0.7,0.2,1.3,-0.8,-1.2,0.4,1.3,-0.9
2020.08_국민연금(직장가입자),69.8,88,37.8,50.5,53.8,31.4,20.5,17.2
2020.08_국민연금증감(전년동월),0.3,0.5,-0.1,1.5,4.8,-17.7,0.7,-1.9
2020.08_건강보험(직장가입자),76.7,92.6,49,65.2,69.8,38.5,28.9,29.4
2020.08_건강보험증감(전년동월),1,1.1,1,3.5,6.7,-17.8,2.2,-2.9
2020.08_고용보험,72.6,89.2,46.1,60,63.6,39.4,27.8,27
2020.08_고용보험증감(전년동월),1.7,2,1.2,2.9,6,-15.6,1.7,-2
2021.08_국민연금(직장가입자),69.4,88.8,38.4,50.1,53,28.9,21,17.7
2021.08_국민연금증감(전년동월),-0.4,0.8,0.6,-0.4,-0.8,-2.5,0.5,0.5
2021.08_건강보험(직장가입자),77,93.6,50.3,65.2,69.1,37.7,29.5,31.1
2021.08_건강보험증감(전년동월),0.3,1,1.3,0,-0.7,-0.8,0.6,1.7
2021.08_고용보험,75.2,90.9,52.6,62,64.4,44.5,31.3,43.8
2021.08_고용보험증감(전년동월),2.6,1.7,6.5,2,0.8,5.1,3.5,16.8
2022.08_국민연금(직장가입자),70,89.1,38.3,48.1,50.9,28.1,19.9,18.3
2022.08_국민연금증감(전년동월),0.6,0.3,-0.1,-2,-2.1,-0.8,-1.1,0.6
2022.08_건강보험(직장가입자),78.5,94.5,51.7,65.2,68.7,40.5,29.6,33.1
2022.08_건강보험증감(전년동월),1.5,0.9,1.4,0,-0.4,2.8,0.1,2
2022.08_고용보험,77,92.2,54,60.5,62.1,48.6,32.1,49.5
2022.08_고용보험증감(전년동월),1.8,1.3,1.4,-1.5,-2.3,4.1,0.8,5.7
2023.08_국민연금(직장가입자),69.6,88,38.4,47.2,49,27.5,20.6,19.7
2023.08_국민연금증감(전년동월),-0.4,-1.1,0.1,-0.9,-1.9,-0.6,0.7,1.4
2023.08_건강보험(직장가입자),78.9,94.3,52.6,64.8,67.2,39.4,32.4,35.2
2023.08_건강보험증감(전년동월),0.4,-0.2,0.9,-0.4,-1.5,-1.1,2.8,2.1
2023.08_고용보험,77,91.9,54.2,59.7,61.1,44.6,33.6,50.8
2023.08_고용보험증감(전년동월),0,-0.3,0.2,-0.8,-1,-4,1.5,1.3
2024.08_국민연금(직장가입자),68.8,88.1,37.5,44.6,46.7,27.8,21,18.3
2024.08_국민연금증감(전년동월),-0.8,0.1,-0.9,-2.6,-2.3,0.3,0.4,-1.4
2024.08_건강보험(직장가입자),78.6,95,52.2,62.1,65,38.9,33.1,35.9
2024.08_건강보험증감(전년동월),-0.3,0.7,-0.4,-2.7,-2.2,-0.5,0.7,0.7
2024.08_고용보험,77,92.3,54.7,58.5,60,46.6,34.7,52.8
2024.08_고용보험증감(전년동월),0,0.4,0.5,-1.2,-1.1,2,1.1,2
2025.08_국민연금(직장가입자),68.5,87.9,37.1,43.9,44.8,34.2,19.1,18.6
2025.08_국민연금증감(전년동월),-0.3,-0.2,-0.4,-0.7,-1.9,6.4,-1.9,0.3
2025.08_건강보험(직장가입자),79,95,53.2,62.1,63.9,43.2,33.4,39.7
2025.08_건강보험증감(전년동월),0.4,0,1,0,-1.1,4.3,0.3,3.8
2025.08_고용보험,76.2,91.8,53.7,56.2,57.1,47.5,33,54.6
2025.08_고용보험증감(전년동월),-0.8,-0.5,-1,-2.3,-2.9,0.9,-1.7,1.8
