근로형태별,임금근로자,정규직,비정규직,한시적,기간제,비기간제,시간제,비전형
2004.08_국민연금(직장가입자),59.6,72.5,37.7,48,48.5,46.8,2.5,25.7
2004.08_국민연금증감(전년동월),0,0,0,0,0,0,0,0
2004.08_건강보험(직장가입자),61.4,73.8,40.2,50.7,51,49.9,3.7,29.7
2004.08_건강보험증감(전년동월),0,0,0,0,0,0,0,0
2004.08_고용보험,52.2,61.5,36.2,45.7,46,45.1,3.6,25.2
2004.08_고용보험증감(전년동월),0,0,0,0,0,0,0,0
2005.08_국민연금(직장가입자),61.5,75.8,36.8,47.7,52.7,32.4,2.1,23.7
2005.08_국민연금증감(전년동월),1.9,3.3,-0.9,-0.3,4.2,-14.4,-0.4,-2
2005.08_건강보험(직장가입자),62,75.9,37.9,48.8,54.1,32.6,2.3,25.9
2005.08_건강보험증감(전년동월),0.6,2.1,-2.3,-1.9,3.1,-17.3,-1.4,-3.8
2005.08_고용보험,53.2,63.8,34.7,45.3,50.2,30.4,2.2,22.2
2005.08_고용보험증감(전년동월),1,2.3,-1.5,-0.4,4.2,-14.7,-1.4,-3
2006.08_국민연금(직장가입자),62.8,76.2,38.5,51.7,52,50.8,3.2,22
2006.08_국민연금증감(전년동월),1.3,0.4,1.7,4,-0.7,18.4,1.1,-1.7
2006.08_건강보험(직장가입자),63.4,76.1,40.2,53.4,54,51.5,3.8,25.3
2006.08_건강보험증감(전년동월),1.4,0.2,2.3,4.6,-0.1,18.9,1.5,-0.6
2006.08_고용보험,54.8,64.7,36.6,49.4,50,47.4,3.2,20.9
2006.08_고용보험증감(전년동월),1.6,0.9,1.9,4.1,-0.2,17,1,-1.3
2007.03_국민연금(직장가입자),62.8,76.1,39.7,56.2,57.8,52.2,2.3,22
2007.03_국민연금증감(전년동월),0,0,0,0,0,0,0,0
2007.03_건강보험(직장가입자),64,76.7,42.1,59.1,61.4,53.3,3.2,25.9
2007.03_건강보험증감(전년동월),0,0,0,0,0,0,0,0
2007.03_고용보험,55.8,65.5,39.2,55.3,56.9,51.4,2.4,22.4
2007.03_고용보험증감(전년동월),0,0,0,0,0,0,0,0
2007.08_국민연금(직장가입자),63.5,76.4,40.3,57.5,59.7,52.1,3.3,23
2007.08_국민연금증감(전년동월),0.7,0.2,1.8,5.8,7.7,1.3,0.1,1
2007.08_건강보험(직장가입자),64.6,76.8,42.8,60.3,62.9,53.6,4,27.7
2007.08_건강보험증감(전년동월),1.2,0.7,2.6,6.9,8.9,2.1,0.2,2.4
2007.08_고용보험,55.5,64.4,39.5,55.8,58,50.4,3.7,24
2007.08_고용보험증감(전년동월),0.7,-0.3,2.9,6.4,8,3,0.5,3.1
2008.03_국민연금(직장가입자),63.6,77.7,37.6,54.9,64.1,32.8,6.4,24.2
2008.03_국민연금증감(전년동월),0.8,1.6,-2.1,-1.3,6.3,-19.4,4.1,2.2
2008.03_건강보험(직장가입자),64.9,78.2,40.2,58.4,67.9,35.6,7.9,28.3
2008.03_건강보험증감(전년동월),0.9,1.5,-1.9,-0.7,6.5,-17.7,4.7,2.4
2008.03_고용보험,55.7,65.7,37.3,54,63.1,32.2,6.1,25.7
2008.03_고용보험증감(전년동월),-0.1,0.2,-1.9,-1.3,6.2,-19.2,3.7,3.3
2008.08_국민연금(직장가입자),64.4,77.3,39.1,56.5,62.9,40.3,6.4,23.6
2008.08_국민연금증감(전년동월),0.9,0.9,-1.2,-1,3.2,-11.8,3.1,0.6
2008.08_건강보험(직장가입자),65.7,78,41.6,59.9,66.7,42.5,6.1,28
2008.08_건강보험증감(전년동월),1.1,1.2,-1.2,-0.4,3.8,-11.1,2.1,0.3
2008.08_고용보험,56.9,65.9,39.3,56.2,62.5,39.9,6.3,25.8
2008.08_고용보험증감(전년동월),1.4,1.5,-0.2,0.4,4.5,-10.5,2.6,1.8
2009.03_국민연금(직장가입자),65,78.7,37.6,55.7,64.7,18.7,6.7,22.5
2009.03_국민연금증감(전년동월),1.4,1,0,0.8,0.6,-14.1,0.3,-1.7
2009.03_건강보험(직장가입자),66.7,79.6,40.9,60.3,69.7,21.8,6.9,28
2009.03_건강보험증감(전년동월),1.8,1.4,0.7,1.9,1.8,-13.8,-1,-0.3
2009.03_고용보험,58,67.4,39.2,57.3,66.3,20.3,7.3,26
2009.03_고용보험증감(전년동월),2.3,1.7,1.9,3.3,3.2,-11.9,1.2,0.3
2009.08_국민연금(직장가입자),64.8,79,38.3,56.6,62.8,31.8,7.5,21.6
2009.08_국민연금증감(전년동월),0.4,1.7,-0.8,0.1,-0.1,-8.5,1.1,-2
2009.08_건강보험(직장가입자),67.1,79.8,43.4,64.1,71.5,34.3,8.8,27.4
2009.08_건강보험증감(전년동월),1.4,1.8,1.8,4.2,4.8,-8.2,2.7,-0.6
2009.08_고용보험,59,67.6,42.8,62.1,68.8,34.8,9.2,27.4
2009.08_고용보험증감(전년동월),2.1,1.7,3.5,5.9,6.3,-5.1,2.9,1.6
2010.03_국민연금(직장가입자),65.7,78.7,39.4,61,66.9,43.8,8.5,21.4
2010.03_국민연금증감(전년동월),0.7,0,1.8,5.3,2.2,25.1,1.8,-1.1
2010.03_건강보험(직장가입자),67.7,79.6,43.4,66.9,74.1,45.8,9.6,27.8
2010.03_건강보험증감(전년동월),1,0,2.5,6.6,4.4,24,2.7,-0.2
2010.03_고용보험,63.9,75.5,42.7,65.2,72.4,44.3,10.1,28
2010.03_고용보험증감(전년동월),5.9,8.1,3.5,7.9,6.1,24,2.8,2
2010.08_국민연금(직장가입자),65.1,78.5,38.1,58.7,64,42.3,9.3,22.2
2010.08_국민연금증감(전년동월),0.3,-0.5,-0.2,2.1,1.2,10.5,1.8,0.6
2010.08_건강보험(직장가입자),67.1,79.5,42.1,64.7,71.1,44.4,10.5,28.6
2010.08_건강보험증감(전년동월),0,-0.3,-1.3,0.6,-0.4,10.1,1.7,1.2
2010.08_고용보험,63.4,75.7,41,62,68.1,43.1,10.7,28.5
2010.08_고용보험증감(전년동월),4.4,8.1,-1.8,-0.1,-0.7,8.3,1.5,1.1
2011.03_국민연금(직장가입자),65.8,79.2,39.7,60.4,64.7,48.9,10,21.5
2011.03_국민연금증감(전년동월),0.1,0.5,0.3,-0.6,-2.2,5.1,1.5,0.1
2011.03_건강보험(직장가입자),68.7,80.7,45.2,68.2,74.2,51.8,11.5,29.3
2011.03_건강보험증감(전년동월),1,1.1,1.8,1.3,0.1,6,1.9,1.5
2011.03_고용보험,65.3,77.2,44.2,65.8,71,52.2,12.1,29.3
2011.03_고용보험증감(전년동월),1.4,1.7,1.5,0.6,-1.4,7.9,2,1.3
2011.08_국민연금(직장가입자),65.2,79.2,38.3,58.4,62.3,44.9,11,21.2
2011.08_국민연금증감(전년동월),0.1,0.7,0.2,-0.3,-1.7,2.6,1.7,-1
2011.08_건강보험(직장가입자),68.4,80.9,44.1,66.9,72.2,48.8,13,29.5
2011.08_건강보험증감(전년동월),1.3,1.4,2,2.2,1.1,4.4,2.5,0.9
2011.08_고용보험,64.7,77.5,42.4,62.9,67.3,48.2,13.5,28.1
2011.08_고용보험증감(전년동월),1.3,1.8,1.4,0.9,-0.8,5.1,2.8,-0.4
2012.03_국민연금(직장가입자),66.7,79.7,40.7,61,64.7,49.8,13.3,22.2
2012.03_국민연금증감(전년동월),0.9,0.5,1,0.6,0,0.9,3.3,0.7
2012.03_건강보험(직장가입자),69.8,81.4,46.6,69.2,74.3,53.7,15.5,30.8
2012.03_건강보험증감(전년동월),1.1,0.7,1.4,1,0.1,1.9,4,1.5
2012.03_고용보험,66.6,78.4,45.1,65.7,70.2,52,16,29.2
2012.03_고용보험증감(전년동월),1.3,1.2,0.9,-0.1,-0.8,-0.2,3.9,-0.1
2012.08_국민연금(직장가입자),66.8,80.4,39.2,58.9,62.6,44.4,12.4,23.1
2012.08_국민연금증감(전년동월),1.6,1.2,0.9,0.5,0.3,-0.5,1.4,1.9
2012.08_건강보험(직장가입자),70.1,82.3,45.5,67.8,72.5,49.3,14.7,32.3
2012.08_건강보험증감(전년동월),1.7,1.4,1.4,0.9,0.3,0.5,1.7,2.8
2012.08_고용보험,66.4,79,43.5,63.8,67.8,48.1,15.1,30
2012.08_고용보험증감(전년동월),1.7,1.5,1.1,0.9,0.5,-0.1,1.6,1.9
2013.03_국민연금(직장가입자),68.1,81.4,40.1,58.8,63.8,40.9,14.1,24.1
2013.03_국민연금증감(전년동월),1.4,1.7,-0.6,-2.2,-0.9,-8.9,0.8,1.9
2013.03_건강보험(직장가입자),71.6,83.3,46.9,68.1,74.9,44.4,17.3,33.6
2013.03_건강보험증감(전년동월),1.8,1.9,0.3,-1.1,0.6,-9.3,1.8,2.8
2013.03_고용보험,68,80.6,44,63.6,69.8,42.2,16.5,30.3
2013.03_고용보험증감(전년동월),1.4,2.2,-1.1,-2.1,-0.4,-9.8,0.5,1.1
2013.08_국민연금(직장가입자),67.7,81.3,39.4,58,61.4,44.2,13.6,23.5
2013.08_국민연금증감(전년동월),0.9,0.9,0.2,-0.9,-1.2,-0.2,1.2,0.4
2013.08_건강보험(직장가입자),71.4,83.6,46.3,67.5,72.3,48.2,18.1,32.7
2013.08_건강보험증감(전년동월),1.3,1.3,0.8,-0.3,-0.2,-1.1,3.4,0.4
2013.08_고용보험,67.8,80.7,43.7,63.3,67.1,47.9,17.4,29.7
2013.08_고용보험증감(전년동월),1.4,1.7,0.2,-0.5,-0.7,-0.2,2.3,-0.3
2014.03_국민연금(직장가입자),68.5,82,39.9,58.8,61.1,51.4,14.6,23
2014.03_국민연금증감(전년동월),0.4,0.6,-0.2,0,-2.7,10.5,0.5,-1.1
