성별_연령계층별,계_계,계_15 - 19세,계_20 - 29세,계_30 - 39세,계_40 - 49세,계_50 - 59세,계_60세이상,남자_계,남자_15 - 19세,남자_20 - 29세,남자_30 - 39세,남자_40 - 49세,남자_50 - 59세,남자_60세이상,여자_계,여자_15 - 19세,여자_20 - 29세,여자_30 - 39세,여자_40 - 49세,여자_50 - 59세,여자_60세이상
2011.03_비정규직,5825,139,1022,1246,1401,1178,839,2773,64,455,652,583,564,455,3052,75,567,594,818,615,383
2011.03_한시적,3400,40,699,814,752,599,497,1684,20,291,459,317,290,308,1717,20,408,355,435,309,189
2011.03_기간제,2482,23,551,555,501,434,418,1219,11,219,311,201,213,265,1263,11,333,245,301,221,153
2011.03_시간제,1540,117,277,240,319,273,314,455,50,115,40,61,73,116,1085,68,162,200,258,200,198
2011.03_비전형,2334,17,220,401,634,639,422,1192,10,119,218,284,328,234,1141,7,101,183,351,311,189
2011.08_임금근로자,17715,230,3448,4865,4724,3102,1346,10168,93,1638,3127,2759,1799,752,7547,137,1810,1738,1966,1303,594
2011.08_정규직,11662,70,2357,3681,3284,1872,397,7349,25,1140,2543,2168,1220,253,4313,45,1217,1137,1116,653,144
2011.08_비정규직,6053,160,1090,1185,1440,1230,950,2819,68,498,584,590,579,500,3234,92,592,601,850,650,450
2011.08_한시적,3474,66,739,748,741,610,571,1660,26,326,394,301,287,328,1814,40,413,354,440,323,244
2011.08_기간제,2687,50,601,553,536,449,497,1275,18,264,281,213,211,288,1412,32,337,273,323,238,210
2011.08_시간제,1708,121,317,260,341,287,383,470,49,130,36,56,62,137,1237,72,186,224,285,225,246
2011.08_비전형,2452,17,203,391,670,688,482,1267,10,118,216,308,350,264,1185,8,85,175,362,338,218
2012.03_임금근로자,17645,189,3366,4827,4767,3166,1331,10067,70,1576,3084,2793,1807,738,7578,120,1790,1743,1974,1359,593
2012.03_정규직,11782,64,2369,3653,3336,1945,414,7354,26,1127,2491,2205,1247,260,4428,39,1242,1163,1132,698,154
2012.03_비정규직,5863,125,997,1174,1431,1221,917,2712,44,449,594,589,560,478,3151,81,548,580,842,661,439
2012.03_한시적,3424,35,667,759,777,638,548,1642,19,282,398,329,293,322,1782,17,385,360,448,346,226
2012.03_기간제,2573,26,512,552,548,472,463,1238,15,210,284,220,231,278,1335,11,302,268,328,241,185
2012.03_시간제,1710,109,315,257,357,288,385,469,32,132,51,55,65,134,1241,77,183,206,302,223,251
2012.03_비전형,2282,11,182,373,617,643,456,1171,6,113,211,277,331,234,1111,5,69,162,340,312,223
2012.08_임금근로자,17941,259,3321,4910,4755,3274,1421,10278,116,1563,3116,2801,1895,786,7663,143,1758,1794,1955,1379,635
2012.08_정규직,11987,63,2309,3777,3372,2045,421,7500,31,1117,2522,2235,1324,271,4488,32,1192,1255,1137,721,150
2012.08_비정규직,5954,197,1012,1133,1383,1229,1000,2779,86,447,595,565,572,515,3175,111,565,539,818,658,485
2012.08_한시적,3427,81,650,749,721,627,599,1679,37,288,413,293,302,347,1747,44,363,335,428,325,252
2012.08_기간제,2729,67,532,580,540,501,510,1326,30,232,305,214,247,299,1404,37,300,275,326,254,211
2012.08_시간제,1828,152,334,238,344,310,450,505,60,134,43,54,68,144,1323,92,200,195,289,242,306
2012.08_비전형,2304,20,199,335,611,650,490,1212,10,111,198,290,332,271,1092,10,88,137,321,317,219
2013.03_임금근로자,17905,188,3204,4814,4793,3439,1467,10248,80,1504,3056,2825,1996,787,7657,108,1699,1759,1968,1444,680
2013.03_정규직,12138,43,2253,3734,3472,2158,479,7580,20,1065,2483,2304,1408,301,4558,23,1188,1251,1167,750,178
2013.03_비정규직,5767,145,951,1080,1321,1281,988,2668,61,440,573,521,588,486,3099,84,511,507,801,694,502
2013.03_한시적,3349,57,633,686,706,664,603,1621,33,288,384,286,294,335,1728,24,345,302,420,369,268
2013.03_기간제,2607,39,492,532,523,496,525,1279,26,213,289,210,242,299,1328,12,279,243,314,254,226
2013.03_시간제,1758,113,305,234,348,313,445,471,36,127,50,47,73,138,1288,77,179,184,301,240,307
2013.03_비전형,2226,14,172,330,569,658,484,1150,7,105,195,253,342,249,1076,8,67,135,316,316,235
2013.08_임금근로자,18403,234,3239,4880,4940,3539,1571,10517,100,1543,3060,2913,2039,862,7887,134,1696,1820,2027,1501,709
2013.08_정규직,12426,59,2232,3799,3595,2228,513,7740,28,1087,2512,2352,1437,326,4686,32,1145,1287,1244,791,187
2013.08_비정규직,5977,175,1007,1081,1344,1312,1058,2776,73,456,548,562,602,537,3201,103,551,533,783,710,522
2013.08_한시적,3446,74,650,684,718,673,647,1653,38,277,373,299,308,358,1793,37,373,311,419,365,289
2013.08_기간제,2770,61,531,548,543,517,572,1346,34,223,298,220,250,322,1424,27,308,250,322,267,250
2013.08_시간제,1883,130,357,247,341,316,493,523,42,162,45,48,63,162,1360,88,195,202,293,253,331
2013.08_비전형,2234,13,165,332,569,667,488,1192,8,106,183,280,349,266,1042,5,59,149,290,318,222
2014.03_임금근로자,18615,223,3221,4785,5019,3729,1638,10590,106,1495,3017,2949,2143,881,8024,116,1726,1769,2071,1586,757
2014.03_정규직,12654,81,2244,3750,3644,2411,525,7828,44,1056,2503,2364,1535,326,4826,37,1188,1247,1280,876,198
2014.03_비정규직,5960,142,977,1036,1375,1318,1114,2762,63,439,514,584,608,555,3198,79,537,522,791,710,559
2014.03_한시적,3426,45,633,664,743,669,673,1679,23,286,363,325,312,370,1747,21,347,301,418,357,303
2014.03_기간제,2604,27,492,486,511,500,588,1264,14,210,252,218,238,332,1340,13,282,234,292,262,256
2014.03_시간제,1921,116,342,251,365,315,532,529,47,129,47,65,72,168,1392,69,213,204,300,243,363
2014.03_비전형,2177,18,147,299,563,656,495,1140,7,84,162,276,342,270,1036,11,63,137,287,314,225
2014.08_임금근로자,18992,263,3344,4872,5032,3770,1711,10796,110,1610,3039,2960,2167,911,8196,154,1734,1833,2072,1603,800
2014.08_정규직,12869,80,2275,3812,3696,2467,539,7944,39,1110,2504,2396,1572,324,4925,41,1166,1308,1300,896,215
2014.08_비정규직,6123,184,1069,1060,1336,1303,1172,2852,71,500,535,564,595,587,3271,113,569,525,772,708,585
2014.08_한시적,3529,70,683,669,713,665,730,1740,30,322,373,312,310,392,1789,39,361,296,400,355,338
2014.08_기간제,2763,50,552,501,504,508,647,1350,24,249,269,208,249,350,1413,26,303,233,295,259,297
2014.08_시간제,2035,147,416,246,345,310,570,584,57,190,40,53,62,183,1450,91,226,206,292,248,387
2014.08_비전형,2137,21,156,302,525,637,496,1131,10,80,176,261,326,278,1006,10,76,126,265,311,218
2015.03_임금근로자,18989,212,3268,4828,5012,3865,1805,10795,93,1536,3026,2943,2219,979,8195,119,1733,1802,2069,1646,826
2015.03_정규직,12935,72,2256,3781,3677,2525,624,8016,31,1101,2512,2386,1617,369,4919,41,1155,1269,1291,907,255
2015.03_비정규직,6055,140,1013,1047,1334,1340,1181,2779,63,435,514,557,601,610,3276,78,578,533,778,739,571
2015.03_한시적,3437,50,648,665,692,675,708,1651,23,269,351,289,310,409,1787,27,379,314,403,365,299
2015.03_기간제,2640,30,498,491,480,519,622,1267,14,197,245,190,251,370,1373,16,301,247,290,268,252
2015.03_시간제,2095,115,414,251,399,372,544,617,49,179,42,65,93,188,1477,66,234,209,334,279,355
2015.03_비전형,2171,15,140,294,519,662,542,1150,11,69,173,276,332,289,1021,4,71,121,243,329,253
2015.08_임금근로자,19474,257,3413,4840,5072,3946,1946,11007,112,1632,3014,2955,2257,1037,8468,145,1781,1827,2117,1689,909
2015.08_정규직,13166,66,2316,3812,3752,2581,640,8103,32,1109,2526,2404,1640,393,5063,34,1207,1287,1348,940,247
2015.08_비정규직,6308,191,1097,1028,1320,1365,1307,2903,80,523,488,551,617,644,3405,111,574,540,769,749,663
2015.08_한시적,3655,74,680,683,736,685,797,1760,36,321,355,318,311,419,1895,38,359,328,417,374,378
2015.08_기간제,2872,52,524,524,543,526,703,1376,26,237,263,225,249,376,1495,26,287,261,318,276,327
2015.08_시간제,2236,155,443,242,354,386,657,684,63,215,38,47,93,227,1553,92,228,204,306,293,430
2015.08_비전형,2229,20,170,279,504,677,579,1150,11,93,147,244,350,305,1079,9,76,132,260,328,275
2016.03_임금근로자,19359,217,3351,4761,5069,3983,1979,10900,99,1612,2937,2929,2265,1059,8459,118,1739,1823,2140,1719,920
2016.03_정규직,13168,78,2312,3758,3755,2614,651,8125,37,1132,2478,2403,1670,404,5043,41,1180,1279,1352,944,246
2016.03_비정규직,6191,139,1039,1003,1314,1369,1328,2775,62,480,459,526,595,654,3416,77,559,544,788,774,674
2016.03_한시적,3589,45,656,632,700,719,838,1698,21,309,310,290,319,449,1891,23,347,322,411,400,389
2016.03_기간제,2819,31,505,471,525,556,732,1315,17,233,215,200,250,400,1505,14,273,256,326,306,331
