비전형근로자별,비정규직,비전형,파견,용역,특수형태,일일,가정내,비정규직(남자),비전형(남자),파견(남자),용역(남자),특수형태(남자),일일(남자),가정내(남자),비정규직(여자),비전형(여자),파견(여자),용역(여자),특수형태(여자),일일(여자),가정내(여자)
2014.08_증감 (전년동월),146,97,10,41,20,13,16,75,61,2,50,6,15,2,70,36,8,9,25,2,14
2014.08_증감률 (전년동월),2.4,4.4,4.7,6.3,3.6,1.6,21.2,2.7,5.1,1.8,13.2,3.1,2.5,33.3,2.2,3.5,6.7,3.3,7,0.7,20.2
2015.03_근로자수 (천명),6055,2171,192,662,510,841,47,2779,1150,92,367,163,581,2,3276,1021,100,294,347,260,45
2015.03_구성비 (비정규직대비),100,35.9,3.2,10.9,8.4,13.9,0.8,100,41.4,3.3,13.2,5.9,20.9,0.1,100,31.2,3.1,9,10.6,7.9,1.4
2015.03_증감 (전년동월),94,6,22,24,52,42,32,16,10,11,16,38,42,8,78,15,11,8,14,1,24
2015.03_증감률 (전년동월),1.6,0.3,13.1,3.8,9.2,5.3,40.3,0.6,0.9,13.9,4.6,19,7.7,78.2,2.4,1.5,12.4,2.8,3.8,0.2,34.7
2015.08_근로자수 (천명),6308,2229,211,660,502,886,55,2903,1150,87,352,141,615,8,3405,1079,124,308,361,271,47
2015.08_구성비 (비정규직대비),100,35.3,3.3,10.5,8,14,0.9,100,39.6,3,12.1,4.9,21.2,0.3,100,31.7,3.6,9.1,10.6,8,1.4
2015.08_증감 (전년동월),186,92,16,52,32,71,3,52,19,7,23,52,50,4,134,73,9,29,21,21,7
2015.08_증감률 (전년동월),3,4.3,8.1,8.6,6,8.6,4.8,1.8,1.7,8.9,7.1,27.1,8.8,100,4.1,7.3,7.6,10.4,6,8.4,12.6
2016.03_근로자수 (천명),6191,2159,217,700,508,766,44,2775,1104,90,360,146,547,5,3416,1056,127,340,363,219,39
2016.03_구성비 (비정규직대비),100,34.9,3.5,11.3,8.2,12.4,0.7,100,39.8,3.3,13,5.2,19.7,0.2,100,30.9,3.7,9.9,10.6,6.4,1.1
