성별,계,남자,여자
2003.08_임금근로자 규모(천명),14195,8312,5883
2003.08_임금근로자 비중(%),100,100,100
2003.08_정규직 규모(천명),9573,6016,3556
2003.08_정규직 비중(%),67.4,72.4,60.5
2003.08_비정규직 규모(천명),4622,2295,2327
2003.08_비정규직 비중(%),32.6,27.6,39.6
2003.08_한시적 규모(천명),3028,1590,1437
2003.08_시간제 규모(천명),929,239,690
2003.08_비전형 규모(천명),1681,828,853
2004.08_임금근로자 규모(천명),14618,8515,6103
2004.08_임금근로자 비중(%),100,100,100
2004.08_정규직 규모(천명),9211,5775,3436
2004.08_정규직 비중(%),63,67.8,56.3
2004.08_비정규직 규모(천명),5407,2739,2668
2004.08_비정규직 비중(%),37,32.2,43.7
2004.08_한시적 규모(천명),3611,1922,1690
2004.08_시간제 규모(천명),1069,277,792
2004.08_비전형 규모(천명),1947,970,977
2005.08_임금근로자 규모(천명),14948,8667,6282
2005.08_임금근로자 비중(%),100,100,100
2005.08_정규직 규모(천명),9480,5939,3540
2005.08_정규직 비중(%),63.4,68.5,56.4
2005.08_비정규직 규모(천명),5469,2727,2741
2005.08_비정규직 비중(%),36.6,31.5,43.6
2005.08_한시적 규모(천명),3612,1861,1751
2005.08_시간제 규모(천명),1037,307,730
2005.08_비전형 규모(천명),1896,960,935
2006.08_임금근로자 규모(천명),15420,8953,6467
2006.08_임금근로자 비중(%),100,100,100
2006.08_정규직 규모(천명),9956,6243,3713
2006.08_정규직 비중(%),64.6,69.7,57.4
2006.08_비정규직 규모(천명),5465,2710,2755
2006.08_비정규직 비중(%),35.4,30.3,42.6
2006.08_한시적 규모(천명),3649,1927,1722
2006.08_시간제 규모(천명),1127,341,786
2006.08_비전형 규모(천명),1918,909,1009
2007.03_임금근로자 규모(천명),15844,9192,6652
2007.03_임금근로자 비중(%),100,100,100
2007.03_정규직 규모(천명),10046,6205,3841
2007.03_정규직 비중(%),63.4,67.5,57.7
2007.03_비정규직 규모(천명),5798,2986,2811
2007.03_비정규직 비중(%),36.6,32.5,42.3
2007.03_한시적 규모(천명),3675,1982,1693
2007.03_시간제 규모(천명),1228,401,828
2007.03_비전형 규모(천명),2234,1172,1062
2007.08_임금근로자 규모(천명),16006,9326,6680
2007.08_임금근로자 비중(%),100,100,100
2007.08_정규직 규모(천명),10274,6398,3876
2007.08_정규직 비중(%),64.2,68.6,58
2007.08_비정규직 규모(천명),5732,2928,2804
2007.08_비정규직 비중(%),35.8,31.4,42
2007.08_한시적 규모(천명),3580,1943,1637
2007.08_시간제 규모(천명),1199,359,840
2007.08_비전형 규모(천명),2204,1140,1065
2008.03_임금근로자 규모(천명),16138,9335,6804
2008.03_임금근로자 비중(%),100,100,100
2008.03_정규직 규모(천명),10472,6475,3996
2008.03_정규직 비중(%),64.9,69.4,58.7
2008.03_비정규직 규모(천명),5667,2859,2807
2008.03_비정규직 비중(%),35.1,30.6,41.3
2008.03_한시적 규모(천명),3272,1720,1553
2008.03_시간제 규모(천명),1300,391,909
2008.03_비전형 규모(천명),2338,1271,1067
2008.08_임금근로자 규모(천명),16258,9464,6793
2008.08_임금근로자 비중(%),100,100,100
2008.08_정규직 규모(천명),10770,6743,4027
2008.08_정규직 비중(%),66.2,71.2,59.3
2008.08_비정규직 규모(천명),5488,2722,2766
2008.08_비정규직 비중(%),33.8,28.8,40.7
2008.08_한시적 규모(천명),3322,1719,1604
2008.08_시간제 규모(천명),1231,373,858
2008.08_비전형 규모(천명),2147,1124,1023
2009.03_임금근로자 규모(천명),16210,9385,6825
2009.03_임금근로자 비중(%),100,100,100
2009.03_정규직 규모(천명),10803,6746,4057
2009.03_정규직 비중(%),66.6,71.9,59.4
2009.03_비정규직 규모(천명),5407,2639,2768
2009.03_비정규직 비중(%),33.4,28.1,40.6
2009.03_한시적 규모(천명),3202,1642,1560
2009.03_시간제 규모(천명),1320,374,946
2009.03_비전형 규모(천명),2177,1111,1066
2009.08_임금근로자 규모(천명),16609,9588,7020
2009.08_임금근로자 비중(%),100,100,100
2009.08_정규직 규모(천명),10826,6898,3928
2009.08_정규직 비중(%),65.2,71.9,56
2009.08_비정규직 규모(천명),5783,2690,3092
2009.08_비정규직 비중(%),34.8,28.1,44
2009.08_한시적 규모(천명),3528,1690,1838
2009.08_시간제 규모(천명),1428,367,1061
2009.08_비전형 규모(천명),2288,1157,1131
2010.03_임금근로자 규모(천명),16744,9620,7124
2010.03_임금근로자 비중(%),100,100,100
2010.03_정규직 규모(천명),11220,7057,4163
2010.03_정규직 비중(%),67,73.4,58.4
2010.03_비정규직 규모(천명),5524,2563,2961
2010.03_비정규직 비중(%),33,26.6,41.6
2010.03_한시적 규모(천명),3220,1552,1668
2010.03_시간제 규모(천명),1529,397,1132
2010.03_비전형 규모(천명),2186,1145,1041
2010.08_임금근로자 규모(천명),17189,9870,7320
2010.08_임금근로자 비중(%),100,100,100
2010.08_정규직 규모(천명),11475,7210,4264
2010.08_정규직 비중(%),66.8,73.1,58.3
2010.08_비정규직 규모(천명),5715,2659,3055
2010.08_비정규직 비중(%),33.2,26.9,41.7
2010.08_한시적 규모(천명),3298,1582,1716
2010.08_시간제 규모(천명),1623,425,1198
2010.08_비전형 규모(천명),2300,1219,1081
2011.03_임금근로자 규모(천명),17252,9946,7305
2011.03_임금근로자 비중(%),100,100,100
2011.03_정규직 규모(천명),11427,7173,4254
2011.03_정규직 비중(%),66.2,72.1,58.2
2011.03_비정규직 규모(천명),5825,2773,3052
2011.03_비정규직 비중(%),33.8,27.9,41.8
2011.03_한시적 규모(천명),3400,1684,1717
2011.03_시간제 규모(천명),1540,455,1085
2011.03_비전형 규모(천명),2334,1192,1141
2011.08_임금근로자 규모(천명),17715,10168,7547
2011.08_임금근로자 비중(%),100,100,100
2011.08_정규직 규모(천명),11662,7349,4313
2011.08_정규직 비중(%),65.8,72.3,57.1
2011.08_비정규직 규모(천명),6053,2819,3234
2011.08_비정규직 비중(%),34.2,27.7,42.9
2011.08_한시적 규모(천명),3474,1660,1814
2011.08_시간제 규모(천명),1708,470,1237
2011.08_비전형 규모(천명),2452,1267,1185
2012.03_임금근로자 규모(천명),17645,10067,7578
2012.03_임금근로자 비중(%),100,100,100
2012.03_정규직 규모(천명),11782,7354,4428
2012.03_정규직 비중(%),66.8,73.1,58.4
2012.03_비정규직 규모(천명),5863,2712,3151
2012.03_비정규직 비중(%),33.2,26.9,41.6
2012.03_한시적 규모(천명),3424,1642,1782
2012.03_시간제 규모(천명),1710,469,1241
2012.03_비전형 규모(천명),2282,1171,1111
2012.08_임금근로자 규모(천명),17941,10278,7663
2012.08_임금근로자 비중(%),100,100,100
2012.08_정규직 규모(천명),11987,7500,4488
2012.08_정규직 비중(%),66.8,73,58.6
2012.08_비정규직 규모(천명),5954,2779,3175
2012.08_비정규직 비중(%),33.2,27,41.4
2012.08_한시적 규모(천명),3427,1679,1747
2012.08_시간제 규모(천명),1828,505,1323
2012.08_비전형 규모(천명),2304,1212,1092
2013.03_임금근로자 규모(천명),17905,10248,7657
2013.03_임금근로자 비중(%),100,100,100
2013.03_정규직 규모(천명),12138,7580,4558
2013.03_정규직 비중(%),67.8,74,59.5
2013.03_비정규직 규모(천명),5767,2668,3099
2013.03_비정규직 비중(%),32.2,26,40.5
2013.03_한시적 규모(천명),3349,1621,1728
2013.03_시간제 규모(천명),1758,471,1288
2013.03_비전형 규모(천명),2226,1150,1076
2013.08_임금근로자 규모(천명),18403,10517,7887
2013.08_임금근로자 비중(%),100,100,100
2013.08_정규직 규모(천명),12426,7740,4686
2013.08_정규직 비중(%),67.5,73.6,59.4
2013.08_비정규직 규모(천명),5977,2776,3201
2013.08_비정규직 비중(%),32.5,26.4,40.6
2013.08_한시적 규모(천명),3446,1653,1793
2013.08_시간제 규모(천명),1883,523,1360
2013.08_비전형 규모(천명),2234,1192,1042
2014.03_임금근로자 규모(천명),18615,10590,8024
2014.03_임금근로자 비중(%),100,100,100
2014.03_정규직 규모(천명),12654,7828,4826
2014.03_정규직 비중(%),68,73.9,60.1
2014.03_비정규직 규모(천명),5960,2762,3198
2014.03_비정규직 비중(%),32,26.1,39.9
2014.03_한시적 규모(천명),3426,1679,1747
2014.03_시간제 규모(천명),1921,529,1392
2014.03_비전형 규모(천명),2177,1140,1036
2014.08_임금근로자 규모(천명),18992,10796,8196
2014.08_임금근로자 비중(%),100,100,100
2014.08_정규직 규모(천명),12869,7944,4925
2014.08_정규직 비중(%),67.8,73.6,60.1
2014.08_비정규직 규모(천명),6123,2852,3271
2014.08_비정규직 비중(%),32.2,26.4,39.9
2014.08_한시적 규모(천명),3529,1740,1789
2014.08_시간제 규모(천명),2035,584,1450
2014.08_비전형 규모(천명),2137,1131,1006
2015.03_임금근로자 규모(천명),18989,10795,8195
2015.03_임금근로자 비중(%),100,100,100
2015.03_정규직 규모(천명),12935,8016,4919
2015.03_정규직 비중(%),68.1,74.3,60
2015.03_비정규직 규모(천명),6055,2779,3276
2015.03_비정규직 비중(%),31.9,25.7,40
2015.03_한시적 규모(천명),3437,1651,1787
2015.03_시간제 규모(천명),2095,617,1477
2015.03_비전형 규모(천명),2171,1150,1021
2015.08_임금근로자 규모(천명),19474,11007,8468
2015.08_임금근로자 비중(%),100,100,100
2015.08_정규직 규모(천명),13166,8103,5063
2015.08_정규직 비중(%),67.6,73.6,59.8
2015.08_비정규직 규모(천명),6308,2903,3405
2015.08_비정규직 비중(%),32.4,26.4,40.2
2015.08_한시적 규모(천명),3655,1760,1895
2015.08_시간제 규모(천명),2236,684,1553
2015.08_비전형 규모(천명),2229,1150,1079
2016.03_임금근로자 규모(천명),19359,10900,8459
2016.03_임금근로자 비중(%),100,100,100
2016.03_정규직 규모(천명),13168,8125,5043
2016.03_정규직 비중(%),68,74.5,59.6
2016.03_비정규직 규모(천명),6191,2775,3416
2016.03_비정규직 비중(%),32,25.5,40.4
2016.03_한시적 규모(천명),3589,1698,1891
2016.03_시간제 규모(천명),2226,600,1626
2016.03_비전형 규모(천명),2159,1104,1056
2016.08_임금근로자 규모(천명),19743,11086,8658
2016.08_임금근로자 비중(%),100,100,100
2016.08_정규직 규모(천명),13262,8166,5096
2016.08_정규직 비중(%),67.2,73.7,58.9
2016.08_비정규직 규모(천명),6481,2919,3562
2016.08_비정규직 비중(%),32.8,26.3,41.1
2016.08_한시적 규모(천명),3671,1713,1958
2016.08_시간제 규모(천명),2488,707,1780
2016.08_비전형 규모(천명),2245,1185,1060
2017.08_임금근로자 규모(천명),20006,11188,8818
2017.08_임금근로자 비중(%),100,100,100
2017.08_정규직 규모(천명),13428,8242,5186
2017.08_정규직 비중(%),67.1,73.7,58.8
2017.08_비정규직 규모(천명),6578,2946,3632
2017.08_비정규직 비중(%),32.9,26.3,41.2
2017.08_한시적 규모(천명),3725,1729,1996
2017.08_시간제 규모(천명),2663,761,1902
2017.08_비전형 규모(천명),2112,1157,954
2018.08_임금근로자 규모(천명),20045,11171,8874
2018.08_임금근로자 비중(%),100,100,100
2018.08_정규직 규모(천명),13431,8236,5195
2018.08_정규직 비중(%),67,73.7,58.5
2018.08_비정규직 규모(천명),6614,2936,3678
2018.08_비정규직 비중(%),33,26.3,41.5
2018.08_한시적 규모(천명),3823,1748,2075
2018.08_시간제 규모(천명),2709,737,1971
2018.08_비전형 규모(천명),2071,1148,923
2019.08_임금근로자 규모(천명),20559,11396,9163
2019.08_임금근로자 비중(%),100,100,100
2019.08_정규직 규모(천명),13078,8040,5038
2019.08_정규직 비중(%),63.6,70.6,55
2019.08_비정규직 규모(천명),7481,3356,4125
2019.08_비정규직 비중(%),36.4,29.4,45
2019.08_한시적 규모(천명),4785,2238,2547
2019.08_시간제 규모(천명),3156,846,2310
2019.08_비전형 규모(천명),2045,1125,920
2020.08_임금근로자 규모(천명),20446,11361,9085
2020.08_임금근로자 비중(%),100,100,100
2020.08_정규직 규모(천명),13020,8027,4994
2020.08_정규직 비중(%),63.7,70.6,55
2020.08_비정규직 규모(천명),7426,3335,4091
2020.08_비정규직 비중(%),36.3,29.4,45
2020.08_한시적 규모(천명),4608,2079,2529
2020.08_시간제 규모(천명),3252,915,2337
2020.08_비전형 규모(천명),2073,1212,861
2021.08_임금근로자 규모(천명),20992,11517,9476
2021.08_임금근로자 비중(%),100,100,100
2021.08_정규직 규모(천명),12927,7941,4985
