연령구분_학력별_성별,15~29세_전체_전체,15~29세_전체_남자,15~29세_전체_여자,15~29세_고졸이하_전체,15~29세_고졸이하_남자,15~29세_고졸이하_여자,15~29세_대졸이상_전체,15~29세_대졸이상_남자,15~29세_대졸이상_여자,20~34세_전체_전체,20~34세_전체_남자,20~34세_전체_여자,20~34세_고졸이하_전체,20~34세_고졸이하_남자,20~34세_고졸이하_여자,20~34세_대졸이상_전체,20~34세_대졸이상_남자,20~34세_대졸이상_여자
2021.05_그 직장 근무자소개 (추천),370,201,170,149,108,41,222,92,129,702,379,323,250,173,77,452,206,246
2021.05_학교(학원) 선생님 추천,271,115,156,118,58,60,153,57,96,394,164,230,135,66,69,259,98,161
2021.05_신문 잡지 인터넷 등 응모,1288,526,763,521,259,262,767,267,500,1982,835,1146,691,354,337,1291,482,809
2021.05_공개시험,835,369,466,89,58,31,745,311,434,1623,784,839,134,86,48,1489,699,790
2021.05_특별채용,107,61,46,30,19,11,77,42,35,230,140,90,42,28,14,188,112,76
2021.05_그 외,507,237,270,211,127,84,296,110,186,964,496,467,341,210,131,623,287,336
2022.05_졸업/중퇴 후 취업 유경험자,4117,1940,2177,1504,904,600,2613,1037,1577,7216,3583,3633,2187,1323,863,5029,2259,2770
2022.05_가족 친지소개 (추천),658,411,247,338,241,97,319,170,150,1158,727,431,549,377,172,609,350,259
2022.05_그 직장 근무자소개 (추천),376,214,162,181,125,56,195,89,107,675,364,312,263,177,86,413,187,226
2022.05_학교(학원) 선생님 추천,275,127,148,94,57,37,182,70,112,410,181,229,105,60,44,305,120,185
2022.05_신문 잡지 인터넷 등 응모,1303,521,783,544,268,276,759,253,506,2058,876,1182,738,379,359,1320,497,823
2022.05_공개시험,873,378,495,106,68,38,767,310,457,1719,831,889,172,108,64,1548,723,825
2022.05_특별채용,104,46,59,32,17,15,72,29,44,259,145,114,52,28,24,207,117,91
2022.05_그 외,528,245,283,210,128,82,318,117,202,937,460,477,309,195,115,628,266,362
2023.05_졸업/중퇴 후 취업 유경험자,3947,1840,2107,1361,813,549,2586,1027,1559,7132,3537,3595,2124,1288,836,5008,2249,2759
2023.05_가족 친지소개 (추천),619,400,219,321,228,92,298,172,127,1055,679,375,492,346,146,563,334,229
2023.05_그 직장 근무자소개 (추천),336,191,144,136,96,41,199,96,104,701,408,293,255,171,84,446,237,209
2023.05_학교(학원) 선생님 추천,288,133,155,102,59,43,186,74,113,406,174,233,118,65,53,288,108,180
2023.05_신문 잡지 인터넷 등 응모,1258,501,757,513,269,244,745,233,512,2102,899,1204,766,411,355,1336,487,849
2023.05_공개시험,918,394,524,111,70,41,807,324,483,1789,869,920,167,108,60,1622,761,861
2023.05_특별채용,88,38,50,23,11,12,65,27,39,221,118,103,33,19,14,188,99,89
2023.05_그 외,441,183,258,156,80,76,285,103,182,859,391,468,292,168,125,567,224,343
2024.05_졸업/중퇴 후 취업 유경험자,3765,1794,1972,1262,802,460,2503,992,1511,7030,3528,3502,2001,1271,730,5029,2257,2772
2024.05_가족 친지소개 (추천),616,398,218,319,230,89,297,168,129,1083,694,389,512,359,153,571,335,236
2024.05_그 직장 근무자소개 (추천),305,170,135,118,80,38,187,90,97,636,373,263,216,143,74,419,231,189
2024.05_학교(학원) 선생님 추천,250,107,143,81,43,38,169,64,105,383,169,214,102,54,48,281,115,166
2024.05_신문 잡지 인터넷 등 응모,1156,485,671,439,251,188,717,234,483,1933,820,1113,643,357,286,1290,464,827
2024.05_공개시험,844,387,457,107,82,26,737,305,432,1834,911,923,195,152,44,1638,759,879
2024.05_특별채용,113,54,59,27,16,12,86,38,48,252,138,113,37,21,15,215,117,98
2024.05_그 외,482,193,289,171,100,71,311,93,218,910,423,487,296,186,110,614,237,377
2025.05_졸업/중퇴 후 취업 유경험자,3607,1743,1864,1178,775,403,2429,969,1460,6961,3526,3435,1918,1279,639,5043,2247,2796
2025.05_가족 친지소개 (추천),512,341,171,259,200,59,253,141,112,1013,662,350,459,342,117,554,320,234
2025.05_그 직장 근무자소개 (추천),304,179,125,140,98,41,165,81,84,618,347,271,216,154,61,403,193,210
2025.05_학교(학원) 선생님 추천,222,112,111,70,51,19,152,60,92,344,176,169,87,53,34,257,122,135
2025.05_신문 잡지 인터넷 등 응모,1112,475,637,427,255,172,685,220,465,1934,866,1068,651,401,250,1283,465,818
2025.05_공개시험,835,367,468,98,59,39,737,308,429,1887,918,969,187,126,61,1700,792,908
2025.05_특별채용,129,59,70,35,24,11,94,36,58,289,146,142,48,34,14,241,113,128
2025.05_그 외,493,211,282,150,88,61,344,123,221,877,410,466,271,169,102,605,241,364
