성별_연령구분,전체_15~29세,전체_20~34세,남자_15~29세,남자_20~34세,여자_15~29세,여자_20~34세
2013.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3857.3,0,1679.6,0,2177.7,0
2013.05_농림어업(A),35,0,21,0,14.1,0
2013.05_광ㆍ제조업(BC),653,0,398.9,0,254.1,0
2013.05_건설업(F),142.9,0,96.6,0,46.4,0
2013.05_도매 및 소매업(G),621.4,0,300.5,0,320.9,0
2013.05_숙박 및 음식점업(I),370.9,0,184.2,0,186.7,0
2013.05_운수 및 창고업(H)정보통신업(J),251.8,0,125.4,0,126.4,0
2013.05_전문 과학 및 기술 서비스업(M),284.6,0,143.1,0,141.5,0
2013.05_공공 행정 국방 및 사회보장 행정(O),89.7,0,34.7,0,55,0
2013.05_교육 서비스업(P),408.7,0,71,0,337.6,0
2013.05_보건업 및 사회복지 서비스업(Q),412.9,0,48.5,0,364.5,0
2013.05_기타(DEKLNRSTU),586.4,0,255.8,0,330.6,0
2014.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3826.7,0,1660.9,0,2165.7,0
2014.05_농림어업(A),36.9,0,21.4,0,15.5,0
2014.05_광ㆍ제조업(BC),678.6,0,435,0,243.6,0
2014.05_건설업(F),129.3,0,87.6,0,41.7,0
2014.05_도매 및 소매업(G),616,0,290,0,326,0
2014.05_숙박 및 음식점업(I),438.1,0,224.5,0,213.6,0
2014.05_운수 및 창고업(H)정보통신업(J),235.7,0,118.9,0,116.9,0
2014.05_전문 과학 및 기술 서비스업(M),250.3,0,111.5,0,138.8,0
2014.05_공공 행정 국방 및 사회보장 행정(O),100.8,0,30.6,0,70.3,0
2014.05_교육 서비스업(P),392.4,0,68.2,0,324.2,0
2014.05_보건업 및 사회복지 서비스업(Q),443.9,0,65,0,378.9,0
2014.05_기타(DEKLNRSTU),504.6,0,208.2,0,296.3,0
2015.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3925.6,0,1718.5,0,2207.1,0
2015.05_농림어업(A),33.3,0,17.3,0,15.9,0
2015.05_광ㆍ제조업(BC),702.3,0,430.9,0,271.4,0
2015.05_건설업(F),117.5,0,83.4,0,34.1,0
2015.05_도매 및 소매업(G),662.9,0,313.3,0,349.6,0
2015.05_숙박 및 음식점업(I),503.1,0,264.5,0,238.6,0
2015.05_운수 및 창고업(H)정보통신업(J),227.5,0,120.1,0,107.4,0
2015.05_전문 과학 및 기술 서비스업(M),231.1,0,102.3,0,128.8,0
2015.05_공공 행정 국방 및 사회보장 행정(O),79.8,0,31,0,48.9,0
2015.05_교육 서비스업(P),415.5,0,76,0,339.5,0
2015.05_보건업 및 사회복지 서비스업(Q),445.1,0,69.9,0,375.1,0
2015.05_기타(DEKLNRSTU),507.6,0,209.9,0,297.7,0
2016.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4032.7,3893.5,1800.2,1726.7,2232.5,2166.8
2016.05_농림어업(A),31.2,29.2,14.8,13,16.4,16.2
2016.05_광ㆍ제조업(BC),719.2,689.3,459.2,437.4,259.9,251.9
2016.05_건설업(F),120.5,117.4,77.5,75.2,43,42.2
2016.05_도매 및 소매업(G),678.8,655.1,329.3,318.1,349.5,337
2016.05_숙박 및 음식점업(I),495,459.2,271.6,252.6,223.4,206.5
2016.05_운수 및 창고업(H)정보통신업(J),245.4,240.8,123.7,120.9,121.7,119.9
2016.05_운수 및 창고업(H)(2024.5~),0,0,0,0,0,0
2016.05_정보통신업(J)(2024.5~),0,0,0,0,0,0
2016.05_전문 과학 및 기술 서비스업(M),266.1,260.8,109.1,107.5,157,153.2
2016.05_공공 행정 국방 및 사회보장 행정(O),91.2,88.9,30.9,29.3,60.3,59.6
2016.05_교육 서비스업(P),407.9,402.6,86.3,85,321.6,317.7
2016.05_보건업 및 사회복지 서비스업(Q),449.4,444.2,68.9,68.2,380.5,376
2016.05_기타(DEKLNRSTU),528,506.1,228.8,219.5,299.3,286.5
2017.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4101,7243.4,1849.1,3481,2251.8,3762.3
2017.05_농림어업(A),30.4,55.8,16.6,30.9,13.9,24.9
2017.05_광ㆍ제조업(BC),747.3,1388.5,495.5,911.2,251.8,477.2
2017.05_건설업(F),130.8,300,90.7,222.9,40.1,77
2017.05_도매 및 소매업(G),653.4,1095.6,321.5,565.8,331.9,529.8
2017.05_숙박 및 음식점업(I),519,691.3,281.1,378.6,237.9,312.6
2017.05_운수 및 창고업(H)정보통신업(J),277.8,516.1,130.9,274.2,146.9,241.9
2017.05_운수 및 창고업(H)(2024.5~),0,0,0,0,0,0
2017.05_정보통신업(J)(2024.5~),0,0,0,0,0,0
2017.05_전문 과학 및 기술 서비스업(M),239.2,508.3,92.8,242.6,146.5,265.7
2017.05_공공 행정 국방 및 사회보장 행정(O),95.4,205.8,34.2,95.7,61.3,110
2017.05_교육 서비스업(P),381.8,723.6,72.3,142.7,309.5,580.9
2017.05_보건업 및 사회복지 서비스업(Q),475.4,747.5,64.3,123.5,411.1,624
2017.05_기타(DEKLNRSTU),550.4,1011.1,249.4,492.8,301,518.3
2018.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4140.2,7172.9,1911.6,3516.6,2228.6,3656.4
2018.05_농림어업(A),28.7,47.7,16.2,31,12.5,16.6
2018.05_광ㆍ제조업(BC),725.2,1322.7,478.5,870.2,246.7,452.4
2018.05_건설업(F),146.3,302.6,104.5,213.6,41.8,88.9
2018.05_도매 및 소매업(G),673.6,1071.3,300.2,536.1,373.4,535.2
2018.05_숙박 및 음식점업(I),541.2,759.9,293.5,420,247.7,339.9
2018.05_운수 및 창고업(H)정보통신업(J),272.6,501.2,132.4,270.8,140.2,230.4
2018.05_운수 및 창고업(H)(2024.5~),0,0,0,0,0,0
2018.05_정보통신업(J)(2024.5~),0,0,0,0,0,0
2018.05_전문 과학 및 기술 서비스업(M),255,495.3,116.4,248.5,138.6,246.7
2018.05_공공 행정 국방 및 사회보장 행정(O),128.3,249,63.2,125.3,65,123.7
2018.05_교육 서비스업(P),336.5,662.5,57.8,125,278.8,537.4
2018.05_보건업 및 사회복지 서비스업(Q),458.1,739.2,89.3,162.7,368.7,576.5
2018.05_기타(DEKLNRSTU),574.7,1021.7,259.4,513.1,315.3,508.6
2019.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4168.4,7141.9,1975,3525.2,2193.4,3616.7
2019.05_농림어업(A),45.3,58.6,31,41.4,14.3,17.2
2019.05_광ㆍ제조업(BC),659.2,1234.5,440.1,836.1,219,398.5
2019.05_건설업(F),146.6,289.7,119.6,230.2,26.9,59.5
2019.05_도매 및 소매업(G),633.2,1043.4,301.5,517.9,331.7,525.5
2019.05_숙박 및 음식점업(I),592.5,812.4,322.3,436,270.2,376.4
2019.05_운수 및 창고업(H)정보통신업(J),247.7,435,137.6,257.7,110.1,177.2
2019.05_운수 및 창고업(H)(2024.5~),0,0,0,0,0,0
2019.05_정보통신업(J)(2024.5~),0,0,0,0,0,0
2019.05_전문 과학 및 기술 서비스업(M),284,551.1,116.6,270.7,167.5,280.4
2019.05_공공 행정 국방 및 사회보장 행정(O),129.6,232.2,56.7,106.1,72.9,126.1
2019.05_교육 서비스업(P),362.1,688.4,75.6,166.8,286.5,521.6
2019.05_보건업 및 사회복지 서비스업(Q),447.4,724.2,78.4,149.1,369,575.1
2019.05_기타(DEKLNRSTU),620.8,1072.5,295.6,513.2,325.2,559.3
2020.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4070.4,7068.1,1928,3515.8,2142.3,3552.2
2020.05_농림어업(A),32.4,53.2,26.6,41.2,5.9,12
2020.05_광ㆍ제조업(BC),617,1171.7,425.8,798.2,191.3,373.4
2020.05_건설업(F),154.4,281.5,121.5,214.2,32.9,67.3
2020.05_도매 및 소매업(G),643.3,1043.8,299.8,495.2,343.5,548.6
2020.05_숙박 및 음식점업(I),598.1,816.7,316.1,447,282,369.8
2020.05_운수 및 창고업(H)정보통신업(J),241.3,421.4,140.7,262,100.6,159.4
2020.05_운수 및 창고업(H)(2024.5~),0,0,0,0,0,0
2020.05_정보통신업(J)(2024.5~),0,0,0,0,0,0
2020.05_전문 과학 및 기술 서비스업(M),279.5,581.1,122.4,297.4,157.1,283.7
2020.05_공공 행정 국방 및 사회보장 행정(O),100.6,216.8,41.6,116.9,59,99.9
2020.05_교육 서비스업(P),379.8,729.7,78.6,165.2,301.2,564.5
2020.05_보건업 및 사회복지 서비스업(Q),453.5,721.4,93.2,165.4,360.3,556
2020.05_기타(DEKLNRSTU),570.4,1030.8,261.8,513,308.5,517.7
2021.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4056.3,7084.1,1926.1,3531.4,2130.2,3552.7
2021.05_농림어업(A),20,41.4,15.4,33.1,4.6,8.4
2021.05_광ㆍ제조업(BC),655.2,1196.6,446.8,826.9,208.4,369.7
