근로형태별,임금근로자,정규직,비정규직,한시적,기간제,비기간제,시간제,비전형
2016.08_교육훈련경험자 증감(전년동월),3.8,4.5,2.6,5,4.3,6.1,2.3,0.4
2016.08_평균교육훈련시간,0,0,0,0,0,0,0,0
2016.08_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
2017.08_교육훈련경험자 비율,56.6,62.6,44.4,54.1,58.8,36.7,32.8,42
2017.08_교육훈련경험자 증감(전년동월),-0.4,0,-1.2,-2.4,-1.9,-2.9,-1.8,2.5
2017.08_평균교육훈련시간,0,0,0,0,0,0,0,0
2017.08_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
2018.08_교육훈련경험자 비율,56.5,62.5,44.3,54.6,58.8,39.4,35.3,40
2018.08_교육훈련경험자 증감(전년동월),-0.1,-0.1,-0.1,0.5,0,2.7,2.5,-2
2018.08_평균교육훈련시간,0,0,0,0,0,0,0,0
2018.08_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
2019.08_교육훈련경험자 비율,53.9,61,41.3,48.9,52.8,33.8,33.6,36.5
2019.08_교육훈련경험자 증감(전년동월),-2.6,-1.5,-3,-5.7,-6,-5.6,-1.7,-3.5
2019.08_평균교육훈련시간,0,0,0,0,0,0,0,0
2019.08_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
2020.08_교육훈련경험자 비율,52.2,58.4,41.2,50.7,55.1,24.6,35.5,32.5
2020.08_교육훈련경험자 증감(전년동월),-1.7,-2.6,-0.1,1.8,2.3,-9.2,1.9,-4
2020.08_평균교육훈련시간,0,0,0,0,0,0,0,0
2020.08_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
2021.08_교육훈련경험자 비율,47.7,55.5,35.3,42.9,46.1,19.6,28.1,26.7
2021.08_교육훈련경험자 증감(전년동월),-4.5,-2.9,-5.9,-7.8,-9,-5,-7.4,-5.8
2021.08_평균교육훈련시간,0,0,0,0,0,0,0,0
2021.08_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
2022.08_교육훈련경험자 비율,47.2,54.8,34.4,41.7,44.8,19.7,26.4,26.4
2022.08_교육훈련경험자 증감(전년동월),-0.5,-0.7,-0.9,-1.2,-1.3,0.1,-1.7,-0.3
2022.08_평균교육훈련시간,0,0,0,0,0,0,0,0
2022.08_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
2023.08_교육훈련경험자 비율,46.1,53.3,33.9,39.8,41.6,21.3,26,29.7
2023.08_교육훈련경험자 증감(전년동월),-1.1,-1.5,-0.5,-1.9,-3.2,1.6,-0.4,3.3
2023.08_평균교육훈련시간,0,0,0,0,0,0,0,0
2023.08_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
2024.08_교육훈련경험자 비율,47.9,55.7,35.3,40.5,42.9,21,29,31.4
2024.08_교육훈련경험자 증감(전년동월),1.8,2.4,1.4,0.7,1.3,-0.3,3,1.7
2024.08_평균교육훈련시간,0,0,0,0,0,0,0,0
2024.08_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
2025.08_교육훈련경험자 비율,46.2,54.7,32.5,36.4,37.8,22.2,24.9,30
2025.08_교육훈련경험자 증감(전년동월),-1.7,-1,-2.8,-4.1,-5.1,1.2,-4.1,-1.4
2025.08_평균교육훈련시간,0,0,0,0,0,0,0,0
2025.08_평균교육훈련시간 증감(전년동월),0,0,0,0,0,0,0,0
