시도별,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2016.08_비정규직,6481,1307,422,300,414,184,218,140,0,1569,238,208,293,242,225,304,327,92
2017.08_임금근로자,20006,4103,1326,895,1228,566,603,463,107,5248,547,605,802,598,572,925,1162,258
2017.08_정규직,13428,2713,886,607,842,357,406,328,73,3655,293,405,531,353,355,619,848,157
2017.08_비정규직,6578,1390,440,288,386,209,197,134,34,1593,254,200,271,245,217,306,314,101
2018.08_임금근로자,20045,4055,1299,892,1261,579,582,475,126,5315,549,623,818,600,583,890,1155,244
2018.08_정규직,13431,2697,892,617,857,373,358,324,90,3654,311,414,525,345,370,618,838,148
2018.08_비정규직,6614,1358,407,275,404,206,224,152,36,1662,238,210,292,255,213,272,317,95
2019.08_임금근로자,20559,4237,1286,893,1272,588,629,466,141,5456,573,630,801,606,602,908,1226,246
2019.08_정규직,13078,2709,823,591,802,371,366,316,105,3515,325,398,502,333,367,591,829,136
2019.08_비정규직,7481,1528,463,302,470,218,263,151,36,1941,248,232,299,273,235,317,397,110
2020.08_임금근로자,20446,4186,1242,893,1285,569,634,464,151,5448,559,637,802,609,602,901,1226,239
2020.08_정규직,13020,2722,771,571,840,337,382,305,108,3541,303,417,500,340,365,591,793,134
2020.08_비정규직,7426,1463,472,323,445,232,252,159,42,1907,256,220,302,269,237,310,433,105
2021.08_임금근로자,20992,4161,1247,941,1292,576,638,454,155,5835,580,664,837,636,606,891,1232,249
2021.08_정규직,12927,2558,735,580,813,346,378,296,114,3670,305,407,538,352,356,577,756,147
2021.08_비정규직,8066,1603,512,360,479,231,260,158,41,2165,275,257,299,284,250,313,476,102
2022.08_임금근로자,21724,4210,1295,978,1319,586,646,484,166,6269,592,665,853,637,608,944,1205,269
2022.08_정규직,13568,2651,749,605,808,365,395,315,114,4072,315,398,540,356,359,589,784,153
2022.08_비정규직,8156,1559,546,373,511,221,252,169,52,2197,277,266,312,280,249,354,421,116
2023.08_임금근로자,21954,4309,1316,979,1366,603,648,473,173,6181,611,669,901,667,631,906,1244,277
2023.08_정규직,13832,2804,756,593,868,372,413,309,120,4109,303,416,564,370,339,563,771,164
2023.08_비정규직,8122,1505,560,386,497,231,236,164,54,2073,309,254,338,296,292,343,472,113
2024.08_임금근로자,22143,4367,1351,932,1413,602,626,474,173,6230,628,684,915,670,624,932,1252,272
2024.08_정규직,13685,2694,779,579,863,370,379,303,126,4055,330,410,579,385,336,557,776,166
2024.08_비정규직,8459,1673,572,353,551,232,247,170,48,2175,298,274,336,285,288,376,476,106
2025.08_임금근로자,22413,4375,1383,913,1384,633,643,478,177,6320,611,705,938,693,631,978,1278,274
2025.08_정규직,13845,2696,830,561,851,354,385,305,124,4180,294,428,566,405,316,592,798,162
2025.08_비정규직,8568,1679,553,353,533,278,258,173,53,2140,318,277,373,288,315,386,480,112
