근로형태별,임금근로자,정규직,비정규직,한시적,기간제,비기간제,시간제,비전형
2005.08_주40시간실시비율,30.2,34.6,22.7,26.4,30,15.5,12,17.1
2005.08_증감(전년동월),0,0,0,0,0,0,0,0
2006.08_주40시간실시비율,35.1,38.4,28.9,33.2,34.4,29.5,20.7,20.2
2006.08_증감(전년동월),4.9,3.8,6.2,6.8,4.4,14,8.7,3.1
2007.03_주40시간실시비율,37.3,41.3,30.3,37.2,39.7,30.7,19.9,19.3
2007.03_증감(전년동월),0,0,0,0,0,0,0,0
2007.08_주40시간실시비율,39.9,43.6,33.4,41,44,33.5,22.8,23.4
2007.08_증감(전년동월),4.8,5.2,4.5,7.8,9.6,4,2.1,3.2
2008.03_주40시간실시비율,42.2,48.1,31.5,40.5,47.9,23,14,24.7
2008.03_증감(전년동월),4.9,6.8,1.2,3.3,8.2,-7.7,-5.9,5.4
2008.08_주40시간실시비율,46.3,51.4,36.3,45.7,50.1,34.5,18,28.3
2008.08_증감(전년동월),6.4,7.8,2.9,4.7,6.1,1,-4.8,4.9
2009.03_주40시간실시비율,48.4,54.1,37.1,48.3,55.3,19.6,18.5,27.8
2009.03_증감(전년동월),6.2,6,5.6,7.8,7.4,-3.4,4.5,3.1
2009.08_주40시간실시비율,49.8,54.8,40.5,52.6,59.5,25.1,20.5,29.8
2009.08_증감(전년동월),3.5,3.4,4.2,6.9,9.4,-9.4,2.5,1.5
2010.03_주40시간실시비율,48.9,53.9,38.8,51.8,58.1,33.5,20.7,30.7
2010.03_증감(전년동월),0.5,-0.2,1.7,3.5,2.8,13.9,2.2,2.9
2010.08_주40시간실시비율,48.9,54.1,38.4,51.6,57.1,34.4,22.8,30.1
2010.08_증감(전년동월),-0.9,-0.7,-2.1,-1,-2.4,9.3,2.3,0.3
2011.03_주40시간실시비율,50.5,54.5,42.5,54.1,58.5,42.4,30.7,32.4
2011.03_증감(전년동월),1.6,0.6,3.7,2.3,0.4,8.9,10,1.7
2011.08_주40시간실시비율,53.5,57.8,45.2,57.8,63.2,39.3,33.9,34.7
2011.08_증감(전년동월),4.6,3.7,6.8,6.2,6.1,4.9,11.1,4.6
2012.03_주40시간실시비율,60.3,65.1,50.6,64.2,70.4,45.4,39,39.3
2012.03_증감(전년동월),9.8,10.6,8.1,10.1,11.9,3,8.3,6.9
2012.08_주40시간실시비율,62.9,68.3,52.1,66.1,71.8,44,41.3,40.8
2012.08_증감(전년동월),9.4,10.5,6.9,8.3,8.6,4.7,7.4,6.1
2013.03_주40시간실시비율,65.9,70.8,55.6,69.3,76.6,43.4,44,45.9
2013.03_증감(전년동월),5.6,5.7,5,5.1,6.2,-2,5,6.6
2013.08_주40시간실시비율,66.5,71.7,55.7,69.3,74.6,47.2,44.3,45.5
2013.08_증감(전년동월),3.6,3.4,3.6,3.2,2.8,3.2,3,4.7
2014.08_주40시간실시비율,66.4,71.9,55,69,74.2,50.5,44,44.7
2014.08_증감(전년동월),-0.1,0.2,-0.7,-0.3,-0.4,3.3,-0.3,-0.8
2015.08_주40시간실시비율,65.7,72.3,51.8,65.5,72,41.8,41.3,42.2
2015.08_증감(전년동월),-0.7,0.4,-3.2,-3.5,-2.2,-8.7,-2.7,-2.5
2016.08_주40시간실시비율,65.4,72.5,51,65.5,70.9,43.4,38.3,42.4
2016.08_증감(전년동월),-0.3,0.2,-0.8,0,-1.1,1.6,-3,0.2
