연령구분_성별,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2007.05_대졸자,46,60,37,0,0,0
2007.05_3년제이하,34,46,26,0,0,0
2007.05_4년제,61,76,51,0,0,0
2008.05_대졸자,48,62,38,0,0,0
2008.05_3년제이하,34,47,26,0,0,0
2008.05_4년제,62,76,52,0,0,0
2009.05_대졸자,48,62,38,0,0,0
2009.05_3년제이하,34,46,26,0,0,0
2009.05_4년제,63,77,52,0,0,0
2010.05_대졸자,48,62,39,0,0,0
2010.05_3년제이하,33,45,26,0,0,0
2010.05_4년제,63,78,53,0,0,0
2011.05_대졸자,49,63,40,0,0,0
2011.05_3년제이하,34,46,27,0,0,0
2011.05_4년제,63,77,53,0,0,0
2012.05_대졸자,49,63,40,0,0,0
2012.05_3년제이하,34,47,27,0,0,0
2012.05_4년제,63,77,54,0,0,0
2013.05_대졸자,49,62,40,0,0,0
2013.05_3년제이하,34,46,27,0,0,0
2013.05_4년제,62,76,53,0,0,0
2014.05_대졸자,49,63,41,0,0,0
2014.05_3년제이하,34,46,27,0,0,0
2014.05_4년제,62,75,52,0,0,0
2015.05_대졸자,49,62,41,0,0,0
2015.05_3년제이하,34,45,27,0,0,0
2015.05_4년제,61,74,52,0,0,0
2016.05_대졸자,51,63,42,0,0,0
2016.05_3년제이하,35,47,28,0,0,0
2016.05_4년제,61,75,52,0,0,0
2017.05_대졸자,50,62,42,53,64,43
2017.05_3년제이하,35,44,28,36,46,28
2017.05_4년제,61,74,52,63,75,53
2018.05_대졸자,51,62,43,53,64,44
2018.05_3년제이하,35,45,29,36,45,29
2018.05_4년제,61,74,52,63,75,53
2019.05_대졸자,51,61,44,53,64,45
2019.05_3년제이하,36,44,29,36,45,29
2019.05_4년제,61,73,53,63,75,54
2020.05_대졸자,51,61,44,54,64,45
2020.05_3년제이하,36,44,29,37,45,29
2020.05_4년제,62,73,54,64,76,55
2021.05_대졸자,51,61,45,54,64,46
2021.05_3년제이하,36,44,29,36,44,29
2021.05_4년제,62,73,54,64,76,55
2022.05_대졸자,52,61,45,54,64,46
2022.05_3년제이하,36,44,30,36,44,29
2022.05_4년제,62,73,54,64,75,55
2023.05_대졸자,51,61,44,54,64,46
2023.05_3년제이하,35,43,29,36,44,29
2023.05_4년제,61,72,54,64,75,55
2024.05_대졸자,52,61,45,54,64,46
2024.05_3년제이하,35,43,29,36,44,29
2024.05_4년제,61,72,53,63,74,55
2025.05_대졸자,52,62,46,54,64,47
2025.05_3년제이하,36,43,30,36,44,29
2025.05_4년제,61,71,53,63,73,55
