연령구분_성별,15~29세_전체,15~29세_남자,15~29세_여자,20~34세_전체,20~34세_남자,20~34세_여자
2004.05_청년층 인구 전체,10182,4913,5269,0,0,0
2004.05_교육훈련 경험있음,1997,764,1233,0,0,0
2004.05_재학ㆍ휴학 중,1114,435,680,0,0,0
2004.05_졸업ㆍ중퇴이후,731,277,454,0,0,0
2004.05_재학ㆍ휴학 및 졸업ㆍ중퇴 이후,151,53,99,0,0,0
2004.05_교육훈련 경험없음,8181,4148,4034,0,0,0
2004.05_무학,4,1,3,0,0,0
2005.05_청년층 인구 전체,9969,4818,5152,0,0,0
2005.05_교육훈련 경험있음,1720,654,1065,0,0,0
2005.05_재학ㆍ휴학 중,896,348,548,0,0,0
2005.05_졸업ㆍ중퇴이후,668,257,411,0,0,0
2005.05_재학ㆍ휴학 및 졸업ㆍ중퇴 이후,156,50,106,0,0,0
2005.05_교육훈련 경험없음,8245,4162,4083,0,0,0
2005.05_무학,5,2,3,0,0,0
2006.05_청년층 인구 전체,9894,4809,5085,0,0,0
2006.05_교육훈련 경험있음,1608,625,983,0,0,0
2006.05_재학ㆍ휴학 중,809,330,479,0,0,0
2006.05_졸업ㆍ중퇴이후,611,232,380,0,0,0
2006.05_재학ㆍ휴학 및 졸업ㆍ중퇴 이후,187,63,125,0,0,0
2006.05_교육훈련 경험없음,8284,4183,4100,0,0,0
2006.05_무학,3,1,2,0,0,0
2007.05_청년층 인구 전체,9876,4824,5053,0,0,0
2007.05_교육훈련 경험있음,1537,635,902,0,0,0
2007.05_재학ㆍ휴학 중,779,305,474,0,0,0
2007.05_졸업ㆍ중퇴이후,599,272,327,0,0,0
2007.05_재학ㆍ휴학 및 졸업ㆍ중퇴 이후,158,57,101,0,0,0
2007.05_교육훈련 경험없음,8333,4185,4148,0,0,0
2007.05_무학,7,4,3,0,0,0
2008.05_청년층 인구 전체,9870,4840,5031,0,0,0
2008.05_교육훈련 경험있음,1518,606,913,0,0,0
2008.05_재학ㆍ휴학 중,699,268,432,0,0,0
2008.05_졸업ㆍ중퇴이후,637,284,353,0,0,0
2008.05_재학ㆍ휴학 및 졸업ㆍ중퇴 이후,182,54,129,0,0,0
2008.05_교육훈련 경험없음,8344,4231,4112,0,0,0
2008.05_무학,8,3,5,0,0,0
2009.05_청년층 인구 전체,9843,4840,5003,0,0,0
2009.05_교육훈련 경험있음,1563,650,913,0,0,0
2009.05_재학ㆍ휴학 중,756,296,460,0,0,0
2009.05_졸업ㆍ중퇴이후,626,279,347,0,0,0
2009.05_재학ㆍ휴학 및 졸업ㆍ중퇴 이후,182,75,107,0,0,0
2009.05_교육훈련 경험없음,8273,4187,4086,0,0,0
2009.05_무학,7,3,4,0,0,0
2010.05_청년층 인구 전체,9743,4804,4940,0,0,0
2010.05_교육훈련 경험있음,1538,631,907,0,0,0
2010.05_재학ㆍ휴학 중,771,318,454,0,0,0
2010.05_졸업ㆍ중퇴이후,616,266,350,0,0,0
2010.05_재학ㆍ휴학 및 졸업ㆍ중퇴 이후,151,48,103,0,0,0
2010.05_교육훈련 경험없음,8201,4170,4031,0,0,0
2010.05_무학,5,3,2,0,0,0
2011.05_청년층 인구 전체,9684,4804,4880,0,0,0
2011.05_교육훈련 경험있음,1475,615,860,0,0,0
2011.05_재학ㆍ휴학 중,748,308,440,0,0,0
2011.05_졸업ㆍ중퇴이후,571,251,321,0,0,0
2011.05_재학ㆍ휴학 및 졸업ㆍ중퇴 이후,156,57,100,0,0,0
2011.05_교육훈련 경험없음,8206,4186,4020,0,0,0
2011.05_무학,3,3,0,0,0,0
2012.05_청년층 인구 전체,9552,4743,4808,0,0,0
2012.05_교육훈련 경험있음,1438,574,865,0,0,0
2012.05_재학ㆍ휴학 중,730,292,438,0,0,0
2012.05_졸업ㆍ중퇴이후,544,227,317,0,0,0
2012.05_재학ㆍ휴학 및 졸업ㆍ중퇴 이후,165,55,110,0,0,0
