성별,계,남자,여자
2003.08,21.8,23.5,21.2
2004.08,23.3,24.7,22.8
2005.08,22.1,23,21.7
2006.08,21.1,22.4,20.5
2007.03,22.1,22.5,21.9
2007.08,21.8,22.2,21.6
2008.03,23.9,24.4,23.7
2008.08,21.5,23.4,20.7
2009.03,22,22,22
2009.08,21.2,21.5,21.1
2010.03,21,21.3,20.9
2010.08,20.8,21,20.7
2011.03,20,19.2,20.3
2011.08,20,20.1,19.9
2012.03,21.4,21.2,21.4
2012.08,20.2,21.1,19.8
2013.03,21.5,22.5,21.1
2013.08,20.1,21.2,19.7
2014.03,20.9,21.4,20.7
2014.08,19.7,20.6,19.4
2015.03,22.1,22.5,21.9
2015.08,20.2,21.8,19.4
2016.03,21.9,22.1,21.8
2016.08,20.5,21.2,20.2
2017.08,20.5,21.5,20.1
2018.08,19.1,20,18.7
2019.08,18.9,20,18.5
2020.08,18.8,19.3,18.6
2021.08,18.4,19.1,18.1
2022.08,18.7,19.6,18.3
2023.08,18.6,19.2,18.3
2024.08,18.3,19,17.9
2025.08,18.1,18.9,17.8
