성별_연령구분,전체_15~29세,전체_20~34세,남자_15~29세,남자_20~34세,여자_15~29세,여자_20~34세
2008.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4590,0,1987,0,2603,0
2008.05_임금근로자(계약여부별),4456,0,1917,0,2539,0
2008.05_계약기간 정함,806,0,348,0,458,0
2008.05_1년 이하,514,0,223,0,291,0
2008.05_1년 초과,292,0,125,0,168,0
2008.05_계약기간 정하지 않음,3650,0,1570,0,2081,0
2008.05_계속근무 가능,2898,0,1164,0,1734,0
2008.05_일시적 일자리,752,0,405,0,347,0
2008.05_임금근로자(근로형태별),4456,0,1917,0,2539,0
2008.05_전일제,3806,0,1594,0,2212,0
2008.05_시간제,650,0,323,0,327,0
2008.05_자영업자,81,0,38,0,44,0
2008.05_무급가족종사자,53,0,32,0,21,0
2009.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4375,0,1892,0,2483,0
2009.05_임금근로자(계약여부별),4244,0,1825,0,2419,0
2009.05_계약기간 정함,881,0,371,0,510,0
2009.05_1년 이하,544,0,234,0,309,0
2009.05_1년 초과,337,0,137,0,200,0
2009.05_계약기간 정하지 않음,3363,0,1454,0,1909,0
2009.05_계속근무 가능,2652,0,1072,0,1581,0
2009.05_일시적 일자리,711,0,383,0,328,0
2009.05_임금근로자(근로형태별),4244,0,1825,0,2419,0
2009.05_전일제,3697,0,1575,0,2123,0
2009.05_시간제,547,0,250,0,296,0
2009.05_자영업자,86,0,41,0,46,0
2009.05_무급가족종사자,45,0,26,0,19,0
2010.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4272,0,1826,0,2446,0
2010.05_임금근로자(계약여부별),4138,0,1746,0,2391,0
2010.05_계약기간 정함,921,0,380,0,541,0
2010.05_1년 이하,694,0,285,0,409,0
2010.05_1년 초과,227,0,95,0,132,0
2010.05_계약기간 정하지 않음,3217,0,1366,0,1851,0
2010.05_계속근무 가능,2533,0,997,0,1536,0
2010.05_일시적 일자리,684,0,369,0,315,0
2010.05_임금근로자(근로형태별),4138,0,1746,0,2391,0
2010.05_전일제,3670,0,1534,0,2135,0
2010.05_시간제,468,0,212,0,256,0
2010.05_자영업자,91,0,52,0,40,0
2010.05_무급가족종사자,43,0,28,0,15,0
2011.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4129,0,1798,0,2331,0
2011.05_임금근로자(계약여부별),3990,0,1714,0,2276,0
2011.05_계약기간 정함,977,0,419,0,557,0
2011.05_1년 이하,837,0,361,0,476,0
2011.05_1년 초과,140,0,59,0,81,0
2011.05_계약기간 정하지 않음,3014,0,1295,0,1718,0
2011.05_계속근무 가능,2499,0,1046,0,1454,0
2011.05_일시적 일자리,514,0,250,0,265,0
2011.05_임금근로자(근로형태별),3990,0,1714,0,2276,0
2011.05_전일제,3551,0,1507,0,2044,0
2011.05_시간제,439,0,208,0,232,0
2011.05_자영업자,75,0,45,0,30,0
2011.05_무급가족종사자,64,0,39,0,25,0
2012.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4037,0,1753,0,2283,0
2012.05_임금근로자(계약여부별),3904,0,1682,0,2223,0
2012.05_계약기간 정함,917,0,382,0,535,0
2012.05_1년 이하,802,0,339,0,463,0
2012.05_1년 초과,115,0,43,0,73,0
2012.05_계약기간 정하지 않음,2987,0,1300,0,1687,0
2012.05_계속근무 가능,2527,0,1079,0,1448,0
2012.05_일시적 일자리,461,0,221,0,239,0
2012.05_임금근로자(근로형태별),3904,0,1682,0,2223,0
2012.05_전일제,3440,0,1472,0,1967,0
2012.05_시간제,465,0,209,0,255,0
2012.05_자영업자,79,0,46,0,34,0
2012.05_무급가족종사자,53,0,26,0,27,0
2013.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3857,0,1680,0,2178,0
2013.05_임금근로자(계약여부별),3754,0,1626,0,2128,0
2013.05_계약기간 정함,939,0,408,0,530,0
2013.05_1년 이하,813,0,360,0,453,0
2013.05_1년 초과,126,0,48,0,78,0
2013.05_계약기간 정하지 않음,2816,0,1218,0,1598,0
2013.05_계속근무 가능,2333,0,977,0,1357,0
2013.05_일시적 일자리,482,0,241,0,241,0
2013.05_임금근로자(근로형태별),3754,0,1626,0,2128,0
2013.05_전일제,3311,0,1406,0,1905,0
2013.05_시간제,443,0,220,0,223,0
2013.05_자영업자,47,0,24,0,23,0
2013.05_무급가족종사자,56,0,29,0,26,0
2014.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3827,0,1661,0,2166,0
2014.05_임금근로자(계약여부별),3708,0,1603,0,2105,0
2014.05_계약기간 정함,863,0,362,0,501,0
2014.05_1년 이하,746,0,325,0,422,0
2014.05_1년 초과,117,0,37,0,79,0
2014.05_계약기간 정하지 않음,2845,0,1241,0,1604,0
2014.05_계속근무 가능,2375,0,1013,0,1362,0
2014.05_일시적 일자리,470,0,228,0,243,0
2014.05_임금근로자(근로형태별),3708,0,1603,0,2105,0
2014.05_전일제,3245,0,1393,0,1852,0
2014.05_시간제,463,0,210,0,254,0
2014.05_자영업자,62,0,25,0,37,0
2014.05_무급가족종사자,56,0,33,0,23,0
2015.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3926,0,1719,0,2207,0
2015.05_임금근로자(계약여부별),3788,0,1651,0,2138,0
2015.05_계약기간 정함,952,0,417,0,535,0
2015.05_1년 이하,796,0,364,0,432,0
2015.05_1년 초과,156,0,53,0,103,0
2015.05_계약기간 정하지 않음,2837,0,1234,0,1603,0
2015.05_계속근무 가능,2370,0,1000,0,1370,0
2015.05_일시적 일자리,466,0,234,0,232,0
2015.05_임금근로자(근로형태별),3788,0,1651,0,2138,0
2015.05_전일제,3260,0,1391,0,1869,0
2015.05_시간제,528,0,260,0,269,0
2015.05_자영업자,75,0,36,0,40,0
2015.05_무급가족종사자,62,0,32,0,30,0
2016.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4033,0,1800,0,2233,0
2016.05_임금근로자(계약여부별),3909,0,1733,0,2176,0
2016.05_계약기간 정함,1067,0,480,0,587,0
2016.05_1년 이하,899,0,420,0,479,0
2016.05_1년 초과,168,0,60,0,108,0
2016.05_계약기간 정하지 않음,2843,0,1253,0,1589,0
2016.05_계속근무 가능,2335,0,985,0,1350,0
2016.05_일시적 일자리,508,0,268,0,239,0
2016.05_임금근로자(근로형태별),3909,0,1733,0,2176,0
2016.05_전일제,3342,0,1465,0,1877,0
2016.05_시간제,567,0,269,0,299,0
2016.05_자영업자,78,0,40,0,38,0
2016.05_무급가족종사자,46,0,27,0,19,0
2017.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4101,7243,1849,3481,2252,3762
2017.05_임금근로자(계약여부별),4012,7061,1801,3367,2211,3694
2017.05_계약기간 정함,1027,1746,459,794,567,952
2017.05_1년 이하,862,1427,393,655,469,773
2017.05_1년 초과,164,319,66,140,98,180
2017.05_계약기간 정하지 않음,2986,5314,1342,2573,1644,2742
