성별_연령구분,전체_15~29세,전체_20~34세,남자_15~29세,남자_20~34세,여자_15~29세,여자_20~34세
2017.05_계속근무 가능,2495,4573,1064,2159,1432,2414
2017.05_일시적 일자리,490,741,278,414,212,327
2017.05_임금근로자(근로형태별),4012,7061,1801,3367,2211,3694
2017.05_전일제,3363,6110,1475,2903,1888,3207
2017.05_시간제,649,951,326,464,323,487
2017.05_자영업자,54,135,29,84,26,51
2017.05_무급가족종사자,35,48,19,30,15,18
2018.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4140,7173,1912,3517,2229,3656
2018.05_임금근로자(계약여부별),4054,6998,1868,3409,2187,3589
2018.05_계약기간 정함,1037,1679,476,777,561,902
2018.05_1년 이하,877,1351,404,619,473,731
2018.05_1년 초과,160,329,73,158,88,171
2018.05_계약기간 정하지 않음,3018,5319,1392,2632,1626,2687
2018.05_계속근무 가능,2533,4610,1150,2262,1383,2348
2018.05_일시적 일자리,485,708,242,370,243,339
2018.05_임금근로자(근로형태별),4054,6998,1868,3409,2187,3589
2018.05_전일제,3356,6018,1555,2956,1801,3062
2018.05_시간제,698,980,313,453,385,527
2018.05_자영업자,54,132,28,82,26,49
2018.05_무급가족종사자,32,43,16,25,16,18
2019.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4168,7142,1975,3525,2193,3617
2019.05_임금근로자(계약여부별),4070,6947,1923,3409,2147,3537
2019.05_계약기간 정함,1211,1923,589,955,622,968
2019.05_1년 이하,1029,1573,511,783,518,790
2019.05_1년 초과,183,350,78,172,104,179
2019.05_계약기간 정하지 않음,2859,5023,1334,2454,1525,2569
2019.05_계속근무 가능,2365,4309,1064,2058,1301,2251
2019.05_일시적 일자리,494,714,270,397,224,318
2019.05_임금근로자(근로형태별),4070,6947,1923,3409,2147,3537
2019.05_전일제,3264,5829,1528,2856,1736,2973
2019.05_시간제,806,1118,395,553,411,565
2019.05_자영업자,51,132,26,83,25,49
2019.05_무급가족종사자,48,64,26,33,22,31
2020.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4070,7068,1928,3516,2142,3552
2020.05_임금근로자(계약여부별),3963,6859,1857,3385,2106,3474
2020.05_계약기간 정함,1308,2126,615,1050,692,1076
2020.05_1년 이하,1114,1748,534,865,580,883
2020.05_1년 초과,194,379,81,186,113,193
2020.05_계약기간 정하지 않음,2656,4733,1242,2335,1414,2398
2020.05_계속근무 가능,2225,4117,1018,2017,1206,2100
2020.05_일시적 일자리,431,616,224,319,207,298
2020.05_임금근로자(근로형태별),3963,6859,1857,3385,2106,3474
2020.05_전일제,3130,5667,1465,2808,1665,2860
2020.05_시간제,833,1192,392,577,441,615
2020.05_자영업자,66,153,43,95,24,58
2020.05_무급가족종사자,41,56,28,36,13,20
2021.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4056,7084,1926,3531,2130,3553
2021.05_임금근로자(계약여부별),3953,6891,1867,3418,2086,3473
2021.05_계약기간 정함,1358,2180,644,1050,715,1130
2021.05_1년 이하,1189,1816,574,900,615,916
2021.05_1년 초과,169,364,69,151,100,214
2021.05_계약기간 정하지 않음,2595,4711,1223,2368,1372,2343
2021.05_계속근무 가능,2147,4054,989,2015,1158,2039
2021.05_일시적 일자리,448,657,234,353,214,304
2021.05_임금근로자(근로형태별),3953,6891,1867,3418,2086,3473
2021.05_전일제,3126,5693,1470,2829,1655,2864
2021.05_시간제,827,1197,397,589,431,609
2021.05_자영업자,69,146,34,85,34,62
2021.05_무급가족종사자,35,47,25,29,10,18
2022.05_졸업ㆍ중퇴 후 취업 유경험자 전체,4117,7216,1940,3583,2177,3633
2022.05_임금근로자(계약여부별),4018,6990,1886,3452,2132,3538
2022.05_계약기간 정함,1407,2309,659,1116,748,1193
2022.05_1년 이하,1215,1913,561,928,654,985
2022.05_1년 초과,192,396,98,188,94,207
2022.05_계약기간 정하지 않음,2611,4682,1227,2336,1384,2346
2022.05_계속근무 가능,2227,4085,1011,2007,1216,2078
2022.05_일시적 일자리,384,597,216,329,169,268
2022.05_임금근로자(근로형태별),4018,6990,1886,3452,2132,3538
2022.05_전일제,3166,5764,1492,2862,1674,2902
2022.05_시간제,852,1226,394,590,459,636
2022.05_자영업자,78,189,42,109,37,80
2022.05_무급가족종사자,21,37,13,21,8,15
2023.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3947,7132,1840,3537,2107,3595
2023.05_임금근로자(계약여부별),3865,6936,1791,3425,2074,3511
2023.05_계약기간 정함,1369,2315,675,1175,695,1140
2023.05_1년 이하,1145,1877,560,959,585,918
2023.05_1년 초과,224,438,115,216,110,222
2023.05_계약기간 정하지 않음,2496,4621,1117,2250,1379,2371
2023.05_계속근무 가능,2132,4060,927,1950,1205,2110
2023.05_일시적 일자리,364,561,190,300,174,261
2023.05_임금근로자(근로형태별),3865,6936,1791,3425,2074,3511
2023.05_전일제,3020,5722,1391,2838,1629,2884
2023.05_시간제,845,1214,400,587,445,627
2023.05_자영업자,68,164,39,95,29,69
2023.05_무급가족종사자,15,33,10,17,4,16
2024.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3765,7030,1794,3528,1972,3502
2024.05_임금근로자(계약여부별),3671,6832,1742,3418,1929,3414
2024.05_계약기간 정함,1401,2374,676,1193,725,1181
2024.05_1년 이하,1181,1936,567,962,614,975
2024.05_1년 초과,220,438,109,232,111,206
2024.05_계약기간 정하지 않음,2269,4458,1066,2225,1203,2234
2024.05_계속근무 가능,1980,4001,911,1964,1069,2037
2024.05_일시적 일자리,289,457,155,261,134,196
2024.05_임금근로자(근로형태별),3671,6832,1742,3418,1929,3414
2024.05_전일제,2791,5543,1320,2771,1471,2772
2024.05_시간제,880,1289,422,647,458,642
2024.05_자영업자,67,153,35,83,32,71
2024.05_무급가족종사자,28,44,16,27,11,18
2025.05_졸업ㆍ중퇴 후 취업 유경험자 전체,3607,6961,1743,3526,1864,3435
2025.05_임금근로자(계약여부별),3508,6761,1693,3410,1814,3351
2025.05_계약기간 정함,1316,2343,638,1187,679,1156
2025.05_1년 이하,1116,1916,532,966,584,950
2025.05_1년 초과,200,427,106,221,94,206
2025.05_계약기간 정하지 않음,2191,4417,1056,2223,1136,2195
2025.05_계속근무 가능,1906,3955,897,1947,1009,2008
2025.05_일시적 일자리,285,462,159,276,127,187
2025.05_임금근로자(근로형태별),3508,6761,1693,3410,1814,3351
2025.05_전일제,2631,5455,1267,2747,1364,2708
2025.05_시간제,876,1306,427,663,450,643
2025.05_자영업자,70,157,36,91,34,66
2025.05_무급가족종사자,29,44,15,25,15,18
