연령별_성별,15~29세_계,15~29세_남자,15~29세_여자,20~34세_계,20~34세_남자,20~34세_여자
2007.05_계,1507,577,930,0,0,0
2007.05_6개월 미만,611,309,302,0,0,0
2007.05_6개월~1년 미만,166,70,96,0,0,0
2007.05_1~2년 미만,271,96,175,0,0,0
2007.05_2~3년 미만,170,44,126,0,0,0
2007.05_3년 이상,290,58,232,0,0,0
2008.05_계,1522,600,923,0,0,0
2008.05_6개월 미만,627,302,325,0,0,0
2008.05_6개월~1년 미만,134,46,89,0,0,0
2008.05_1~2년 미만,333,136,198,0,0,0
2008.05_2~3년 미만,161,54,107,0,0,0
2008.05_3년 이상,267,62,204,0,0,0
2009.05_계,1481,554,927,0,0,0
2009.05_6개월 미만,564,253,310,0,0,0
2009.05_6개월~1년 미만,153,55,98,0,0,0
2009.05_1~2년 미만,315,115,200,0,0,0
2009.05_2~3년 미만,177,66,111,0,0,0
2009.05_3년 이상,272,65,208,0,0,0
2010.05_계,1409,534,875,0,0,0
2010.05_6개월 미만,618,282,336,0,0,0
2010.05_6개월~1년 미만,175,68,107,0,0,0
2010.05_1~2년 미만,257,95,163,0,0,0
2010.05_2~3년 미만,106,27,79,0,0,0
2010.05_3년 이상,253,62,191,0,0,0
2011.05_계,1423,564,859,0,0,0
2011.05_6개월 미만,626,312,314,0,0,0
2011.05_6개월~1년 미만,162,56,105,0,0,0
2011.05_1~2년 미만,267,103,164,0,0,0
2011.05_2~3년 미만,113,37,76,0,0,0
2011.05_3년 이상,255,56,199,0,0,0
2012.05_계,1377,559,817,0,0,0
2012.05_6개월 미만,624,297,327,0,0,0
2012.05_6개월~1년 미만,189,73,116,0,0,0
2012.05_1~2년 미만,209,78,131,0,0,0
2012.05_2~3년 미만,115,48,67,0,0,0
2012.05_3년 이상,241,65,176,0,0,0
2013.05_계,1329,532,797,0,0,0
2013.05_6개월 미만,579,272,308,0,0,0
2013.05_6개월~1년 미만,135,54,81,0,0,0
2013.05_1~2년 미만,249,100,149,0,0,0
2013.05_2~3년 미만,116,36,80,0,0,0
2013.05_3년 이상,250,71,179,0,0,0
2014.05_계,1336,586,750,0,0,0
2014.05_6개월 미만,597,290,307,0,0,0
2014.05_6개월~1년 미만,164,74,90,0,0,0
2014.05_1~2년 미만,205,88,117,0,0,0
2014.05_2~3년 미만,132,56,77,0,0,0
2014.05_3년 이상,237,77,160,0,0,0
2015.05_계,1418,602,816,0,0,0
2015.05_6개월 미만,632,302,330,0,0,0
2015.05_6개월~1년 미만,138,56,82,0,0,0
2015.05_1~2년 미만,257,99,158,0,0,0
2015.05_2~3년 미만,136,60,76,0,0,0
2015.05_3년 이상,255,85,170,0,0,0
2016.05_계,1405,624,781,0,0,0
2016.05_6개월 미만,640,316,325,0,0,0
2016.05_6개월~1년 미만,157,70,87,0,0,0
2016.05_1~2년 미만,238,96,143,0,0,0
2016.05_2~3년 미만,126,47,79,0,0,0
2016.05_3년 이상,244,95,149,0,0,0
2017.05_계,1444,666,779,2125,774,1351
2017.05_6개월 미만,645,323,322,675,300,375
2017.05_6개월~1년 미만,158,69,90,265,106,160
2017.05_1~2년 미만,295,144,151,411,178,233
2017.05_2~3년 미만,120,53,67,190,58,132
2017.05_3년 이상,226,78,148,585,133,452
2018.05_계,1487,685,802,2096,796,1300
2018.05_6개월 미만,649,328,321,660,308,352
2018.05_6개월~1년 미만,198,91,107,276,120,156
2018.05_1~2년 미만,265,112,153,367,132,235
2018.05_2~3년 미만,148,58,90,220,77,143
2018.05_3년 이상,227,96,131,573,159,414
2019.05_계,1541,723,818,2133,844,1289
2019.05_6개월 미만,661,325,335,712,334,378
2019.05_6개월~1년 미만,200,82,119,285,114,172
2019.05_1~2년 미만,280,131,149,373,136,237
2019.05_2~3년 미만,140,66,74,202,82,120
2019.05_3년 이상,260,119,141,560,177,383
2020.05_계,1660,794,866,2255,925,1330
2020.05_6개월 미만,726,363,363,804,387,417
2020.05_6개월~1년 미만,229,106,123,297,123,175
2020.05_1~2년 미만,281,124,157,375,140,235
2020.05_2~3년 미만,146,71,75,210,80,129
2020.05_3년 이상,279,132,147,570,196,374
2021.05_계,1548,767,781,2161,922,1238
2021.05_6개월 미만,631,309,321,699,327,372
2021.05_6개월~1년 미만,215,107,108,292,127,165
2021.05_1~2년 미만,309,161,147,419,193,226
2021.05_2~3년 미만,116,54,62,198,70,128
2021.05_3년 이상,278,136,142,553,206,347
