연령별_성별,15~29세_계,15~29세_남자,15~29세_여자,20~34세_계,20~34세_남자,20~34세_여자
2022.05_계,1330,663,668,1915,809,1106
2022.05_6개월 미만,589,291,298,670,309,362
2022.05_6개월~1년 미만,162,77,84,226,102,124
2022.05_1~2년 미만,228,104,123,325,122,202
2022.05_2~3년 미만,129,65,64,204,82,122
2022.05_3년 이상,224,125,99,490,193,297
2023.05_계,1261,638,622,1793,776,1017
2023.05_6개월 미만,532,276,256,600,286,315
2023.05_6개월~1년 미만,157,74,83,223,94,129
2023.05_1~2년 미만,231,112,120,337,142,195
2023.05_2~3년 미만,123,62,61,175,75,100
2023.05_3년 이상,218,115,103,457,178,279
2024.05_계,1290,644,646,1761,779,982
2024.05_6개월 미만,525,250,275,566,263,303
2024.05_6개월~1년 미만,176,91,85,237,107,130
2024.05_1~2년 미만,245,113,132,297,123,174
2024.05_2~3년 미만,106,62,44,174,82,92
2024.05_3년 이상,238,128,111,487,204,284
2025.05_계,1212,604,608,1704,759,945
2025.05_6개월 미만,457,229,228,521,247,274
2025.05_6개월~1년 미만,190,93,98,243,114,129
2025.05_1~2년 미만,239,120,119,324,134,189
2025.05_2~3년 미만,97,47,51,152,62,90
2025.05_3년 이상,230,116,114,464,201,263
