한시적근로자별,비정규직,한시적,기간제,비기간제,비정규직(남자),한시적(남자),기간제(남자),비기간제(남자),비정규직(여자),한시적(여자),기간제(여자),비기간제(여자)
2016.08_구성비 (비정규직대비),100,56.6,45.3,11.3,100,58.7,47,11.7,100,55,44,11
2016.08_증감 (전년동월),172,16,67,-52,16,-47,-4,-43,156,63,72,-9
2016.08_증감률 (전년동월),2.7,0.4,2.3,-6.6,0.6,-2.7,-0.3,-11.1,4.6,3.3,4.8,-2.3
2017.08_근로자수 (천명),6578,3725,2930,795,2946,1729,1351,378,3632,1996,1578,418
2017.08_구성비 (비정규직대비),100,56.6,44.5,12.1,100,58.7,45.9,12.8,100,55,43.5,11.5
2017.08_증감 (전년동월),97,54,-10,63,27,16,-21,37,70,38,11,27
2017.08_증감률 (전년동월),1.5,1.5,-0.3,8.6,0.9,0.9,-1.5,10.7,2,1.9,0.7,6.8
2018.08_근로자수 (천명),6614,3823,3005,818,2936,1748,1388,360,3678,2075,1616,459
2018.08_구성비 (비정규직대비),100,57.8,45.4,12.4,100,59.6,47.3,12.3,100,56.4,43.9,12.5
2018.08_증감 (전년동월),36,98,75,23,-10,20,37,-18,47,79,38,41
2018.08_증감률 (전년동월),0.6,2.6,2.6,2.9,-0.3,1.1,2.8,-4.7,1.3,3.9,2.4,9.8
2019.08_근로자수 (천명),7481,4785,3799,985,3356,2238,1786,452,4125,2547,2013,533
2019.08_구성비 (비정규직대비),100,64,50.8,13.2,100,66.7,53.2,13.5,100,61.7,48.8,12.9
2019.08_증감 (전년동월),867,962,795,167,420,490,398,92,447,472,397,75
2019.08_증감률 (전년동월),13.1,25.2,26.4,20.4,14.3,28,28.6,25.7,12.1,22.7,24.6,16.2
2020.08_근로자수 (천명),7426,4608,3933,675,3335,2079,1800,279,4091,2529,2133,396
2020.08_구성비 (비정규직대비),100,62.1,53,9.1,100,62.3,54,8.4,100,61.8,52.1,9.7
2020.08_증감 (전년동월),-55,-177,133,-310,-21,-159,14,-174,-35,-18,119,-137
2020.08_증감률 (전년동월),-0.7,-3.7,3.5,-31.5,-0.6,-7.1,0.8,-38.4,-0.8,-0.7,5.9,-25.7
2021.08_근로자수 (천명),8066,5171,4537,634,3575,2234,1964,269,4491,2938,2573,365
2021.08_구성비 (비정규직대비),100,64.1,56.3,7.9,100,62.5,54.9,7.5,100,65.4,57.3,8.1
2021.08_증감 (전년동월),640,564,605,-41,241,155,164,-9,400,409,440,-32
2021.08_증감률 (전년동월),8.6,12.2,15.4,-6.1,7.2,7.4,9.1,-3.4,9.8,16.2,20.6,-8
2022.08_근로자수 (천명),8156,5348,4689,659,3653,2368,2105,263,4503,2980,2585,396
2022.08_구성비 (비정규직대비),100,65.6,57.5,8.1,100,64.8,57.6,7.2,100,66.2,57.4,8.8
2022.08_증감 (전년동월),90,177,152,25,78,134,141,-6,13,43,12,31
